# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: ff
# Temperature: -40 C
# W = 2.0 um
# L = 1 um (1000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.532689e-01    3.472592e-02    5.803323e-15    1.660160e-12    1.606276e-17    2.895763e-15    4.820441e-18   -1.896765e-25   -6.579654e-21
    1.000000e-02    6.532689e-01    3.472592e-02    8.346887e-15    1.660218e-12    2.310758e-17    2.881020e-15    5.357797e-18   -2.273503e-25   -7.866618e-21
    2.000000e-02    6.532689e-01    3.472592e-02    1.200441e-14    1.660330e-12    3.323972e-17    2.866490e-15    5.888228e-18   -2.724990e-25   -9.404837e-21
    3.000000e-02    6.532689e-01    3.472592e-02    1.726335e-14    1.660475e-12    4.781110e-17    2.852169e-15    6.411568e-18   -3.266041e-25   -1.124326e-20
    4.000000e-02    6.532689e-01    3.472592e-02    2.482434e-14    1.660683e-12    6.876516e-17    2.838052e-15    6.927592e-18   -3.914402e-25   -1.344035e-20
    5.000000e-02    6.532689e-01    3.472592e-02    3.569426e-14    1.660982e-12    9.889549e-17    2.824135e-15    7.436004e-18   -4.691330e-25   -1.606591e-20
    6.000000e-02    6.532689e-01    3.472592e-02    5.132003e-14    1.661413e-12    1.422174e-16    2.810414e-15    7.936421e-18   -5.622290e-25   -1.920332e-20
    7.000000e-02    6.532689e-01    3.472592e-02    7.378074e-14    1.662032e-12    2.045017e-16    2.796884e-15    8.428364e-18   -6.737778e-25   -2.295208e-20
    8.000000e-02    6.532689e-01    3.472592e-02    1.060637e-13    1.662921e-12    2.940418e-16    2.783542e-15    8.911231e-18   -8.074325e-25   -2.743102e-20
    9.000000e-02    6.532689e-01    3.472592e-02    1.524605e-13    1.664200e-12    4.227553e-16    2.770384e-15    9.384281e-18   -9.675677e-25   -3.278193e-20
    1.000000e-01    6.532689e-01    3.472592e-02    2.191366e-13    1.666038e-12    6.077661e-16    2.757407e-15    9.846603e-18   -1.159422e-24   -3.917403e-20
    1.100000e-01    6.532689e-01    3.472592e-02    3.149479e-13    1.668679e-12    8.736773e-16    2.744609e-15    1.029708e-17   -1.389270e-24   -4.680923e-20
    1.200000e-01    6.532689e-01    3.472592e-02    4.526145e-13    1.672476e-12    1.255835e-15    2.731985e-15    1.073437e-17   -1.664622e-24   -5.592836e-20
    1.300000e-01    6.532689e-01    3.472592e-02    6.504042e-13    1.677931e-12    1.805014e-15    2.719535e-15    1.115682e-17   -1.994473e-24   -6.681860e-20
    1.400000e-01    6.532689e-01    3.472592e-02    9.345505e-13    1.685770e-12    2.594146e-15    2.707255e-15    1.156245e-17   -2.389588e-24   -7.982236e-20
    1.500000e-01    6.532689e-01    3.472592e-02    1.342721e-12    1.697034e-12    3.727982e-15    2.695144e-15    1.194888e-17   -2.862856e-24   -9.534764e-20
    1.600000e-01    6.532689e-01    3.472592e-02    1.928995e-12    1.713216e-12    5.356953e-15    2.683201e-15    1.231324e-17   -3.429701e-24   -1.138805e-19
    1.700000e-01    6.532689e-01    3.472592e-02    2.771007e-12    1.736463e-12    7.697073e-15    2.671426e-15    1.265207e-17   -4.108583e-24   -1.359996e-19
    1.800000e-01    6.532689e-01    3.472593e-02    3.980189e-12    1.769856e-12    1.105850e-14    2.659817e-15    1.296126e-17   -4.921585e-24   -1.623937e-19
    1.900000e-01    6.532689e-01    3.472593e-02    5.716462e-12    1.817818e-12    1.588649e-14    2.648375e-15    1.323585e-17   -5.895128e-24   -1.938817e-19
    2.000000e-01    6.532689e-01    3.472593e-02    8.209300e-12    1.886698e-12    2.282022e-14    2.637103e-15    1.346996e-17   -7.060807e-24   -2.314369e-19
    2.100000e-01    6.532689e-01    3.472594e-02    1.178792e-11    1.985610e-12    3.277704e-14    2.626001e-15    1.365655e-17   -8.456401e-24   -2.762146e-19
    2.200000e-01    6.532689e-01    3.472595e-02    1.692456e-11    2.127631e-12    4.707338e-14    2.615073e-15    1.378728e-17   -1.012706e-23   -3.295854e-19
    2.300000e-01    6.532689e-01    3.472597e-02    2.429641e-11    2.331525e-12    6.759802e-14    2.604324e-15    1.385221e-17   -1.212675e-23   -3.931731e-19
    2.400000e-01    6.532689e-01    3.472599e-02    3.487438e-11    2.624208e-12    9.706043e-14    2.593759e-15    1.383961e-17   -1.451989e-23   -4.688990e-19
    2.500000e-01    6.532689e-01    3.472602e-02    5.005004e-11    3.044284e-12    1.393465e-13    2.583385e-15    1.373559e-17   -1.738340e-23   -5.590333e-19
    2.600000e-01    6.532689e-01    3.472607e-02    7.181720e-11    3.647103e-12    2.000280e-13    2.573213e-15    1.352379e-17   -2.080905e-23   -6.662542e-19
    2.700000e-01    6.532689e-01    3.472614e-02    1.030314e-10    4.512006e-12    2.870914e-13    2.563253e-15    1.318500e-17   -2.490623e-23   -7.937160e-19
    2.800000e-01    6.532689e-01    3.472623e-02    1.477805e-10    5.752688e-12    4.119811e-13    2.553519e-15    1.269668e-17   -2.980528e-23   -9.451269e-19
    2.900000e-01    6.532689e-01    3.472637e-02    2.119130e-10    7.532000e-12    5.910895e-13    2.544027e-15    1.203254e-17   -3.566132e-23   -1.124838e-18
    3.000000e-01    6.532689e-01    3.472657e-02    3.037912e-10    1.008311e-11    8.478861e-13    2.534798e-15    1.116192e-17   -4.265879e-23   -1.337948e-18
    3.100000e-01    6.532689e-01    3.472685e-02    4.353622e-10    1.373967e-11    1.215954e-12    2.525855e-15    1.004922e-17   -5.101675e-23   -1.590418e-18
    3.200000e-01    6.532689e-01    3.472726e-02    6.236787e-10    1.897885e-11    1.743319e-12    2.517226e-15    8.653185e-18   -6.099508e-23   -1.889213e-18
    3.300000e-01    6.532689e-01    3.472784e-02    8.930538e-10    2.648252e-11    2.498605e-12    2.508944e-15    6.926040e-18   -7.290164e-23   -2.242462e-18
    3.400000e-01    6.532689e-01    3.472867e-02    1.278106e-09    3.722421e-11    3.579780e-12    2.501045e-15    4.812501e-18   -8.710068e-23   -2.659652e-18
    3.500000e-01    6.532689e-01    3.472986e-02    1.828050e-09    5.259243e-11    5.126552e-12    2.493575e-15    2.248494e-18   -1.040225e-22   -3.151867e-18
    3.600000e-01    6.532689e-01    3.473156e-02    2.612716e-09    7.456502e-11    7.337886e-12    2.486587e-15   -8.404592e-19   -1.241751e-22   -3.732069e-18
    3.700000e-01    6.532689e-01    3.473399e-02    3.730959e-09    1.059551e-10    1.049669e-11    2.480140e-15   -4.541341e-18   -1.481571e-22   -4.415464e-18
    3.800000e-01    6.532689e-01    3.473746e-02    5.322343e-09    1.507563e-10    1.500445e-11    2.474309e-15   -8.956360e-18   -1.766739e-22   -5.219939e-18
    3.900000e-01    6.532689e-01    3.474240e-02    7.583263e-09    2.146267e-10    2.142963e-11    2.469178e-15   -1.420645e-17   -2.105560e-22   -6.166610e-18
    4.000000e-01    6.532689e-01    3.474943e-02    1.078901e-08    3.055615e-10    3.057484e-11    2.464852e-15   -2.043568e-17   -2.507818e-22   -7.280486e-18
    4.100000e-01    6.532689e-01    3.475942e-02    1.532370e-08    4.348239e-10    4.356946e-11    2.461455e-15   -2.781666e-17   -2.985042e-22   -8.591260e-18
    4.200000e-01    6.532689e-01    3.477359e-02    2.172033e-08    6.182246e-10    6.199618e-11    2.459136e-15   -3.655704e-17   -3.550836e-22   -1.013424e-17
    4.300000e-01    6.532689e-01    3.479364e-02    3.071384e-08    8.778639e-10    8.806204e-11    2.458076e-15   -4.690694e-17   -4.221269e-22   -1.195138e-17
    4.400000e-01    6.532689e-01    3.482190e-02    4.330993e-08    1.244480e-09    1.248264e-10    2.458493e-15   -5.916733e-17   -5.015354e-22   -1.409247e-17
    4.500000e-01    6.532689e-01    3.486163e-02    6.087305e-08    1.760582e-09    1.764996e-10    2.460650e-15   -7.369910e-17   -5.955619e-22   -1.661638e-17
    4.600000e-01    6.532689e-01    3.491724e-02    8.523604e-08    2.484561e-09    2.488267e-10    2.464858e-15   -9.093238e-17   -7.068772e-22   -1.959231e-17
    4.700000e-01    6.532689e-01    3.499467e-02    1.188336e-07    3.496028e-09    3.495654e-10    2.471489e-15   -1.113760e-16   -8.386501e-22   -2.310108e-17
    4.800000e-01    6.532689e-01    3.510187e-02    1.648605e-07    4.902598e-09    4.890635e-10    2.480979e-15   -1.356266e-16   -9.946378e-22   -2.723631e-17
    4.900000e-01    6.532689e-01    3.524928e-02    2.274525e-07    6.848380e-09    6.809222e-10    2.493832e-15   -1.643761e-16   -1.179290e-21   -3.210541e-17
    5.000000e-01    6.532689e-01    3.545033e-02    3.118897e-07    9.524387e-09    9.427121e-10    2.510630e-15   -1.984187e-16   -1.397865e-21   -3.783026e-17
    5.100000e-01    6.532689e-01    3.572203e-02    4.248146e-07    1.318106e-08    1.296674e-09    2.532032e-15   -2.386534e-16   -1.656558e-21   -4.454739e-17
    5.200000e-01    6.532689e-01    3.608533e-02    5.744626e-07    1.814302e-08    1.770302e-09    2.558777e-15   -2.860844e-16   -1.962637e-21   -5.240749e-17
    5.300000e-01    6.532689e-01    3.656533e-02    7.708931e-07    2.482620e-08    2.396665e-09    2.591677e-15   -3.418142e-16   -2.324590e-21   -6.157391e-17
    5.400000e-01    6.532689e-01    3.719115e-02    1.026206e-06    3.375715e-08    3.214309e-09    2.631608e-15   -4.070294e-16   -2.752272e-21   -7.221984e-17
    5.500000e-01    6.532689e-01    3.799527e-02    1.354709e-06    4.559435e-08    4.266600e-09    2.679491e-15   -4.829764e-16   -3.257044e-21   -8.452377e-17
    5.600000e-01    6.532689e-01    3.901246e-02    1.772975e-06    6.115070e-08    5.600423e-09    2.736269e-15   -5.709223e-16   -3.851907e-21   -9.866287e-17
    5.700000e-01    6.532689e-01    4.027810e-02    2.299720e-06    8.141577e-08    7.264277e-09    2.802862e-15   -6.721013e-16   -4.551598e-21   -1.148040e-16
    5.800000e-01    6.532689e-01    4.182624e-02    2.955400e-06    1.075754e-07    9.305945e-09    2.880118e-15   -7.876422e-16   -5.372651e-21   -1.330921e-16
    5.900000e-01    6.532689e-01    4.368759e-02    3.761495e-06    1.410260e-07    1.177005e-08    2.968746e-15   -9.184789e-16   -6.333387e-21   -1.536365e-16
    6.000000e-01    6.532689e-01    4.588770e-02    4.739498e-06    1.833795e-07    1.469584e-08    3.069238e-15   -1.065246e-15   -7.453819e-21   -1.764954e-16
    6.100000e-01    6.532689e-01    4.844562e-02    5.909728e-06    2.364582e-07    1.811558e-08    3.181790e-15   -1.228169e-15   -8.755451e-21   -2.016599e-16
    6.200000e-01    6.532689e-01    5.137334e-02    7.290131e-06    3.022766e-07    2.205367e-08    3.306221e-15   -1.406955e-15   -1.026094e-20   -2.290401e-16
    6.300000e-01    6.532689e-01    5.467567e-02    8.895237e-06    3.830121e-07    2.652653e-08    3.441905e-15   -1.600705e-15   -1.199364e-20   -2.584545e-16
    6.400000e-01    6.532689e-01    5.835092e-02    1.073538e-05    4.809673e-07    3.154316e-08    3.587737e-15   -1.807869e-15   -1.397697e-20   -2.896264e-16
    6.500000e-01    6.532689e-01    6.239167e-02    1.281617e-05    5.985247e-07    3.710600e-08    3.742128e-15   -2.026244e-15   -1.623373e-20   -3.221879e-16
    6.600000e-01    6.532689e-01    6.678587e-02    1.513829e-05    7.380983e-07    4.321202e-08    3.903058e-15   -2.253044e-15   -1.878532e-20   -3.556943e-16
    6.700000e-01    6.532689e-01    7.151780e-02    1.769744e-05    9.020840e-07    4.985376e-08    4.068166e-15   -2.485032e-15   -2.165094e-20   -3.896469e-16
    6.800000e-01    6.532689e-01    7.656902e-02    2.048453e-05    1.092810e-06    5.702024e-08    4.234888e-15   -2.718709e-15   -2.484695e-20   -4.235222e-16
    6.900000e-01    6.532689e-01    8.191909e-02    2.348604e-05    1.312493e-06    6.469772e-08    4.400615e-15   -2.950525e-15   -2.838625e-20   -4.568053e-16
    7.000000e-01    6.532689e-01    8.754627e-02    2.668463e-05    1.563192e-06    7.287028e-08    4.562856e-15   -3.177107e-15   -3.227805e-20   -4.890209e-16
    7.100000e-01    6.532689e-01    9.342807e-02    3.005989e-05    1.846778e-06    8.152043e-08    4.719382e-15   -3.395449e-15   -3.652768e-20   -5.197594e-16
    7.200000e-01    6.532689e-01    9.954172e-02    3.358920e-05    2.164907e-06    9.062949e-08    4.868333e-15   -3.603060e-15   -4.113686e-20   -5.486958e-16
    7.300000e-01    6.532689e-01    1.058646e-01    3.724872e-05    2.519000e-06    1.001781e-07    5.008290e-15   -3.798051e-15   -4.610401e-20   -5.755977e-16
    7.400000e-01    6.532689e-01    1.123745e-01    4.101434e-05    2.910239e-06    1.101465e-07    5.138285e-15   -3.979157e-15   -5.142479e-20   -6.003258e-16
    7.500000e-01    6.532689e-01    1.190502e-01    4.486250e-05    3.339565e-06    1.205150e-07    5.257788e-15   -4.145706e-15   -5.709275e-20   -6.228262e-16
    7.600000e-01    6.532689e-01    1.258714e-01    4.877090e-05    3.807693e-06    1.312644e-07    5.366656e-15   -4.297551e-15   -6.309997e-20   -6.431177e-16
    7.700000e-01    6.532689e-01    1.328192e-01    5.271908e-05    4.315119e-06    1.423760e-07    5.465064e-15   -4.434976e-15   -6.943765e-20   -6.612772e-16
    7.800000e-01    6.532689e-01    1.398758e-01    5.668870e-05    4.862149e-06    1.538322e-07    5.553434e-15   -4.558595e-15   -7.609668e-20   -6.774239e-16
    7.900000e-01    6.532689e-01    1.470252e-01    6.066378e-05    5.448914e-06    1.656163e-07    5.632362e-15   -4.669254e-15   -8.306811e-20   -6.917049e-16
    8.000000e-01    6.532689e-01    1.542527e-01    6.463066e-05    6.075399e-06    1.777129e-07    5.702553e-15   -4.767943e-15   -9.034346e-20   -7.042829e-16
    8.100000e-01    6.532689e-01    1.615450e-01    6.857799e-05    6.741464e-06    1.901078e-07    5.764771e-15   -4.855725e-15   -9.791503e-20   -7.153259e-16
    8.200000e-01    6.532689e-01    1.688904e-01    7.249652e-05    7.446864e-06    2.027882e-07    5.819793e-15   -4.933677e-15   -1.057760e-19   -7.250000e-16
    8.300000e-01    6.532689e-01    1.762784e-01    7.637891e-05    8.191275e-06    2.157427e-07    5.868380e-15   -5.002851e-15   -1.139207e-19   -7.334641e-16
    8.400000e-01    6.532689e-01    1.836997e-01    8.021946e-05    8.974304e-06    2.289609e-07    5.911258e-15   -5.064245e-15   -1.223443e-19   -7.408662e-16
    8.500000e-01    6.532689e-01    1.911462e-01    8.401392e-05    9.795511e-06    2.424337e-07    5.949098e-15   -5.118783e-15   -1.310433e-19   -7.473416e-16
    8.600000e-01    6.532689e-01    1.986110e-01    8.775923e-05    1.065442e-05    2.561534e-07    5.982517e-15   -5.167309e-15   -1.400151e-19   -7.530123e-16
    8.700000e-01    6.532689e-01    2.060878e-01    9.145330e-05    1.155053e-05    2.701129e-07    6.012070e-15   -5.210583e-15   -1.492582e-19   -7.579867e-16
    8.800000e-01    6.532689e-01    2.135714e-01    9.509485e-05    1.248331e-05    2.843065e-07    6.038252e-15   -5.249280e-15   -1.587718e-19   -7.623602e-16
    8.900000e-01    6.532689e-01    2.210572e-01    9.868321e-05    1.345224e-05    2.987290e-07    6.061499e-15   -5.283997e-15   -1.685563e-19   -7.662164e-16
    9.000000e-01    6.532689e-01    2.285413e-01    1.022182e-04    1.445680e-05    3.133764e-07    6.082195e-15   -5.315257e-15   -1.786127e-19   -7.696277e-16
    9.100000e-01    6.532689e-01    2.360204e-01    1.057001e-04    1.549643e-05    3.282451e-07    6.100676e-15   -5.343516e-15   -1.889428e-19   -7.726568e-16
    9.200000e-01    6.532689e-01    2.434916e-01    1.091294e-04    1.657062e-05    3.433323e-07    6.117233e-15   -5.369170e-15   -1.995490e-19   -7.753575e-16
    9.300000e-01    6.532689e-01    2.509525e-01    1.125067e-04    1.767884e-05    3.586359e-07    6.132118e-15   -5.392560e-15   -2.104345e-19   -7.777760e-16
    9.400000e-01    6.532689e-01    2.584010e-01    1.158329e-04    1.882058e-05    3.741541e-07    6.145548e-15   -5.413982e-15   -2.216029e-19   -7.799517e-16
    9.500000e-01    6.532689e-01    2.658355e-01    1.191090e-04    1.999533e-05    3.898857e-07    6.157712e-15   -5.433690e-15   -2.330584e-19   -7.819185e-16
    9.600000e-01    6.532689e-01    2.732544e-01    1.223359e-04    2.120260e-05    4.058299e-07    6.168770e-15   -5.451904e-15   -2.448057e-19   -7.837051e-16
    9.700000e-01    6.532689e-01    2.806567e-01    1.255147e-04    2.244189e-05    4.219863e-07    6.178862e-15   -5.468810e-15   -2.568499e-19   -7.853359e-16
    9.800000e-01    6.532689e-01    2.880413e-01    1.286464e-04    2.371273e-05    4.383548e-07    6.188108e-15   -5.484571e-15   -2.691966e-19   -7.868319e-16
    9.900000e-01    6.532689e-01    2.954075e-01    1.317320e-04    2.501466e-05    4.549358e-07    6.196609e-15   -5.499325e-15   -2.818516e-19   -7.882107e-16
    1.000000e+00    6.532689e-01    3.027545e-01    1.347726e-04    2.634722e-05    4.717296e-07    6.204455e-15   -5.513191e-15   -2.948215e-19   -7.894875e-16
    1.010000e+00    6.532689e-01    3.100819e-01    1.377691e-04    2.770997e-05    4.887372e-07    6.211721e-15   -5.526271e-15   -3.081127e-19   -7.906750e-16
    1.020000e+00    6.532689e-01    3.173892e-01    1.407224e-04    2.910246e-05    5.059594e-07    6.218472e-15   -5.538653e-15   -3.217325e-19   -7.917845e-16
    1.030000e+00    6.532689e-01    3.246762e-01    1.436335e-04    3.052427e-05    5.233976e-07    6.224765e-15   -5.550415e-15   -3.356880e-19   -7.928250e-16
    1.040000e+00    6.532689e-01    3.319427e-01    1.465032e-04    3.197499e-05    5.410531e-07    6.230649e-15   -5.561620e-15   -3.499871e-19   -7.938048e-16
    1.050000e+00    6.532689e-01    3.391884e-01    1.493324e-04    3.345420e-05    5.589276e-07    6.236165e-15   -5.572326e-15   -3.646378e-19   -7.947306e-16
    1.060000e+00    6.532689e-01    3.464134e-01    1.521219e-04    3.496150e-05    5.770227e-07    6.241350e-15   -5.582582e-15   -3.796483e-19   -7.956083e-16
    1.070000e+00    6.532689e-01    3.536175e-01    1.548724e-04    3.649650e-05    5.953404e-07    6.246237e-15   -5.592431e-15   -3.950274e-19   -7.964430e-16
    1.080000e+00    6.532689e-01    3.608009e-01    1.575846e-04    3.805882e-05    6.138828e-07    6.250852e-15   -5.601909e-15   -4.107840e-19   -7.972390e-16
    1.090000e+00    6.532689e-01    3.679634e-01    1.602592e-04    3.964807e-05    6.326520e-07    6.255220e-15   -5.611050e-15   -4.269273e-19   -7.980001e-16
    1.100000e+00    6.532689e-01    3.751054e-01    1.628969e-04    4.126388e-05    6.516504e-07    6.259362e-15   -5.619882e-15   -4.434671e-19   -7.987295e-16
    1.110000e+00    6.532689e-01    3.822267e-01    1.654983e-04    4.290589e-05    6.708804e-07    6.263296e-15   -5.628430e-15   -4.604131e-19   -7.994301e-16
