# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: ff
# Temperature: -40 C
# W = 2.0 um
# L = 0.28 um (280 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.931349e-01    3.792918e-02    4.606914e-13    1.672653e-12    1.497802e-14    6.857075e-16   -1.297114e-18    2.941940e-20   -1.839709e-19
    1.000000e-02    5.931349e-01    3.792918e-02    6.628746e-13    1.677260e-12    2.155572e-14    6.816735e-16   -1.377553e-18    3.336147e-20   -2.073650e-19
    2.000000e-02    5.931349e-01    3.792918e-02    9.537175e-13    1.686205e-12    3.101970e-14    6.777338e-16   -1.486443e-18    3.780571e-20   -2.336265e-19
    3.000000e-02    5.931349e-01    3.792918e-02    1.372065e-12    1.697708e-12    4.463541e-14    6.738888e-16   -1.626851e-18    4.281116e-20   -2.630873e-19
    4.000000e-02    5.931349e-01    3.792918e-02    1.973769e-12    1.714256e-12    6.422262e-14    6.701394e-16   -1.802172e-18    4.844316e-20   -2.961150e-19
    5.000000e-02    5.931349e-01    3.792918e-02    2.839118e-12    1.738059e-12    9.239800e-14    6.664868e-16   -2.016167e-18    5.477409e-20   -3.331174e-19
    6.000000e-02    5.931349e-01    3.792918e-02    4.083533e-12    1.772298e-12    1.329238e-13    6.629325e-16   -2.273005e-18    6.188420e-20   -3.745473e-19
    7.000000e-02    5.931349e-01    3.792918e-02    5.872907e-12    1.821541e-12    1.912087e-13    6.594787e-16   -2.577322e-18    6.986275e-20   -4.209082e-19
    8.000000e-02    5.931349e-01    3.792918e-02    8.445667e-12    1.892358e-12    2.750280e-13    6.561278e-16   -2.934282e-18    7.880919e-20   -4.727610e-19
    9.000000e-02    5.931349e-01    3.792919e-02    1.214444e-11    1.994195e-12    3.955571e-13    6.528829e-16   -3.349665e-18    8.883487e-20   -5.307319e-19
