# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.462261e+01    7.234044e+02    5.085385e-05    4.848589e+04    5.779475e-09    1.250148e-15    1.332125e-10    3.227486e-11    3.800000e-01    6.217549e-01    2.906862e-02
    3.460871e+01    7.199818e+02    7.189390e-05    6.848186e+04    5.782585e-09    1.478768e-15    1.651175e-10    3.796041e-11    3.900000e-01    6.217549e-01    2.908495e-02
    3.451226e+01    7.160398e+02    1.015818e-04    9.636622e+04    5.790080e-09    1.748638e-15    2.028607e-10    4.464696e-11    4.000000e-01    6.217549e-01    2.910797e-02
    3.434359e+01    7.115410e+02    1.433380e-04    1.350187e+05    5.802740e-09    2.067219e-15    2.475227e-10    5.251080e-11    4.100000e-01    6.217549e-01    2.914030e-02
    3.410888e+01    7.064669e+02    2.018501e-04    1.882280e+05    5.821465e-09    2.443327e-15    3.003691e-10    6.175595e-11    4.200000e-01    6.217549e-01    2.918548e-02
    3.381158e+01    7.008254e+02    2.834918e-04    2.608975e+05    5.847310e-09    2.887343e-15    3.628681e-10    7.261670e-11    4.300000e-01    6.217549e-01    2.924831e-02
    3.345353e+01    6.946647e+02    3.968518e-04    3.592546e+05    5.881500e-09    3.411460e-15    4.367053e-10    8.535910e-11    4.400000e-01    6.217549e-01    2.933515e-02
    3.303616e+01    6.880852e+02    5.533910e-04    4.910474e+05    5.925410e-09    4.029939e-15    5.237930e-10    1.002821e-10    4.500000e-01    6.217549e-01    2.945430e-02
    3.256129e+01    6.812513e+02    7.682405e-04    6.656950e+05    5.980585e-09    4.759379e-15    6.262730e-10    1.177167e-10    4.600000e-01    6.217549e-01    2.961642e-02
    3.203173e+01    6.743992e+02    1.061158e-03    8.943669e+05    6.048740e-09    5.618995e-15    7.465085e-10    1.380241e-10    4.700000e-01    6.217549e-01    2.983489e-02
    3.145176e+01    6.678378e+02    1.457645e-03    1.189962e+06    6.131740e-09    6.630880e-15    8.870600e-10    1.615905e-10    4.800000e-01    6.217549e-01    3.012611e-02
    3.082703e+01    6.619402e+02    1.990238e-03    1.566970e+06    6.231555e-09    7.820255e-15    1.050643e-09    1.888189e-10    4.900000e-01    6.217549e-01    3.050957e-02
    3.016420e+01    6.571194e+02    2.699977e-03    2.041184e+06    6.350235e-09    9.215655e-15    1.240062e-09    2.201168e-10    5.000000e-01    6.217549e-01    3.100771e-02
    2.947015e+01    6.537957e+02    3.638029e-03    2.629273e+06    6.489825e-09    1.084905e-14    1.458104e-09    2.558790e-10    5.100000e-01    6.217549e-01    3.164542e-02
    2.875106e+01    6.523529e+02    4.867449e-03    3.348157e+06    6.652265e-09    1.275583e-14    1.707413e-09    2.964644e-10    5.200000e-01    6.217549e-01    3.244918e-02
    2.801172e+01    6.530961e+02    6.465000e-03    4.214225e+06    6.839285e-09    1.497469e-14    1.990302e-09    3.421688e-10    5.300000e-01    6.217549e-01    3.344592e-02
    2.725525e+01    6.562173e+02    8.522880e-03    5.242412e+06    7.052215e-09    1.754729e-14    2.308557e-09    3.931917e-10    5.400000e-01    6.217549e-01    3.466167e-02
