# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 5 um (5000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.455874e+01    7.504442e+02    4.759890e-05    4.070789e+04    6.431265e-09    1.437011e-15    1.547287e-10    3.710464e-11    3.800000e-01    6.206862e-01    2.889537e-02
    3.455160e+01    7.468130e+02    6.725175e-05    5.746506e+04    6.435585e-09    1.699517e-15    1.913761e-10    4.363682e-11    3.900000e-01    6.206862e-01    2.891238e-02
    3.445794e+01    7.426353e+02    9.497005e-05    8.081231e+04    6.444935e-09    2.009360e-15    2.347291e-10    5.131855e-11    4.000000e-01    6.206862e-01    2.893633e-02
    3.428907e+01    7.378747e+02    1.339356e-04    1.131426e+05    6.460200e-09    2.375100e-15    2.860260e-10    6.035155e-11    4.100000e-01    6.206862e-01    2.896995e-02
    3.405181e+01    7.325153e+02    1.885047e-04    1.575961e+05    6.482415e-09    2.806841e-15    3.467140e-10    7.096905e-11    4.200000e-01    6.206862e-01    2.901690e-02
    3.375017e+01    7.265703e+02    2.645920e-04    2.182256e+05    6.512790e-09    3.316479e-15    4.184687e-10    8.343810e-11    4.300000e-01    6.206862e-01    2.908214e-02
    3.338648e+01    7.200965e+02    3.701569e-04    3.001619e+05    6.552710e-09    3.917970e-15    5.032090e-10    9.806145e-11    4.400000e-01    6.206862e-01    2.917222e-02
    3.296261e+01    7.132080e+02    5.158035e-04    4.097664e+05    6.603735e-09    4.627623e-15    6.031075e-10    1.151783e-10    4.500000e-01    6.206862e-01    2.929566e-02
    3.248080e+01    7.060853e+02    7.155085e-04    5.547413e+05    6.667625e-09    5.464395e-15    7.205885e-10    1.351633e-10    4.600000e-01    6.206862e-01    2.946340e-02
    3.194431e+01    6.989856e+02    9.874900e-04    7.441835e+05    6.746310e-09    6.450215e-15    8.583195e-10    1.584236e-10    4.700000e-01    6.206862e-01    2.968910e-02
    3.135777e+01    6.922407e+02    1.355221e-03    9.885519e+05    6.841885e-09    7.610240e-15    1.019180e-09    1.853927e-10    4.800000e-01    6.206862e-01    2.998943e-02
    3.072717e+01    6.862457e+02    1.848596e-03    1.299542e+06    6.956555e-09    8.973160e-15    1.206209e-09    2.165207e-10    4.900000e-01    6.206862e-01    3.038413e-02
    3.005935e+01    6.814347e+02    2.505254e-03    1.689840e+06    7.092605e-09    1.057135e-14    1.422523e-09    2.522592e-10    5.000000e-01    6.206862e-01    3.089579e-02
    2.936129e+01    6.782435e+02    3.372044e-03    2.172768e+06    7.252290e-09    1.244103e-14    1.671199e-09    2.930412e-10    5.100000e-01    6.206862e-01    3.154935e-02
    2.863911e+01    6.770629e+02    4.506595e-03    2.761775e+06    7.437720e-09    1.462219e-14    1.955112e-09    3.392548e-10    5.200000e-01    6.206862e-01    3.237117e-02
    2.789746e+01    6.781979e+02    5.978935e-03    3.469801e+06    7.650750e-09    1.715842e-14    2.276741e-09    3.912111e-10    5.300000e-01    6.206862e-01    3.338784e-02
    2.713931e+01    6.818326e+02    7.873020e-03    4.308553e+06    7.892760e-09    2.009648e-14    2.637926e-09    4.491072e-10    5.400000e-01    6.206862e-01    3.462494e-02
    2.636625e+01    6.880146e+02    1.028807e-02    5.287766e+06    8.164505e-09    2.348566e-14    3.039608e-09    5.129880e-10    5.500000e-01    6.206862e-01    3.610564e-02
    2.557931e+01    6.966586e+02    1.333945e-02    6.414658e+06    8.465905e-09    2.737678e-14    3.481575e-09    5.827090e-10    5.600000e-01    6.206862e-01    3.784975e-02
    2.477978e+01    7.075652e+02    1.715918e-02    7.693697e+06    8.795875e-09    3.182105e-14    3.962219e-09    6.579065e-10    5.700000e-01    6.206862e-01    3.987298e-02
    2.396976e+01    7.204477e+02    2.189572e-02    9.126757e+06    9.152220e-09    3.686862e-14    4.478395e-09    7.379820e-10    5.800000e-01    6.206862e-01    4.218666e-02
    2.315242e+01    7.349634e+02    2.771319e-02    1.071367e+07    9.531580e-09    4.256705e-14    5.025360e-09    8.221020e-10    5.900000e-01    6.206862e-01    4.479785e-02
    2.233167e+01    7.507340e+02    3.479006e-02    1.245285e+07    9.929510e-09    4.895965e-14    5.596870e-09    9.092245e-10    6.000000e-01    6.206862e-01    4.770965e-02
