# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: ff
# Temperature: 25 C
# W = 2.0 um
# L = 6 um (6000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.465469e-01    3.657157e-02    1.532056e-12    1.713928e-12    1.906287e-15    1.713476e-14    1.634196e-17   -1.714010e-22   -4.070256e-18
    1.000000e-02    5.465469e-01    3.657158e-02    2.034788e-12    1.729248e-12    2.532519e-15    1.705988e-14    1.629032e-17   -1.967974e-22   -4.654354e-18
    2.000000e-02    5.465469e-01    3.657160e-02    2.702236e-12    1.755171e-12    3.364204e-15    1.698631e-14    1.574591e-17   -2.259190e-22   -5.320718e-18
    3.000000e-02    5.465469e-01    3.657162e-02    3.588268e-12    1.786415e-12    4.468640e-15    1.691406e-14    1.464621e-17   -2.593024e-22   -6.080554e-18
    4.000000e-02    5.465469e-01    3.657164e-02    4.764320e-12    1.827902e-12    5.935126e-15    1.684318e-14    1.292083e-17   -2.975590e-22   -6.946514e-18
    5.000000e-02    5.465469e-01    3.657168e-02    6.325112e-12    1.882982e-12    7.882136e-15    1.677369e-14    1.049068e-17   -3.413852e-22   -7.932870e-18
    6.000000e-02    5.465469e-01    3.657172e-02    8.396202e-12    1.956101e-12    1.046682e-14    1.670564e-14    7.267013e-18   -3.915732e-22   -9.055708e-18
    7.000000e-02    5.465469e-01    3.657179e-02    1.114399e-11    2.053157e-12    1.389759e-14    1.663909e-14    3.150291e-18   -4.490238e-22   -1.033316e-17
    8.000000e-02    5.465469e-01    3.657187e-02    1.478891e-11    2.181966e-12    1.845078e-14    1.657409e-14   -1.971043e-18   -5.147608e-22   -1.178564e-17
    9.000000e-02    5.465469e-01    3.657198e-02    1.962293e-11    2.352891e-12    2.449268e-14    1.651071e-14   -8.222070e-18   -5.899468e-22   -1.343616e-17
    1.000000e-01    5.465469e-01    3.657212e-02    2.603253e-11    2.579666e-12    3.250873e-14    1.644905e-14   -1.574317e-17   -6.759013e-22   -1.531068e-17
    1.100000e-01    5.465469e-01    3.657231e-02    3.452919e-11    2.880485e-12    4.314199e-14    1.638919e-14   -2.469215e-17   -7.741223e-22   -1.743847e-17
    1.200000e-01    5.465469e-01    3.657256e-02    4.578933e-11    3.279443e-12    5.724411e-14    1.633124e-14   -3.524692e-17   -8.863090e-22   -1.985263e-17
    1.300000e-01    5.465469e-01    3.657290e-02    6.070712e-11    3.808439e-12    7.594246e-14    1.627534e-14   -4.760863e-17   -1.014390e-21   -2.259063e-17
    1.400000e-01    5.465469e-01    3.657335e-02    8.046373e-11    4.509683e-12    1.007287e-13    1.622163e-14   -6.200566e-17   -1.160554e-21   -2.569498e-17
    1.500000e-01    5.465469e-01    3.657394e-02    1.066183e-10    5.438999e-12    1.335756e-13    1.617028e-14   -7.869833e-17   -1.327286e-21   -2.921399e-17
    1.600000e-01    5.465469e-01    3.657472e-02    1.412271e-10    6.670176e-12    1.770903e-13    1.612149e-14   -9.798461e-17   -1.517413e-21   -3.320272e-17
    1.700000e-01    5.465469e-01    3.657575e-02    1.869995e-10    8.300684e-12    2.347164e-13    1.607549e-14   -1.202069e-16   -1.734146e-21   -3.772399e-17
    1.800000e-01    5.465469e-01    3.657713e-02    2.475012e-10    1.045917e-11    3.109980e-13    1.603255e-14   -1.457599e-16   -1.981142e-21   -4.284960e-17
    1.900000e-01    5.465469e-01    3.657894e-02    3.274191e-10    1.331531e-11    4.119266e-13    1.599298e-14   -1.750994e-16   -2.262571e-21   -4.866168e-17
    2.000000e-01    5.465469e-01    3.658134e-02    4.329044e-10    1.709262e-11    5.453934e-13    1.595715e-14   -2.087529e-16   -2.583185e-21   -5.525420e-17
    2.100000e-01    5.465469e-01    3.658451e-02    5.720172e-10    2.208529e-11    7.217785e-13    1.592547e-14   -2.473302e-16   -2.948411e-21   -6.273463e-17
    2.200000e-01    5.465469e-01    3.658870e-02    7.552981e-10    2.867994e-11    9.547171e-13    1.589845e-14   -2.915362e-16   -3.364451e-21   -7.122571e-17
    2.300000e-01    5.465469e-01    3.659422e-02    9.965021e-10    3.738400e-11    1.262091e-12    1.587664e-14   -3.421834e-16   -3.838388e-21   -8.086736e-17
    2.400000e-01    5.465469e-01    3.660150e-02    1.313534e-09    4.886232e-11    1.667305e-12    1.586070e-14   -4.002059e-16   -4.378323e-21   -9.181867e-17
    2.500000e-01    5.465469e-01    3.661109e-02    1.729636e-09    6.398438e-11    2.200927e-12    1.585140e-14   -4.666734e-16   -4.993511e-21   -1.042600e-16
    2.600000e-01    5.465469e-01    3.662371e-02    2.274883e-09    8.388485e-11    2.902781e-12    1.584958e-14   -5.428058e-16   -5.694527e-21   -1.183948e-16
    2.700000e-01    5.465469e-01    3.664027e-02    2.988056e-09    1.100410e-10    3.824590e-12    1.585624e-14   -6.299874e-16   -6.493436e-21   -1.344521e-16
    2.800000e-01    5.465469e-01    3.666200e-02    3.918965e-09    1.443707e-10    5.033309e-12    1.587248e-14   -7.297810e-16   -7.403996e-21   -1.526881e-16
    2.900000e-01    5.465469e-01    3.669043e-02    5.131308e-09    1.893571e-10    6.615264e-12    1.589955e-14   -8.439412e-16   -8.441862e-21   -1.733882e-16
    3.000000e-01    5.465469e-01    3.672755e-02    6.706160e-09    2.482037e-10    8.681257e-12    1.593885e-14   -9.744270e-16   -9.624820e-21   -1.968681e-16
    3.100000e-01    5.465469e-01    3.677591e-02    8.746185e-09    3.250291e-10    1.137275e-11    1.599194e-14   -1.123411e-15   -1.097303e-20   -2.234756e-16
    3.200000e-01    5.465469e-01    3.683874e-02    1.138067e-08    4.251068e-10    1.486925e-11    1.606053e-14   -1.293289e-15   -1.250930e-20   -2.535908e-16
    3.300000e-01    5.465469e-01    3.692008e-02    1.477149e-08    5.551611e-10    1.939698e-11    1.614650e-14   -1.486682e-15   -1.425933e-20   -2.876260e-16
    3.400000e-01    5.465469e-01    3.702501e-02    1.912013e-08    7.237265e-10    2.523872e-11    1.625191e-14   -1.706432e-15   -1.625201e-20   -3.260242e-16
    3.500000e-01    5.465469e-01    3.715982e-02    2.467585e-08    9.415842e-10    3.274475e-11    1.637896e-14   -1.955599e-15   -1.851973e-20   -3.692573e-16
