# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 25C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.755237e+01    4.897240e+02    8.335760e-05    1.412498e+05    2.587835e-09    6.469510e-16    5.618055e-11    1.320593e-11    2.600000e-01    5.615220e-01    4.003709e-02
    2.754524e+01    4.885266e+02    1.097999e-04    1.861809e+05    2.585433e-09    7.388300e-16    6.587955e-11    1.501049e-11    2.700000e-01    5.615220e-01    4.004774e-02
    2.751205e+01    4.871925e+02    1.446004e-04    2.450161e+05    2.584151e-09    8.436350e-16    7.700075e-11    1.706285e-11    2.800000e-01    5.615220e-01    4.006173e-02
    2.745558e+01    4.857117e+02    1.903451e-04    3.218675e+05    2.584136e-09    9.632015e-16    8.975175e-11    1.939722e-11    2.900000e-01    5.615220e-01    4.008012e-02
    2.737761e+01    4.840761e+02    2.503926e-04    4.219714e+05    2.585557e-09    1.099624e-15    1.043683e-10    2.205208e-11    3.000000e-01    5.615220e-01    4.010423e-02
    2.727920e+01    4.822811e+02    3.290925e-04    5.519556e+05    2.588604e-09    1.255295e-15    1.211171e-10    2.507059e-11    3.100000e-01    5.615220e-01    4.013580e-02
    2.716084e+01    4.803259e+02    4.320595e-04    7.201483e+05    2.593492e-09    1.432941e-15    1.402975e-10    2.850079e-11    3.200000e-01    5.615220e-01    4.017703e-02
    2.702265e+01    4.782167e+02    5.665160e-04    9.369355e+05    2.600463e-09    1.635662e-15    1.622445e-10    3.239595e-11    3.300000e-01    5.615220e-01    4.023075e-02
    2.686457e+01    4.759679e+02    7.417155e-04    1.215159e+06    2.609782e-09    1.866978e-15    1.873294e-10    3.681470e-11    3.400000e-01    5.615220e-01    4.030056e-02
    2.668641e+01    4.736049e+02    9.694660e-04    1.570552e+06    2.621746e-09    2.130871e-15    2.159618e-10    4.182114e-11    3.500000e-01    5.615220e-01    4.039098e-02
    2.648809e+01    4.711668e+02    1.264766e-03    2.022197e+06    2.636680e-09    2.431838e-15    2.485901e-10    4.748480e-11    3.600000e-01    5.615220e-01    4.050767e-02
    2.626967e+01    4.687078e+02    1.646579e-03    2.593007e+06    2.654934e-09    2.774936e-15    2.857006e-10    5.388035e-11    3.700000e-01    5.615220e-01    4.065767e-02
    2.603149e+01    4.663019e+02    2.138768e-03    3.310184e+06    2.676890e-09    3.165835e-15    3.278157e-10    6.108725e-11    3.800000e-01    5.615220e-01    4.084957e-02
    2.577416e+01    4.640413e+02    2.771202e-03    4.205664e+06    2.702952e-09    3.610867e-15    3.754910e-10    6.918885e-11    3.900000e-01    5.615220e-01    4.109382e-02
    2.549867e+01    4.620396e+02    3.581090e-03    5.316515e+06    2.733543e-09    4.117066e-15    4.293084e-10    7.827130e-11    4.000000e-01    5.615220e-01    4.140288e-02
    2.520619e+01    4.604281e+02    4.614541e-03    6.685231e+06    2.769105e-09    4.692218e-15    4.898686e-10    8.842200e-11    4.100000e-01    5.615220e-01    4.179142e-02
    2.489797e+01    4.593516e+02    5.928390e-03    8.359910e+06    2.810083e-09    5.344880e-15    5.577785e-10    9.972730e-11    4.200000e-01    5.615220e-01    4.227640e-02
    2.457505e+01    4.589616e+02    7.592315e-03    1.039420e+07    2.856918e-09    6.084410e-15    6.336365e-10    1.122702e-10    4.300000e-01    5.615220e-01    4.287706e-02
    2.423807e+01    4.594066e+02    9.691220e-03    1.284692e+07    2.910031e-09    6.920965e-15    7.180115e-10    1.261268e-10    4.400000e-01    5.615220e-01    4.361466e-02
    2.388684e+01    4.608198e+02    1.232789e-02    1.578115e+07    2.969811e-09    7.865485e-15    8.114215e-10    1.413627e-10    4.500000e-01    5.615220e-01    4.451219e-02
    2.352018e+01    4.633027e+02    1.562573e-02    1.926263e+07    3.036585e-09    8.929655e-15    9.143035e-10    1.580284e-10    4.600000e-01    5.615220e-01    4.559375e-02
    2.313583e+01    4.669154e+02    1.973159e-02    2.335726e+07    3.110609e-09    1.012582e-14    1.026986e-09    1.761550e-10    4.700000e-01    5.615220e-01    4.688382e-02
    2.273057e+01    4.716630e+02    2.481821e-02    2.812767e+07    3.192030e-09    1.146691e-14    1.149654e-09    1.957497e-10    4.800000e-01    5.615220e-01    4.840630e-02
    2.230064e+01    4.774900e+02    3.108613e-02    3.362901e+07    3.280877e-09    1.296628e-14    1.282318e-09    2.167908e-10    4.900000e-01    5.615220e-01    5.018355e-02
    2.184241e+01    4.842817e+02    3.876459e-02    3.990444e+07    3.377028e-09    1.463757e-14    1.424785e-09    2.392241e-10    5.000000e-01    5.615220e-01    5.223542e-02
    2.135295e+01    4.918677e+02    4.811124e-02    4.698085e+07    3.480196e-09    1.649447e-14    1.576636e-09    2.629603e-10    5.100000e-01    5.615220e-01    5.457831e-02
    2.083080e+01    5.000371e+02    5.941025e-02    5.486591e+07    3.589920e-09    1.855053e-14    1.737208e-09    2.878737e-10    5.200000e-01    5.615220e-01    5.722451e-02
    2.027632e+01    5.085534e+02    7.296890e-02    6.354675e+07    3.705560e-09    2.081891e-14    1.905591e-09    3.138027e-10    5.300000e-01    5.615220e-01    6.018180e-02
    1.969191e+01    5.171725e+02    8.911270e-02    7.299091e+07    3.826298e-09    2.331214e-14    2.080642e-09    3.405532e-10    5.400000e-01    5.615220e-01    6.345329e-02
    1.908177e+01    5.256603e+02    1.081796e-01    8.314938e+07    3.951165e-09    2.604185e-14    2.261003e-09    3.679029e-10    5.500000e-01    5.615220e-01    6.703758e-02
    1.845154e+01    5.338058e+02    1.305136e-01    9.396105e+07    4.079063e-09    2.901863e-14    2.445150e-09    3.956086e-10    5.600000e-01    5.615220e-01    7.092919e-02
    1.780776e+01    5.414303e+02    1.564576e-01    1.053580e+08    4.208803e-09    3.225176e-14    2.631435e-09    4.234150e-10    5.700000e-01    5.615220e-01    7.511906e-02
    1.715729e+01    5.483926e+02    1.863480e-01    1.172705e+08    4.339150e-09    3.574916e-14    2.818158e-09    4.510640e-10    5.800000e-01    5.615220e-01    7.959531e-02
    1.650676e+01    5.545893e+02    2.205084e-01    1.296312e+08    4.468869e-09    3.951723e-14    3.003618e-09    4.783046e-10    5.900000e-01    5.615220e-01    8.434386e-02
    1.586225e+01    5.599532e+02    2.592455e-01    1.423783e+08    4.596768e-09    4.356087e-14    3.186189e-09    5.049020e-10    6.000000e-01    5.615220e-01    8.934913e-02
