# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 25C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.747930e+01    5.499999e+02    7.527285e-05    1.011710e+05    3.253930e-09    9.047660e-16    8.146120e-11    1.862326e-11    2.600000e-01    5.570880e-01    3.899394e-02
    2.747313e+01    5.485573e+02    9.907860e-05    1.332128e+05    3.252088e-09    1.032755e-15    9.517135e-11    2.116249e-11    2.700000e-01    5.570880e-01    3.900608e-02
    2.743850e+01    5.469529e+02    1.303861e-04    1.751006e+05    3.251804e-09    1.178715e-15    1.108860e-10    2.404963e-11    2.800000e-01    5.570880e-01    3.902205e-02
    2.737853e+01    5.451769e+02    1.715049e-04    2.297125e+05    3.253286e-09    1.345192e-15    1.288947e-10    2.733212e-11    2.900000e-01    5.570880e-01    3.904300e-02
    2.729527e+01    5.432223e+02    2.254292e-04    3.006985e+05    3.256765e-09    1.535088e-15    1.495246e-10    3.106306e-11    3.000000e-01    5.570880e-01    3.907045e-02
    2.719001e+01    5.410864e+02    2.960288e-04    3.926558e+05    3.262507e-09    1.751711e-15    1.731435e-10    3.530171e-11    3.100000e-01    5.570880e-01    3.910633e-02
    2.706341e+01    5.387723e+02    3.882882e-04    5.113310e+05    3.270805e-09    1.998824e-15    2.001628e-10    4.011370e-11    3.200000e-01    5.570880e-01    3.915313e-02
    2.691581e+01    5.362929e+02    5.086030e-04    6.638493e+05    3.281988e-09    2.280694e-15    2.310389e-10    4.557139e-11    3.300000e-01    5.570880e-01    3.921400e-02
    2.674732e+01    5.336713e+02    6.651460e-04    8.589645e+05    3.296418e-09    2.602152e-15    2.662757e-10    5.175390e-11    3.400000e-01    5.570880e-01    3.929295e-02
    2.655798e+01    5.309453e+02    8.683170e-04    1.107328e+06    3.314493e-09    2.968653e-15    3.064249e-10    5.874710e-11    3.500000e-01    5.570880e-01    3.939498e-02
    2.634793e+01    5.281690e+02    1.131286e-03    1.421767e+06    3.336648e-09    3.386332e-15    3.520856e-10    6.664340e-11    3.600000e-01    5.570880e-01    3.952633e-02
    2.611753e+01    5.254174e+02    1.470650e-03    1.817564e+06    3.363349e-09    3.862068e-15    4.039025e-10    7.554125e-11    3.700000e-01    5.570880e-01    3.969469e-02
    2.586737e+01    5.227864e+02    1.907229e-03    2.312722e+06    3.395093e-09    4.403545e-15    4.625616e-10    8.554410e-11    3.800000e-01    5.570880e-01    3.990939e-02
