# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: ff
# Temperature: 85 C
# W = 2.0 um
# L = 0.28 um (280 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    4.611189e-01    5.857030e-02    4.613895e-09    1.971338e-10    1.595618e-10    6.697277e-16   -3.818577e-17    7.053287e-19   -4.741503e-18
    1.000000e-02    4.611189e-01    5.857119e-02    5.837541e-09    2.491534e-10    2.019511e-10    6.688832e-16   -4.129474e-17    7.655716e-19   -5.107965e-18
    2.000000e-02    4.611189e-01    5.857230e-02    7.383911e-09    3.149608e-10    2.555442e-10    6.683133e-16   -4.467865e-17    8.309943e-19   -5.502327e-18
    3.000000e-02    4.611189e-01    5.857372e-02    9.337410e-09    3.981893e-10    3.232801e-10    6.680345e-16   -4.835899e-17    9.020125e-19   -5.926513e-18
    4.000000e-02    4.611189e-01    5.857550e-02    1.180424e-08    5.034209e-10    4.088596e-10    6.680641e-16   -5.235862e-17    9.790683e-19   -6.382543e-18
    5.000000e-02    4.611189e-01    5.857776e-02    1.491789e-08    6.364311e-10    5.169391e-10    6.684211e-16   -5.670173e-17    1.062631e-18   -6.872529e-18
    6.000000e-02    4.611189e-01    5.858061e-02    1.884601e-08    8.044949e-10    6.533724e-10    6.691253e-16   -6.141391e-17    1.153197e-18   -7.398673e-18
    7.000000e-02    4.611189e-01    5.858422e-02    2.379892e-08    1.016769e-09    8.255111e-10    6.701979e-16   -6.652211e-17    1.251292e-18   -7.963264e-18
    8.000000e-02    4.611189e-01    5.858876e-02    3.004012e-08    1.284770e-09    1.042578e-09    6.716613e-16   -7.205467e-17    1.357467e-18   -8.568672e-18
    9.000000e-02    4.611189e-01    5.859450e-02    3.789933e-08    1.622968e-09    1.316129e-09    6.735391e-16   -7.804128e-17    1.472303e-18   -9.217341e-18
    1.000000e-01    4.611189e-01    5.860174e-02    4.778847e-08    2.049527e-09    1.660621e-09    6.758560e-16   -8.451290e-17    1.596406e-18   -9.911776e-18
    1.100000e-01    4.611189e-01    5.861086e-02    6.022127e-08    2.587222e-09    2.094117e-09    6.786377e-16   -9.150174e-17    1.730409e-18   -1.065454e-17
    1.200000e-01    4.611189e-01    5.862235e-02    7.583727e-08    3.264571e-09    2.639142e-09    6.819112e-16   -9.904111e-17    1.874967e-18   -1.144822e-17
    1.300000e-01    4.611189e-01    5.863681e-02    9.543088e-08    4.117236e-09    3.323732e-09    6.857043e-16   -1.071653e-16    2.030756e-18   -1.229543e-17
    1.400000e-01    4.611189e-01    5.865498e-02    1.199866e-07    5.189742e-09    4.182707e-09    6.900454e-16   -1.159094e-16    2.198470e-18   -1.319879e-17
    1.500000e-01    4.611189e-01    5.867782e-02    1.507213e-07    6.537582e-09    5.259209e-09    6.949638e-16   -1.253091e-16    2.378817e-18   -1.416088e-17
    1.600000e-01    4.611189e-01    5.870647e-02    1.891348e-07    8.229787e-09    6.606545e-09    7.004888e-16   -1.354003e-16    2.572513e-18   -1.518421e-17
    1.700000e-01    4.611189e-01    5.874239e-02    2.370695e-07    1.035205e-08    8.290390e-09    7.066502e-16   -1.462189e-16    2.780276e-18   -1.627124e-17
    1.800000e-01    4.611189e-01    5.878733e-02    2.967811e-07    1.301047e-08    1.039139e-08    7.134774e-16   -1.578005e-16    3.002818e-18   -1.742426e-17
    1.900000e-01    4.611189e-01    5.884350e-02    3.710202e-07    1.633615e-08    1.300819e-08    7.209993e-16   -1.701798e-16    3.240839e-18   -1.864542e-17
    2.000000e-01    4.611189e-01    5.891357e-02    4.631272e-07    2.049051e-08    1.626103e-08    7.292438e-16   -1.833901e-16    3.495017e-18   -1.993665e-17
    2.100000e-01    4.611189e-01    5.900082e-02    5.771396e-07    2.567181e-08    2.029572e-08    7.382376e-16   -1.974629e-16    3.765993e-18   -2.129963e-17
    2.200000e-01    4.611189e-01    5.910922e-02    7.179140e-07    3.212264e-08    2.528834e-08    7.480052e-16   -2.124270e-16    4.054366e-18   -2.273573e-17
    2.300000e-01    4.611189e-01    5.924359e-02    8.912604e-07    4.013883e-08    3.145029e-08    7.585690e-16   -2.283083e-16    4.360673e-18   -2.424593e-17
    2.400000e-01    4.611189e-01    5.940970e-02    1.104090e-06    5.007968e-08    3.903399e-08    7.699482e-16   -2.451288e-16    4.685383e-18   -2.583085e-17
    2.500000e-01    4.611189e-01    5.961445e-02    1.364575e-06    6.237977e-08    4.833890e-08    7.821584e-16   -2.629057e-16    5.028875e-18   -2.749059e-17
    2.600000e-01    4.611189e-01    5.986598e-02    1.682315e-06    7.756240e-08    5.971790e-08    7.952109e-16   -2.816510e-16    5.391427e-18   -2.922476e-17
    2.700000e-01    4.611189e-01    6.017390e-02    2.068508e-06    9.625471e-08    7.358375e-08    8.091123e-16   -3.013707e-16    5.773203e-18   -3.103242e-17
    2.800000e-01    4.611189e-01    6.054931e-02    2.536129e-06    1.192046e-07    9.041540e-08    8.238636e-16   -3.220639e-16    6.174235e-18   -3.291197e-17
    2.900000e-01    4.611189e-01    6.100503e-02    3.100093e-06    1.472992e-07    1.107638e-07    8.394600e-16   -3.437223e-16    6.594411e-18   -3.486122e-17
    3.000000e-01    4.611189e-01    6.155559e-02    3.777403e-06    1.815852e-07    1.352568e-07    8.558900e-16   -3.663296e-16    7.033464e-18   -3.687729e-17
    3.100000e-01    4.611189e-01    6.221727e-02    4.587277e-06    2.232903e-07    1.646023e-07    8.731351e-16   -3.898610e-16    7.490959e-18   -3.895661e-17
    3.200000e-01    4.611189e-01    6.300802e-02    5.551214e-06    2.738458e-07    1.995893e-07    8.911696e-16   -4.142827e-16    7.966290e-18   -4.109491e-17
    3.300000e-01    4.611189e-01    6.394729e-02    6.692994e-06    3.349092e-07    2.410856e-07    9.099604e-16   -4.395520e-16    8.458671e-18   -4.328729e-17
    3.400000e-01    4.611189e-01    6.505576e-02    8.038565e-06    4.083872e-07    2.900312e-07    9.294669e-16   -4.656171e-16    8.967137e-18   -4.552815e-17
    3.500000e-01    4.611189e-01    6.635489e-02    9.615780e-06    4.964554e-07    3.474267e-07    9.496410e-16   -4.924173e-16    9.490545e-18   -4.781131e-17
    3.600000e-01    4.611189e-01    6.786644e-02    1.145394e-05    6.015759e-07    4.143140e-07    9.704276e-16   -5.198835e-16    1.002758e-17   -5.013003e-17
    3.700000e-01    4.611189e-01    6.961178e-02    1.358308e-05    7.265081e-07    4.917515e-07    9.917647e-16   -5.479385e-16    1.057678e-17   -5.247710e-17
    3.800000e-01    4.611189e-01    7.161120e-02    1.603302e-05    8.743115e-07    5.807795e-07    1.013584e-15   -5.764982e-16    1.113652e-17   -5.484492e-17
    3.900000e-01    4.611189e-01    7.388311e-02    1.883214e-05    1.048338e-06    6.823803e-07    1.035814e-15   -6.054723e-16    1.170506e-17   -5.722559e-17
    4.000000e-01    4.611189e-01    7.644332e-02    2.200588e-05    1.252209e-06    7.974316e-07    1.058375e-15   -6.347657e-16    1.228056e-17   -5.961103e-17
    4.100000e-01    4.611189e-01    7.930436e-02    2.557520e-05    1.489781e-06    9.266586e-07    1.081188e-15   -6.642794e-16    1.286109e-17   -6.199307e-17
    4.200000e-01    4.611189e-01    8.247489e-02    2.955495e-05    1.765090e-06    1.070587e-06    1.104168e-15   -6.939124e-16    1.344467e-17   -6.436360e-17
    4.300000e-01    4.611189e-01    8.595937e-02    3.395250e-05    2.082282e-06    1.229503e-06    1.127233e-15   -7.235628e-16    1.402931e-17   -6.671467e-17
    4.400000e-01    4.611189e-01    8.975784e-02    3.876667e-05    2.445538e-06    1.403426e-06    1.150298e-15   -7.531292e-16    1.461300e-17   -6.903857e-17
    4.500000e-01    4.611189e-01    9.386601e-02    4.398718e-05    2.858980e-06    1.592093e-06    1.173280e-15   -7.825124e-16    1.519380e-17   -7.132797e-17
