# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: fs
# Temperature: -40 C
# W = 2.0 um
# L = 0.28 um (280 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.192801e-01    3.790516e-02    1.946344e-13    1.665382e-12    6.224501e-15    6.999605e-16   -1.078514e-18    2.136787e-20   -1.444031e-19
    1.000000e-02    6.192801e-01    3.790516e-02    2.793753e-13    1.667328e-12    8.936244e-15    6.957851e-16   -1.108974e-18    2.424359e-20   -1.627758e-19
    2.000000e-02    6.192801e-01    3.790516e-02    4.009829e-13    1.671092e-12    1.282847e-14    6.917007e-16   -1.161438e-18    2.748994e-20   -1.834146e-19
    3.000000e-02    6.192801e-01    3.790516e-02    5.754835e-13    1.675922e-12    1.841468e-14    6.877071e-16   -1.238275e-18    3.115131e-20   -2.065846e-19
    4.000000e-02    6.192801e-01    3.790516e-02    8.258645e-13    1.682854e-12    2.643155e-14    6.838044e-16   -1.342112e-18    3.527688e-20   -2.325796e-19
    5.000000e-02    6.192801e-01    3.790516e-02    1.185096e-12    1.692801e-12    3.793584e-14    6.799932e-16   -1.475853e-18    3.992106e-20   -2.617253e-19
    6.000000e-02    6.192801e-01    3.790516e-02    1.700459e-12    1.707074e-12    5.444340e-14    6.762740e-16   -1.642716e-18    4.514406e-20   -2.943827e-19
    7.000000e-02    6.192801e-01    3.790516e-02    2.439759e-12    1.727554e-12    7.812837e-14    6.726482e-16   -1.846261e-18    5.101253e-20   -3.309519e-19
    8.000000e-02    6.192801e-01    3.790516e-02    3.500216e-12    1.756937e-12    1.121088e-13    6.691170e-16   -2.090434e-18    5.760039e-20   -3.718769e-19
    9.000000e-02    6.192801e-01    3.790516e-02    5.021222e-12    1.799089e-12    1.608562e-13    6.656824e-16   -2.379616e-18    6.498973e-20   -4.176512e-19
    1.000000e-01    6.192801e-01    3.790516e-02    7.202609e-12    1.859555e-12    2.307821e-13    6.623468e-16   -2.718689e-18    7.327198e-20   -4.688241e-19
    1.100000e-01    6.192801e-01    3.790517e-02    1.033083e-11    1.946287e-12    3.310791e-13    6.591131e-16   -3.113103e-18    8.254936e-20   -5.260084e-19
    1.200000e-01    6.192801e-01    3.790517e-02    1.481644e-11    2.070682e-12    4.749258e-13    6.559846e-16   -3.568976e-18    9.293657e-20   -5.898894e-19
    1.300000e-01    6.192801e-01    3.790517e-02    2.124786e-11    2.249081e-12    6.812126e-13    6.529657e-16   -4.093200e-18    1.045629e-19   -6.612354e-19
    1.400000e-01    6.192801e-01    3.790517e-02    3.046821e-11    2.504906e-12    9.770146e-13    6.500613e-16   -4.693576e-18    1.175746e-19   -7.409101e-19
    1.500000e-01    6.192801e-01    3.790518e-02    4.368549e-11    2.871726e-12    1.401132e-12    6.472771e-16   -5.378968e-18    1.321382e-19   -8.298866e-19
    1.600000e-01    6.192801e-01    3.790518e-02    6.263016e-11    3.397646e-12    2.009159e-12    6.446203e-16   -6.159490e-18    1.484433e-19   -9.292637e-19
    1.700000e-01    6.192801e-01    3.790519e-02    8.978066e-11    4.151595e-12    2.880741e-12    6.420988e-16   -7.046715e-18    1.667075e-19   -1.040284e-18
    1.800000e-01    6.192801e-01    3.790520e-02    1.286860e-10    5.232318e-12    4.129956e-12    6.397223e-16   -8.053914e-18    1.871798e-19   -1.164355e-18
    1.900000e-01    6.192801e-01    3.790522e-02    1.844272e-10    6.781257e-12    5.920165e-12    6.375021e-16   -9.196321e-18    2.101466e-19   -1.303068e-18
    2.000000e-01    6.192801e-01    3.790525e-02    2.642760e-10    9.000967e-12    8.485248e-12    6.354512e-16   -1.049143e-17    2.359368e-19   -1.458227e-18
    2.100000e-01    6.192801e-01    3.790528e-02    3.786375e-10    1.218146e-11    1.215995e-11    6.335848e-16   -1.195931e-17    2.649281e-19   -1.631873e-18
    2.200000e-01    6.192801e-01    3.790534e-02    5.423936e-10    1.673785e-11    1.742320e-11    6.319206e-16   -1.362297e-17    2.975536e-19   -1.826309e-18
    2.300000e-01    6.192801e-01    3.790541e-02    7.768208e-10    2.326416e-11    2.496002e-11    6.304790e-16   -1.550869e-17    3.343087e-19   -2.044129e-18
    2.400000e-01    6.192801e-01    3.790552e-02    1.112323e-09    3.261013e-11    3.574964e-11    6.292835e-16   -1.764644e-17    3.757589e-19   -2.288253e-18
    2.500000e-01    6.192801e-01    3.790568e-02    1.592321e-09    4.599078e-11    5.119124e-11    6.283607e-16   -2.007026e-17    4.225473e-19   -2.561948e-18
    2.600000e-01    6.192801e-01    3.790590e-02    2.278782e-09    6.514264e-11    7.328266e-11    6.277412e-16   -2.281870e-17    4.754029e-19   -2.868868e-18
    2.700000e-01    6.192801e-01    3.790622e-02    3.260068e-09    9.254617e-11    1.048744e-10    6.274595e-16   -2.593523e-17    5.351489e-19   -3.213075e-18
    2.800000e-01    6.192801e-01    3.790668e-02    4.662053e-09    1.317421e-10    1.500299e-10    6.275548e-16   -2.946863e-17    6.027109e-19   -3.599073e-18
    2.900000e-01    6.192801e-01    3.790733e-02    6.663829e-09    1.877805e-10    2.145351e-10    6.280708e-16   -3.347347e-17    6.791254e-19   -4.031829e-18
    3.000000e-01    6.192801e-01    3.790826e-02    9.519842e-09    2.678577e-10    3.066180e-10    6.290564e-16   -3.801049e-17    7.655483e-19   -4.516804e-18
