# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: fs
# Temperature: -40 C
# W = 2.0 um
# L = 6 um (6000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.480206e-01    2.838026e-02    1.307986e-15    1.660036e-12    1.603255e-18    1.768001e-14    3.273854e-17   -2.959197e-24   -9.441615e-20
    1.000000e-02    6.480206e-01    2.838026e-02    1.876380e-15    1.660049e-12    2.300396e-18    1.759583e-14    3.578487e-17   -3.531558e-24   -1.123341e-19
    2.000000e-02    6.480206e-01    2.838026e-02    2.691586e-15    1.660075e-12    3.300449e-18    1.751280e-14    3.878308e-17   -4.214464e-24   -1.336456e-19
    3.000000e-02    6.480206e-01    2.838026e-02    3.860698e-15    1.660107e-12    4.734929e-18    1.743090e-14    4.173017e-17   -5.029228e-24   -1.589916e-19
    4.000000e-02    6.480206e-01    2.838026e-02    5.537235e-15    1.660153e-12    6.792410e-18    1.735010e-14    4.462247e-17   -6.001266e-24   -1.891339e-19
    5.000000e-02    6.480206e-01    2.838026e-02    7.941265e-15    1.660220e-12    9.743259e-18    1.727039e-14    4.745544e-17   -7.160879e-24   -2.249774e-19
    6.000000e-02    6.480206e-01    2.838026e-02    1.138822e-14    1.660316e-12    1.397508e-17    1.719175e-14    5.022357e-17   -8.544193e-24   -2.675971e-19
    7.000000e-02    6.480206e-01    2.838026e-02    1.633017e-14    1.660453e-12    2.004352e-17    1.711416e-14    5.292016e-17   -1.019427e-23   -3.182696e-19
    8.000000e-02    6.480206e-01    2.838026e-02    2.341501e-14    1.660649e-12    2.874504e-17    1.703760e-14    5.553711e-17   -1.216244e-23   -3.785108e-19
    9.000000e-02    6.480206e-01    2.838026e-02    3.357116e-14    1.660931e-12    4.122124e-17    1.696207e-14    5.806466e-17   -1.450987e-23   -4.501199e-19
    1.000000e-01    6.480206e-01    2.838026e-02    4.812891e-14    1.661336e-12    5.910823e-17    1.688754e-14    6.049108e-17   -1.730945e-23   -5.352322e-19
    1.100000e-01    6.480206e-01    2.838026e-02    6.899427e-14    1.661915e-12    8.475069e-17    1.681401e-14    6.280233e-17   -2.064800e-23   -6.363806e-19
    1.200000e-01    6.480206e-01    2.838026e-02    9.889776e-14    1.662745e-12    1.215084e-16    1.674147e-14    6.498155e-17   -2.462896e-23   -7.565688e-19
    1.300000e-01    6.480206e-01    2.838026e-02    1.417508e-13    1.663936e-12    1.741955e-16    1.666992e-14    6.700867e-17   -2.937548e-23   -8.993570e-19
    1.400000e-01    6.480206e-01    2.838026e-02    2.031557e-13    1.665642e-12    2.497090e-16    1.659936e-14    6.885972e-17   -3.503418e-23   -1.068963e-18
    1.500000e-01    6.480206e-01    2.838026e-02    2.911360e-13    1.668087e-12    3.579293e-16    1.652979e-14    7.050618e-17   -4.177955e-23   -1.270379e-18
    1.600000e-01    6.480206e-01    2.838026e-02    4.171811e-13    1.671591e-12    5.130092e-16    1.646121e-14    7.191415e-17   -4.981918e-23   -1.509513e-18
    1.700000e-01    6.480206e-01    2.838027e-02    5.977410e-13    1.676612e-12    7.352188e-16    1.639363e-14    7.304342e-17   -5.939992e-23   -1.793349e-18
    1.800000e-01    6.480206e-01    2.838027e-02    8.563655e-13    1.683805e-12    1.053587e-15    1.632709e-14    7.384638e-17   -7.081520e-23   -2.130135e-18
    1.900000e-01    6.480206e-01    2.838028e-02    1.226761e-12    1.694110e-12    1.509677e-15    1.626158e-14    7.426675e-17   -8.441356e-23   -2.529601e-18
    2.000000e-01    6.480206e-01    2.838028e-02    1.757165e-12    1.708872e-12    2.162998e-15    1.619716e-14    7.423818e-17   -1.006088e-22   -3.003216e-18
    2.100000e-01    6.480206e-01    2.838030e-02    2.516591e-12    1.730014e-12    3.098730e-15    1.613386e-14    7.368256e-17   -1.198919e-22   -3.564475e-18
    2.200000e-01    6.480206e-01    2.838031e-02    3.603754e-12    1.760292e-12    4.438781e-15    1.607172e-14    7.250821e-17   -1.428446e-22   -4.229242e-18
    2.300000e-01    6.480206e-01    2.838034e-02    5.159819e-12    1.803646e-12    6.357583e-15    1.601082e-14    7.060777e-17   -1.701563e-22   -5.016131e-18
    2.400000e-01    6.480206e-01    2.838037e-02    7.386579e-12    1.865715e-12    9.104667e-15    1.595122e-14    6.785587e-17   -2.026422e-22   -5.946950e-18
    2.500000e-01    6.480206e-01    2.838042e-02    1.057239e-11    1.954562e-12    1.303689e-14    1.589301e-14    6.410650e-17   -2.412662e-22   -7.047210e-18
    2.600000e-01    6.480206e-01    2.838049e-02    1.512909e-11    2.081715e-12    1.866445e-14    1.583630e-14    5.919004e-17   -2.871659e-22   -8.346705e-18
    2.700000e-01    6.480206e-01    2.838058e-02    2.164464e-11    2.263649e-12    2.671647e-14    1.578122e-14    5.290995e-17   -3.416830e-22   -9.880183e-18
