# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: -40C
# W = 2.0 um
# L = 1 um (1000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.508469e+01    3.509910e+02    1.148319e-04    5.217654e+05    1.228924e-09    1.069732e-16    7.828790e-12    3.257841e-12    4.200000e-01    6.821231e-01    3.462439e-02
    3.505181e+01    3.499720e+02    1.630724e-04    7.414799e+05    1.226907e-09    1.272743e-16    1.101581e-11    3.842289e-12    4.300000e-01    6.821231e-01    3.463210e-02
    3.497646e+01    3.487820e+02    2.314526e-04    1.051466e+06    1.225357e-09    1.513355e-16    1.478736e-11    4.529576e-12    4.400000e-01    6.821231e-01    3.464303e-02
    3.486200e+01    3.473979e+02    3.281939e-04    1.487299e+06    1.224348e-09    1.798354e-16    1.924902e-11    5.338080e-12    4.500000e-01    6.821231e-01    3.465849e-02
    3.470951e+01    3.457970e+02    4.647498e-04    2.097572e+06    1.223971e-09    2.135749e-16    2.452773e-11    6.289620e-12    4.600000e-01    6.821231e-01    3.468028e-02
    3.451837e+01    3.439587e+02    6.569955e-04    2.948032e+06    1.224336e-09    2.535009e-16    3.077596e-11    7.410010e-12    4.700000e-01    6.821231e-01    3.471093e-02
    3.428682e+01    3.418675e+02    9.268050e-04    4.126634e+06    1.225575e-09    3.007344e-16    3.817589e-11    8.729690e-12    4.800000e-01    6.821231e-01    3.475386e-02
    3.401239e+01    3.395155e+02    1.304117e-03    5.749509e+06    1.227843e-09    3.566032e-16    4.694398e-11    1.028433e-11    4.900000e-01    6.821231e-01    3.481375e-02
    3.369239e+01    3.369086e+02    1.829594e-03    7.967713e+06    1.231326e-09    4.226810e-16    5.733525e-11    1.211545e-11    5.000000e-01    6.821231e-01    3.489686e-02
    3.332439e+01    3.340703e+02    2.557996e-03    1.097437e+07    1.236240e-09    5.008315e-16    6.964750e-11    1.427097e-11    5.100000e-01    6.821231e-01    3.501153e-02
    3.290668e+01    3.310483e+02    3.562371e-03    1.501172e+07    1.242833e-09    5.932595e-16    8.422470e-11    1.680563e-11    5.200000e-01    6.821231e-01    3.516862e-02
    3.243866e+01    3.279192e+02    4.939183e-03    2.037721e+07    1.251392e-09    7.025665e-16    1.014598e-10    1.978132e-11    5.300000e-01    6.821231e-01    3.538207e-02
    3.192122e+01    3.247915e+02    6.814445e-03    2.742761e+07    1.262241e-09    8.318130e-16    1.217956e-10    2.326705e-11    5.400000e-01    6.821231e-01    3.566939e-02
    3.135679e+01    3.218063e+02    9.350945e-03    3.658020e+07    1.275737e-09    9.845860e-16    1.457247e-10    2.733860e-11    5.500000e-01    6.821231e-01    3.605204e-02
    3.074919e+01    3.191309e+02    1.275657e-02    4.830950e+07    1.292275e-09    1.165067e-15    1.737845e-10    3.207770e-11    5.600000e-01    6.821231e-01    3.655553e-02
    3.010305e+01    3.169482e+02    1.729370e-02    6.313828e+07    1.312277e-09    1.378102e-15    2.065504e-10    3.757044e-11    5.700000e-01    6.821231e-01    3.720924e-02
    2.942310e+01    3.154396e+02    2.328953e-02    8.162113e+07    1.336185e-09    1.629276e-15    2.446226e-10    4.390487e-11    5.800000e-01    6.821231e-01    3.804570e-02
    2.871315e+01    3.147619e+02    3.114684e-02    1.043179e+08    1.364445e-09    1.924965e-15    2.886060e-10    5.116755e-11    5.900000e-01    6.821231e-01    3.909945e-02
    2.797560e+01    3.150284e+02    4.135458e-02    1.317573e+08    1.397490e-09    2.272389e-15    3.390832e-10    5.943880e-11    6.000000e-01    6.821231e-01    4.040530e-02
    2.721130e+01    3.162903e+02    5.449690e-02    1.643896e+08    1.435710e-09    2.679639e-15    3.965782e-10    6.878715e-11    6.100000e-01    6.821231e-01    4.199649e-02
    2.642011e+01    3.185294e+02    7.125940e-02    2.025365e+08    1.479427e-09    3.155667e-15    4.615132e-10    7.926190e-11    6.200000e-01    6.821231e-01    4.390262e-02
