# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: -40C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.438076e+01    7.171506e+02    5.382160e-05    5.138191e+04    5.731680e-09    1.274840e-15    1.381315e-10    3.377568e-11    4.100000e-01    6.506925e-01    2.886472e-02
    3.435140e+01    7.136787e+02    7.589960e-05    7.234841e+04    5.735550e-09    1.506425e-15    1.705397e-10    3.969146e-11    4.200000e-01    6.506925e-01    2.888237e-02
    3.424292e+01    7.096924e+02    1.069593e-04    1.014868e+05    5.743805e-09    1.779558e-15    2.088438e-10    4.664267e-11    4.300000e-01    6.506925e-01    2.890716e-02
    3.406466e+01    7.051605e+02    1.505125e-04    1.417373e+05    5.757215e-09    2.101714e-15    2.541244e-10    5.480955e-11    4.400000e-01    6.506925e-01    2.894186e-02
    3.382217e+01    7.000701e+02    2.113544e-04    1.969494e+05    5.776680e-09    2.481702e-15    3.076421e-10    6.440015e-11    4.500000e-01    6.506925e-01    2.899020e-02
    3.351864e+01    6.944396e+02    2.959809e-04    2.720821e+05    5.803235e-09    2.929879e-15    3.708534e-10    7.565225e-11    4.600000e-01    6.506925e-01    2.905720e-02
    3.315586e+01    6.883269e+02    4.131126e-04    3.734035e+05    5.838085e-09    3.458382e-15    4.454237e-10    8.883505e-11    4.700000e-01    6.506925e-01    2.914947e-02
    3.273534e+01    6.818442e+02    5.743435e-04    5.086768e+05    5.882565e-09    4.081376e-15    5.332345e-10    1.042496e-10    4.800000e-01    6.506925e-01    2.927561e-02
    3.225912e+01    6.751679e+02    7.949265e-04    6.872987e+05    5.938190e-09    4.815309e-15    6.363830e-10    1.222280e-10    4.900000e-01    6.506925e-01    2.944660e-02
    3.173030e+01    6.685447e+02    1.094708e-03    9.203707e+05    6.006615e-09    5.679170e-15    7.571725e-10    1.431308e-10    5.000000e-01    6.506925e-01    2.967616e-02
    3.115332e+01    6.622910e+02    1.499224e-03    1.220675e+06    6.089630e-09    6.694745e-15    8.980870e-10    1.673411e-10    5.100000e-01    6.506925e-01    2.998095e-02
    3.053390e+01    6.567822e+02    2.040960e-03    1.602532e+06    6.189135e-09    7.886820e-15    1.061743e-09    1.952564e-10    5.200000e-01    6.506925e-01    3.038070e-02
    2.987855e+01    6.524267e+02    2.760779e-03    2.081535e+06    6.307070e-09    9.283365e-15    1.250823e-09    2.272753e-10    5.300000e-01    6.506925e-01    3.089793e-02
    2.919379e+01    6.496315e+02    3.709512e-03    2.674113e+06    6.445365e-09    1.091562e-14    1.467971e-09    2.637793e-10    5.400000e-01    6.506925e-01    3.155747e-02
    2.848527e+01    6.487609e+02    4.949650e-03    3.396937e+06    6.605830e-09    1.281808e-14    1.715657e-09    3.051107e-10    5.500000e-01    6.506925e-01    3.238555e-02
    2.775715e+01    6.500948e+02    6.557090e-03    4.266134e+06    6.790030e-09    1.502829e-14    1.996009e-09    3.515435e-10    5.600000e-01    6.506925e-01    3.340861e-02
    2.701191e+01    6.537974e+02    8.622795e-03    5.296358e+06    6.999165e-09    1.758653e-14    2.310609e-09    4.032520e-10    5.700000e-01    6.506925e-01    3.465204e-02
