# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: fs
# Temperature: 25 C
# W = 2.0 um
# L = 0.28 um (280 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.506311e-01    4.863415e-02    7.405837e-11    4.279945e-12    2.452427e-12    6.809279e-16   -9.226918e-18    1.661560e-19   -1.179898e-18
    1.000000e-02    5.506311e-01    4.863417e-02    9.822211e-11    5.020544e-12    3.253287e-12    6.777681e-16   -9.988008e-18    1.821421e-19   -1.288116e-18
    2.000000e-02    5.506311e-01    4.863418e-02    1.302586e-10    6.270603e-12    4.315311e-12    6.747395e-16   -1.083573e-17    1.996873e-19   -1.406285e-18
    3.000000e-02    5.506311e-01    4.863421e-02    1.727283e-10    7.775608e-12    5.723522e-12    6.718477e-16   -1.177900e-17    2.189575e-19   -1.535366e-18
    4.000000e-02    5.506311e-01    4.863424e-02    2.290223e-10    9.771205e-12    7.590558e-12    6.690991e-16   -1.282777e-17    2.401375e-19   -1.676415e-18
    5.000000e-02    5.506311e-01    4.863427e-02    3.036311e-10    1.241704e-11    1.006562e-11    6.665013e-16   -1.399308e-17    2.634327e-19   -1.830589e-18
    6.000000e-02    5.506311e-01    4.863433e-02    4.024996e-10    1.592461e-11    1.334629e-11    6.640626e-16   -1.528717e-17    2.890713e-19   -1.999158e-18
    7.000000e-02    5.506311e-01    4.863440e-02    5.334962e-10    2.057403e-11    1.769417e-11    6.617926e-16   -1.672360e-17    3.173059e-19   -2.183509e-18
    8.000000e-02    5.506311e-01    4.863449e-02    7.070321e-10    2.673620e-11    2.345553e-11    6.597021e-16   -1.831735e-17    3.484162e-19   -2.385160e-18
    9.000000e-02    5.506311e-01    4.863461e-02    9.368789e-10    3.490219e-11    3.108858e-11    6.578031e-16   -2.008493e-17    3.827103e-19   -2.605762e-18
    1.000000e-01    5.506311e-01    4.863478e-02    1.241246e-09    4.572195e-11    4.119943e-11    6.561091e-16   -2.204449e-17    4.205279e-19   -2.847110e-18
    1.100000e-01    5.506311e-01    4.863499e-02    1.644203e-09    6.005544e-11    5.458959e-11    6.546351e-16   -2.421593e-17    4.622419e-19   -3.111152e-18
    1.200000e-01    5.506311e-01    4.863528e-02    2.177547e-09    7.904023e-11    7.231844e-11    6.533976e-16   -2.662104e-17    5.082609e-19   -3.399996e-18
    1.300000e-01    5.506311e-01    4.863565e-02    2.883263e-09    1.041804e-10    9.578558e-11    6.524148e-16   -2.928361e-17    5.590319e-19   -3.715920e-18
    1.400000e-01    5.506311e-01    4.863615e-02    3.816756e-09    1.374641e-10    1.268390e-10    6.517066e-16   -3.222955e-17    6.150422e-19   -4.061374e-18
    1.500000e-01    5.506311e-01    4.863681e-02    5.051090e-09    1.815175e-10    1.679174e-10    6.512951e-16   -3.548699e-17    6.768223e-19   -4.438991e-18
    1.600000e-01    5.506311e-01    4.863769e-02    6.682533e-09    2.398084e-10    2.222361e-10    6.512040e-16   -3.908645e-17    7.449478e-19   -4.851593e-18
    1.700000e-01    5.506311e-01    4.863885e-02    8.837819e-09    3.169128e-10    2.940316e-10    6.514594e-16   -4.306086e-17    8.200418e-19   -5.302190e-18
    1.800000e-01    5.506311e-01    4.864038e-02    1.168361e-08    4.188646e-10    3.888803e-10    6.520893e-16   -4.744574e-17    9.027771e-19   -5.793987e-18
    1.900000e-01    5.506311e-01    4.864240e-02    1.543880e-08    5.536139e-10    5.141138e-10    6.531242e-16   -5.227925e-17    9.938778e-19   -6.330384e-18
    2.000000e-01    5.506311e-01    4.864508e-02    2.039051e-08    7.316259e-10    6.793598e-10    6.545967e-16   -5.760224e-17    1.094121e-18   -6.914971e-18
    2.100000e-01    5.506311e-01    4.864861e-02    2.691474e-08    9.666620e-10    8.972426e-10    6.565418e-16   -6.345830e-17    1.204336e-18   -7.551524e-18
    2.200000e-01    5.506311e-01    4.865326e-02    3.550295e-08    1.276796e-09    1.184288e-09    6.589970e-16   -6.989378e-17    1.325408e-18   -8.243994e-18
    2.300000e-01    5.506311e-01    4.865940e-02    4.679621e-08    1.685732e-09    1.562089e-09    6.620018e-16   -7.695767e-17    1.458275e-18   -8.996494e-18
    2.400000e-01    5.506311e-01    4.866749e-02    6.162869e-08    2.224510e-09    2.058793e-09    6.655983e-16   -8.470158e-17    1.603926e-18   -9.813274e-18
    2.500000e-01    5.506311e-01    4.867813e-02    8.108279e-08    2.933703e-09    2.711006e-09    6.698304e-16   -9.317950e-17    1.763398e-18   -1.069870e-17
    2.600000e-01    5.506311e-01    4.869212e-02    1.065586e-07    3.866229e-09    3.566189e-09    6.747441e-16   -1.024476e-16    1.937773e-18   -1.165720e-17
    2.700000e-01    5.506311e-01    4.871049e-02    1.398605e-07    5.090952e-09    4.685676e-09    6.803871e-16   -1.125637e-16    2.128169e-18   -1.269326e-17
    2.800000e-01    5.506311e-01    4.873457e-02    1.833042e-07    6.697235e-09    6.148429e-09    6.868080e-16   -1.235871e-16    2.335735e-18   -1.381131e-17
    2.900000e-01    5.506311e-01    4.876608e-02    2.398480e-07    8.800695e-09    8.055658e-09    6.940566e-16   -1.355776e-16    2.561633e-18   -1.501571e-17
    3.000000e-01    5.506311e-01    4.880724e-02    3.132504e-07    1.155039e-08    1.053646e-08    7.021827e-16   -1.485952e-16    2.807032e-18   -1.631066e-17
    3.100000e-01    5.506311e-01    4.886087e-02    4.082579e-07    1.513772e-08    1.375456e-08    7.112353e-16   -1.626985e-16    3.073086e-18   -1.770008e-17
    3.200000e-01    5.506311e-01    4.893058e-02    5.308245e-07    1.980742e-08    1.791631e-08    7.212622e-16   -1.779444e-16    3.360914e-18   -1.918757e-17
    3.300000e-01    5.506311e-01    4.902093e-02    6.883621e-07    2.587082e-08    2.327991e-08    7.323088e-16   -1.943865e-16    3.671577e-18   -2.077625e-17
    3.400000e-01    5.506311e-01    4.913762e-02    8.900199e-07    3.372181e-08    3.016587e-08    7.444169e-16   -2.120734e-16    4.006052e-18   -2.246866e-17
    3.500000e-01    5.506311e-01    4.928778e-02    1.146988e-06    4.385571e-08    3.896846e-08    7.576231e-16   -2.310478e-16    4.365204e-18   -2.426663e-17
    3.600000e-01    5.506311e-01    4.948017e-02    1.472812e-06    5.689128e-08    5.016792e-08    7.719583e-16   -2.513443e-16    4.749749e-18   -2.617118e-17
    3.700000e-01    5.506311e-01    4.972544e-02    1.883712e-06    7.359583e-08    6.434274e-08    7.874454e-16   -2.729879e-16    5.160225e-18   -2.818233e-17
    3.800000e-01    5.506311e-01    5.003644e-02    2.398877e-06    9.491351e-08    8.218135e-08    8.040984e-16   -2.959924e-16    5.596957e-18   -3.029905e-17
    3.900000e-01    5.506311e-01    5.042836e-02    3.040726e-06    1.219963e-07    1.044921e-07    8.219205e-16   -3.203581e-16    6.060023e-18   -3.251911e-17
    4.000000e-01    5.506311e-01    5.091890e-02    3.835087e-06    1.562373e-07    1.322105e-07    8.409033e-16   -3.460710e-16    6.549220e-18   -3.483897e-17
    4.100000e-01    5.506311e-01    5.152829e-02    4.811288e-06    1.993054e-07    1.664012e-07    8.610252e-16   -3.731009e-16    7.064042e-18   -3.725377e-17
    4.200000e-01    5.506311e-01    5.227911e-02    6.002091e-06    2.531800e-07    2.082550e-07    8.822505e-16   -4.014004e-16    7.603653e-18   -3.975723e-17
    4.300000e-01    5.506311e-01    5.319598e-02    7.443445e-06    3.201845e-07    2.590763e-07    9.045290e-16   -4.309043e-16    8.166873e-18   -4.234172e-17
