# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: fs
# Temperature: 25 C
# W = 2.0 um
# L = 5 um (5000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.770146e-01    3.663854e-02    8.328812e-13    1.689507e-12    1.109439e-15    1.428300e-14    1.434187e-17   -9.391902e-23   -2.312066e-18
    1.000000e-02    5.770146e-01    3.663854e-02    1.104211e-12    1.697836e-12    1.471218e-15    1.421987e-14    1.510456e-17   -1.077869e-22   -2.643563e-18
    2.000000e-02    5.770146e-01    3.663855e-02    1.463818e-12    1.711885e-12    1.950834e-15    1.415774e-14    1.558680e-17   -1.236872e-22   -3.021925e-18
    3.000000e-02    5.770146e-01    3.663856e-02    1.940382e-12    1.728794e-12    2.586620e-15    1.409662e-14    1.575327e-17   -1.419138e-22   -3.453610e-18
    4.000000e-02    5.770146e-01    3.663857e-02    2.571879e-12    1.751208e-12    3.429357e-15    1.403651e-14    1.556404e-17   -1.628018e-22   -3.945925e-18
    5.000000e-02    5.770146e-01    3.663859e-02    3.408588e-12    1.780915e-12    4.546308e-15    1.397744e-14    1.497404e-17   -1.867337e-22   -4.507129e-18
    6.000000e-02    5.770146e-01    3.663861e-02    4.517069e-12    1.820284e-12    6.026562e-15    1.391942e-14    1.393247e-17   -2.141452e-22   -5.146550e-18
    7.000000e-02    5.770146e-01    3.663864e-02    5.985419e-12    1.872453e-12    7.988093e-15    1.386248e-14    1.238223e-17   -2.455323e-22   -5.874710e-18
    8.000000e-02    5.770146e-01    3.663867e-02    7.930206e-12    1.941578e-12    1.058710e-14    1.380665e-14    1.025917e-17   -2.814596e-22   -6.703477e-18
    9.000000e-02    5.770146e-01    3.663872e-02    1.050564e-11    2.033156e-12    1.403036e-14    1.375197e-14    7.491355e-18   -3.225690e-22   -7.646219e-18
    1.000000e-01    5.770146e-01    3.663879e-02    1.391569e-11    2.154467e-12    1.859154e-14    1.369847e-14    3.998125e-18   -3.695900e-22   -8.717997e-18
    1.100000e-01    5.770146e-01    3.663888e-02    1.843001e-11    2.315144e-12    2.463278e-14    1.364621e-14   -3.108857e-19   -4.233508e-22   -9.935769e-18
    1.200000e-01    5.770146e-01    3.663899e-02    2.440500e-11    2.527928e-12    3.263316e-14    1.359525e-14   -5.536981e-18   -4.847918e-22   -1.131864e-17
    1.300000e-01    5.770146e-01    3.663915e-02    3.231157e-11    2.809671e-12    4.322624e-14    1.354565e-14   -1.179385e-17   -5.549797e-22   -1.288815e-17
