# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 25C
# W = 2.0 um
# L = 5 um (5000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.703201e+01    7.293379e+02    6.631620e-05    4.366807e+04    6.533625e-09    2.634442e-15    2.559865e-10    5.599165e-11    3.000000e-01    5.770146e-01    3.670945e-02
    2.700636e+01    7.268639e+02    8.689130e-05    5.710626e+04    6.540015e-09    3.001995e-15    2.963932e-10    6.354680e-11    3.100000e-01    5.770146e-01    3.673168e-02
    2.694765e+01    7.241524e+02    1.138017e-04    7.450749e+04    6.550730e-09    3.420670e-15    3.425786e-10    7.211670e-11    3.200000e-01    5.770146e-01    3.676072e-02
    2.685939e+01    7.212037e+02    1.489363e-04    9.696037e+04    6.566325e-09    3.897571e-15    3.953251e-10    8.183055e-11    3.300000e-01    5.770146e-01    3.679856e-02
    2.674399e+01    7.180292e+02    1.947195e-04    1.258173e+05    6.587420e-09    4.440739e-15    4.554997e-10    9.283045e-11    3.400000e-01    5.770146e-01    3.684777e-02
    2.660315e+01    7.146523e+02    2.542502e-04    1.627440e+05    6.614690e-09    5.059260e-15    5.240575e-10    1.052716e-10    3.500000e-01    5.770146e-01    3.691158e-02
    2.643808e+01    7.111137e+02    3.314733e-04    2.097731e+05    6.648885e-09    5.763375e-15    6.020430e-10    1.193223e-10    3.600000e-01    5.770146e-01    3.699404e-02
    2.624982e+01    7.074754e+02    4.313883e-04    2.693617e+05    6.690815e-09    6.564590e-15    6.905890e-10    1.351633e-10    3.700000e-01    5.770146e-01    3.710023e-02
    2.603922e+01    7.038222e+02    5.603015e-04    3.444475e+05    6.741350e-09    7.475770e-15    7.909130e-10    1.529872e-10    3.800000e-01    5.770146e-01    3.723642e-02
    2.580732e+01    7.002682e+02    7.261290e-04    4.385076e+05    6.801420e-09    8.511285e-15    9.043105e-10    1.729962e-10    3.900000e-01    5.770146e-01    3.741026e-02
    2.555526e+01    6.969569e+02    9.387595e-04    5.556111e+05    6.872010e-09    9.687080e-15    1.032141e-09    1.954001e-10    4.000000e-01    5.770146e-01    3.763101e-02
    2.528441e+01    6.940618e+02    1.210483e-03    7.004686e+05    6.954135e-09    1.102078e-14    1.175814e-09    2.204122e-10    4.100000e-01    5.770146e-01    3.790972e-02
    2.499628e+01    6.917838e+02    1.556500e-03    8.784721e+05    7.048825e-09    1.253176e-14    1.336755e-09    2.482449e-10    4.200000e-01    5.770146e-01    3.825932e-02
    2.469241e+01    6.903443e+02    1.995507e-03    1.095717e+06    7.157120e-09    1.424120e-14    1.516381e-09    2.791040e-10    4.300000e-01    5.770146e-01    3.869474e-02
    2.437411e+01    6.899761e+02    2.550386e-03    1.359011e+06    7.280010e-09    1.617210e-14    1.716056e-09    3.131805e-10    4.400000e-01    5.770146e-01    3.923286e-02
    2.404222e+01    6.909073e+02    3.248976e-03    1.675831e+06    7.418415e-09    1.834926e-14    1.937034e-09    3.506430e-10    4.500000e-01    5.770146e-01    3.989232e-02
    2.369682e+01    6.933449e+02    4.124930e-03    2.054234e+06    7.573155e-09    2.079917e-14    2.180406e-09    3.916266e-10    4.600000e-01    5.770146e-01    4.069324e-02
    2.333696e+01    6.974525e+02    5.218620e-03    2.502684e+06    7.744870e-09    2.354994e-14    2.447025e-09    4.362234e-10    4.700000e-01    5.770146e-01    4.165668e-02
    2.296075e+01    7.033341e+02    6.578050e-03    3.029784e+06    7.933990e-09    2.663100e-14    2.737442e-09    4.844705e-10    4.800000e-01    5.770146e-01    4.280405e-02
    2.256528e+01    7.110168e+02    8.259700e-03    3.643886e+06    8.140675e-09    3.007292e-14    3.051822e-09    5.363395e-10    4.900000e-01    5.770146e-01    4.415631e-02
    2.214718e+01    7.204420e+02    1.032918e-02    4.352619e+06    8.364765e-09    3.390696e-14    3.389883e-09    5.917260e-10    5.000000e-01    5.770146e-01    4.573318e-02
    2.170309e+01    7.314654e+02    1.286164e-02    5.162373e+06    8.605745e-09    3.816475e-14    3.750832e-09    6.504440e-10    5.100000e-01    5.770146e-01    4.755228e-02
    2.123032e+01    7.438643e+02    1.594177e-02    6.077818e+06    8.862685e-09    4.287773e-14    4.133323e-09    7.122195e-10    5.200000e-01    5.770146e-01    4.962846e-02
    2.072745e+01    7.573550e+02    1.966338e-02    7.101512e+06    9.134260e-09    4.807663e-14    4.535440e-09    7.766910e-10    5.300000e-01    5.770146e-01    5.197318e-02
    2.019473e+01    7.716122e+02    2.412853e-02    8.233724e+06    9.418740e-09    5.379100e-14    4.954707e-09    8.434155e-10    5.400000e-01    5.770146e-01    5.459420e-02
    1.963423e+01    7.862966e+02    2.944615e-02    9.472491e+06    9.714005e-09    6.004855e-14    5.388130e-09    9.118760e-10    5.500000e-01    5.770146e-01    5.749544e-02
    1.904967e+01    8.010735e+02    3.573041e-02    1.081386e+07    1.001763e-08    6.687470e-14    5.832280e-09    9.814970e-10    5.600000e-01    5.770146e-01    6.067713e-02
    1.844608e+01    8.156330e+02    4.309881e-02    1.225232e+07    1.032693e-08    7.429225e-14    6.283390e-09    1.051665e-09    5.700000e-01    5.770146e-01    6.413604e-02
    1.782931e+01    8.297030e+02    5.167025e-02    1.378136e+07    1.063906e-08    8.232085e-14    6.737490e-09    1.121746e-09    5.800000e-01    5.770146e-01    6.786600e-02
    1.720555e+01    8.430579e+02    6.156300e-02    1.539391e+07    1.095115e-08    9.097675e-14    7.190560e-09    1.191116e-09    5.900000e-01    5.770146e-01    7.185833e-02
    1.658086e+01    8.555180e+02    7.289295e-02    1.708287e+07    1.126035e-08    1.002729e-13    7.638660e-09    1.259176e-09    6.000000e-01    5.770146e-01    7.610247e-02
    1.596074e+01    8.669496e+02    8.577220e-02    1.884136e+07    1.156398e-08    1.102187e-13    8.078085e-09    1.325378e-09    6.100000e-01    5.770146e-01    8.058640e-02
    1.535006e+01    8.772612e+02    1.003075e-01    2.066298e+07    1.185961e-08    1.208205e-13    8.505480e-09    1.389236e-09    6.200000e-01    5.770146e-01    8.529717e-02
    1.475284e+01    8.863977e+02    1.165992e-01    2.254189e+07    1.214510e-08    1.320812e-13    8.917930e-09    1.450347e-09    6.300000e-01    5.770146e-01    9.022128e-02
    1.417228e+01    8.943339e+02    1.347408e-01    2.447279e+07    1.241869e-08    1.440014e-13    9.313030e-09    1.508388e-09    6.400000e-01    5.770146e-01    9.534503e-02
    1.361074e+01    9.010705e+02    1.548184e-01    2.645090e+07    1.267897e-08    1.565793e-13    9.688910e-09    1.563128e-09    6.500000e-01    5.770146e-01    1.006547e-01
    1.306995e+01    9.066273e+02    1.769095e-01    2.847188e+07    1.292495e-08    1.698110e-13    1.004424e-08    1.614416e-09    6.600000e-01    5.770146e-01    1.061370e-01
    1.255095e+01    9.110409e+02    2.010844e-01    3.053176e+07    1.315599e-08    1.836913e-13    1.037819e-08    1.662183e-09    6.700000e-01    5.770146e-01    1.117788e-01
    1.205435e+01    9.143599e+02    2.274051e-01    3.262685e+07    1.337177e-08    1.982140e-13    1.069042e-08    1.706427e-09    6.800000e-01    5.770146e-01    1.175678e-01
