# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 85C
# W = 2.0 um
# L = 0.5 um (500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.311503e+01    1.678786e+02    1.774860e-04    1.015950e+06    6.426970e-10    9.140045e-15    7.518095e-12    1.938345e-12    1.700000e-01    5.611682e-01    5.885464e-02
    2.310736e+01    1.677070e+02    2.236346e-04    1.283055e+06    6.410090e-10    1.018570e-14    8.610205e-12    2.156494e-12    1.800000e-01    5.611682e-01    5.885899e-02
    2.309195e+01    1.675196e+02    2.817497e-04    1.619338e+06    6.394500e-10    1.135262e-14    9.840520e-12    2.399232e-12    1.900000e-01    5.611682e-01    5.886447e-02
    2.306941e+01    1.673149e+02    3.548996e-04    2.042301e+06    6.380320e-10    1.265586e-14    1.122591e-11    2.669409e-12    2.000000e-01    5.611682e-01    5.887136e-02
    2.304017e+01    1.670916e+02    4.469253e-04    2.573707e+06    6.367685e-10    1.411237e-14    1.278534e-11    2.970200e-12    2.100000e-01    5.611682e-01    5.888003e-02
    2.300441e+01    1.668478e+02    5.626305e-04    3.240557e+06    6.356745e-10    1.574122e-14    1.454014e-11    3.305138e-12    2.200000e-01    5.611682e-01    5.889092e-02
    2.296221e+01    1.665821e+02    7.080145e-04    4.076260e+06    6.347665e-10    1.756380e-14    1.651418e-11    3.678137e-12    2.300000e-01    5.611682e-01    5.890461e-02
    2.291348e+01    1.662930e+02    8.905610e-04    5.122021e+06    6.340645e-10    1.960399e-14    1.873412e-11    4.093535e-12    2.400000e-01    5.611682e-01    5.892179e-02
    2.285805e+01    1.659791e+02    1.119591e-03    6.428513e+06    6.335895e-10    2.188842e-14    2.122958e-11    4.556113e-12    2.500000e-01    5.611682e-01    5.894332e-02
    2.279567e+01    1.656390e+02    1.406692e-03    8.057815e+06    6.333650e-10    2.444663e-14    2.403345e-11    5.071130e-12    2.600000e-01    5.611682e-01    5.897030e-02
    2.272601e+01    1.652718e+02    1.766250e-03    1.008568e+07    6.334175e-10    2.731128e-14    2.718200e-11    5.644345e-12    2.700000e-01    5.611682e-01    5.900406e-02
    2.264870e+01    1.648772e+02    2.216083e-03    1.260415e+07    6.337760e-10    3.051837e-14    3.071519e-11    6.282055e-12    2.800000e-01    5.611682e-01    5.904626e-02
    2.256334e+01    1.644551e+02    2.778223e-03    1.572454e+07    6.344725e-10    3.410742e-14    3.467678e-11    6.991105e-12    2.900000e-01    5.611682e-01    5.909891e-02
    2.246955e+01    1.640064e+02    3.479841e-03    1.958076e+07    6.355420e-10    3.812160e-14    3.911455e-11    7.778910e-12    3.000000e-01    5.611682e-01    5.916451e-02
    2.236693e+01    1.635331e+02    4.354368e-03    2.433309e+07    6.370220e-10    4.260792e-14    4.408044e-11    8.653460e-12    3.100000e-01    5.611682e-01    5.924612e-02
    2.225514e+01    1.630380e+02    5.442840e-03    3.017213e+07    6.389545e-10    4.761729e-14    4.963060e-11    9.623340e-12    3.200000e-01    5.611682e-01    5.934742e-02
    2.213388e+01    1.625258e+02    6.795475e-03    3.732328e+07    6.413835e-10    5.320455e-14    5.582545e-11    1.069769e-11    3.300000e-01    5.611682e-01    5.947291e-02
    2.200296e+01    1.620027e+02    8.473570e-03    4.605119e+07    6.443575e-10    5.942850e-14    6.272970e-11    1.188621e-11    3.400000e-01    5.611682e-01    5.962797e-02
    2.186225e+01    1.614772e+02    1.055173e-02    5.666473e+07    6.479265e-10    6.635170e-14    7.041205e-11    1.319909e-11    3.500000e-01    5.611682e-01    5.981906e-02
    2.171179e+01    1.609597e+02    1.312043e-02    6.952158e+07    6.521450e-10    7.404025e-14    7.894495e-11    1.464695e-11    3.600000e-01    5.611682e-01    6.005387e-02
    2.155169e+01    1.604634e+02    1.628915e-02    8.503317e+07    6.570695e-10    8.256330e-14    8.840420e-11    1.624079e-11    3.700000e-01    5.611682e-01    6.034142e-02
    2.138220e+01    1.600038e+02    2.018983e-02    1.036693e+08    6.627580e-10    9.199270e-14    9.886830e-11    1.799177e-11    3.800000e-01    5.611682e-01    6.069230e-02
    2.120366e+01    1.595986e+02    2.498107e-02    1.259620e+08    6.692715e-10    1.024019e-13    1.104175e-10    1.991115e-11    3.900000e-01    5.611682e-01    6.111873e-02
    2.101644e+01    1.592679e+02    3.085284e-02    1.525097e+08    6.766700e-10    1.138651e-13    1.231324e-10    2.201001e-11    4.000000e-01    5.611682e-01    6.163473e-02
    2.082087e+01    1.590327e+02    3.803189e-02    1.839785e+08    6.850145e-10    1.264559e-13    1.370933e-10    2.429908e-11    4.100000e-01    5.611682e-01    6.225613e-02
    2.061720e+01    1.589151e+02    4.678791e-02    2.211038e+08    6.943640e-10    1.402456e-13    1.523775e-10    2.678836e-11    4.200000e-01    5.611682e-01    6.300059e-02
