# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: sf
# Temperature: -40 C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    8.289295e-01    3.217879e-02    1.003756e-17    1.660000e-12    2.322820e-20    4.675507e-15   -3.981919e-18   -2.134413e-26   -7.140920e-22
    1.000000e-02    8.289295e-01    3.217879e-02    1.434237e-17    1.660000e-12    3.319575e-20    4.649922e-15   -3.169450e-18   -2.549241e-26   -8.504026e-22
    2.000000e-02    8.289295e-01    3.217879e-02    2.049214e-17    1.660001e-12    4.743762e-20    4.624735e-15   -2.366169e-18   -3.044599e-26   -1.012694e-21
    3.000000e-02    8.289295e-01    3.217879e-02    2.927704e-17    1.660001e-12    6.778551e-20    4.599936e-15   -1.571889e-18   -3.636102e-26   -1.205911e-21
    4.000000e-02    8.289295e-01    3.217879e-02    4.182547e-17    1.660001e-12    9.685555e-20    4.575515e-15   -7.864389e-19   -4.342390e-26   -1.435936e-21
    5.000000e-02    8.289295e-01    3.217879e-02    5.974864e-17    1.660002e-12    1.383839e-19    4.551462e-15   -9.657429e-21   -5.185713e-26   -1.709773e-21
    6.000000e-02    8.289295e-01    3.217879e-02    8.534712e-17    1.660002e-12    1.977063e-19    4.527770e-15    7.586028e-19   -6.192626e-26   -2.035751e-21
    7.000000e-02    8.289295e-01    3.217879e-02    1.219055e-16    1.660003e-12    2.824418e-19    4.504429e-15    1.518475e-18   -7.394826e-26   -2.423785e-21
    8.000000e-02    8.289295e-01    3.217879e-02    1.741131e-16    1.660005e-12    4.034697e-19    4.481430e-15    2.270077e-18   -8.830145e-26   -2.885668e-21
    9.000000e-02    8.289295e-01    3.217879e-02    2.486640e-16    1.660007e-12    5.763238e-19    4.458767e-15    3.013510e-18   -1.054373e-25   -3.435433e-21
    1.000000e-01    8.289295e-01    3.217879e-02    3.551144e-16    1.660010e-12    8.231819e-19    4.436430e-15    3.748854e-18   -1.258948e-25   -4.089775e-21
    1.100000e-01    8.289295e-01    3.217879e-02    5.071040e-16    1.660014e-12    1.175706e-18    4.414412e-15    4.476171e-18   -1.503168e-25   -4.868555e-21
    1.200000e-01    8.289295e-01    3.217879e-02    7.241016e-16    1.660020e-12    1.679095e-18    4.392706e-15    5.195494e-18   -1.794709e-25   -5.795397e-21
    1.300000e-01    8.289295e-01    3.217879e-02    1.033893e-15    1.660029e-12    2.397868e-18    4.371305e-15    5.906830e-18   -2.142727e-25   -6.898404e-21
    1.400000e-01    8.289295e-01    3.217879e-02    1.476131e-15    1.660041e-12    3.424120e-18    4.350202e-15    6.610155e-18   -2.558151e-25   -8.211004e-21
    1.500000e-01    8.289295e-01    3.217879e-02    2.107405e-15    1.660059e-12    4.889294e-18    4.329391e-15    7.305403e-18   -3.054020e-25   -9.772954e-21
    1.600000e-01    8.289295e-01    3.217879e-02    3.008461e-15    1.660084e-12    6.980989e-18    4.308864e-15    7.992468e-18   -3.645893e-25   -1.163154e-20
    1.700000e-01    8.289295e-01    3.217879e-02    4.294516e-15    1.660121e-12    9.966925e-18    4.288616e-15    8.671189e-18   -4.352330e-25   -1.384299e-20
