# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: sf
# Temperature: -40 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    8.098660e-01    2.864560e-02    7.636131e-18    1.660000e-12    1.093864e-20    1.241871e-14   -6.467369e-18   -1.190756e-25   -4.162867e-21
    1.000000e-02    8.098660e-01    2.864560e-02    1.090975e-17    1.660000e-12    1.563070e-20    1.235370e-14   -4.335694e-18   -1.418868e-25   -4.946107e-21
    2.000000e-02    8.098660e-01    2.864560e-02    1.558582e-17    1.660000e-12    2.233405e-20    1.228966e-14   -2.227422e-18   -1.690628e-25   -5.876488e-21
    3.000000e-02    8.098660e-01    2.864560e-02    2.226477e-17    1.660001e-12    3.191023e-20    1.222656e-14   -1.421911e-19   -2.014378e-25   -6.981610e-21
    4.000000e-02    8.098660e-01    2.864560e-02    3.180390e-17    1.660001e-12    4.558963e-20    1.216438e-14    1.920321e-18   -2.400052e-25   -8.294239e-21
    5.000000e-02    8.098660e-01    2.864560e-02    4.542721e-17    1.660001e-12    6.512922e-20    1.210311e-14    3.960388e-18   -2.859481e-25   -9.853278e-21
    6.000000e-02    8.098660e-01    2.864560e-02    6.488218e-17    1.660002e-12    9.303775e-20    1.204271e-14    5.978231e-18   -3.406754e-25   -1.170491e-20
    7.000000e-02    8.098660e-01    2.864560e-02    9.266344e-17    1.660003e-12    1.328973e-19    1.198317e-14    7.974015e-18   -4.058644e-25   -1.390395e-20
    8.000000e-02    8.098660e-01    2.864560e-02    1.323320e-16    1.660004e-12    1.898221e-19    1.192448e-14    9.947836e-18   -4.835127e-25   -1.651548e-20
    9.000000e-02    8.098660e-01    2.864560e-02    1.889710e-16    1.660005e-12    2.711134e-19    1.186660e-14    1.189971e-17   -5.759986e-25   -1.961675e-20
    1.000000e-01    8.098660e-01    2.864560e-02    2.698353e-16    1.660008e-12    3.871941e-19    1.180952e-14    1.382958e-17   -6.861539e-25   -2.329942e-20
    1.100000e-01    8.098660e-01    2.864560e-02    3.852797e-16    1.660011e-12    5.529426e-19    1.175323e-14    1.573727e-17   -8.173502e-25   -2.767233e-20
    1.200000e-01    8.098660e-01    2.864560e-02    5.500812e-16    1.660015e-12    7.895962e-19    1.169771e-14    1.762249e-17   -9.736013e-25   -3.286459e-20
    1.300000e-01    8.098660e-01    2.864560e-02    7.853280e-16    1.660022e-12    1.127466e-18    1.164294e-14    1.948482e-17   -1.159686e-24   -3.902945e-20
