# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.431087e+01    4.919225e+02    8.461820e-05    1.863039e+05    2.480239e-09    3.996900e-16    3.741802e-11    1.089417e-11    5.700000e-01    8.214612e-01    3.077336e-02
    3.426467e+01    4.900249e+02    1.192339e-04    2.622884e+05    2.479061e-09    4.723528e-16    4.731779e-11    1.279728e-11    5.800000e-01    8.214612e-01    3.078609e-02
    3.416369e+01    4.878320e+02    1.678856e-04    3.682000e+05    2.479217e-09    5.580065e-16    5.899875e-11    1.503120e-11    5.900000e-01    8.214612e-01    3.080396e-02
    3.401268e+01    4.853160e+02    2.360905e-04    5.151386e+05    2.480935e-09    6.589725e-16    7.278785e-11    1.765421e-11    6.000000e-01    8.214612e-01    3.082899e-02
    3.381381e+01    4.824559e+02    3.314237e-04    7.178946e+05    2.484490e-09    7.779920e-16    8.907175e-11    2.073437e-11    6.100000e-01    8.214612e-01    3.086390e-02
    3.356753e+01    4.792413e+02    4.642182e-04    9.959268e+05    2.490201e-09    9.182990e-16    1.083048e-10    2.435069e-11    6.200000e-01    8.214612e-01    3.091242e-02
    3.327329e+01    4.756797e+02    6.484660e-04    1.374466e+06    2.498442e-09    1.083701e-15    1.310161e-10    2.859415e-11    6.300000e-01    8.214612e-01    3.097952e-02
    3.293015e+01    4.718023e+02    9.029600e-04    1.885688e+06    2.509647e-09    1.278674e-15    1.578155e-10    3.356863e-11    6.400000e-01    8.214612e-01    3.107178e-02
    3.253746e+01    4.676723e+02    1.252715e-03    2.569884e+06    2.524308e-09    1.508450e-15    1.893995e-10    3.939147e-11    6.500000e-01    8.214612e-01    3.119779e-02
    3.209534e+01    4.633924e+02    1.730703e-03    3.476490e+06    2.542985e-09    1.779135e-15    2.265531e-10    4.619375e-11    6.600000e-01    8.214612e-01    3.136858e-02
    3.160513e+01    4.591097e+02    2.379949e-03    4.664854e+06    2.566299e-09    2.097807e-15    2.701505e-10    5.411980e-11    6.700000e-01    8.214612e-01    3.159798e-02
    3.106958e+01    4.550163e+02    3.255997e-03    6.204585e+06    2.594937e-09    2.472631e-15    3.211496e-10    6.332595e-11    6.800000e-01    8.214612e-01    3.190302e-02
    3.049268e+01    4.513440e+02    4.429788e-03    8.175296e+06    2.629633e-09    2.912964e-15    3.805816e-10    7.397830e-11    6.900000e-01    8.214612e-01    3.230401e-02
    2.987941e+01    4.483521e+02    5.990950e-03    1.066563e+07    2.671168e-09    3.429442e-15    4.495315e-10    8.624865e-11    7.000000e-01    8.214612e-01    3.282450e-02
    2.923492e+01    4.463046e+02    8.051465e-03    1.377126e+07    2.720342e-09    4.034056e-15    5.291090e-10    1.003090e-10    7.100000e-01    8.214612e-01    3.349084e-02
    2.856366e+01    4.454444e+02    1.074969e-02    1.759166e+07    2.777942e-09    4.740190e-15    6.204055e-10    1.163237e-10    7.200000e-01    8.214612e-01    3.433134e-02
    2.786881e+01    4.459630e+02    1.425440e-02    2.222540e+07    2.844709e-09    5.562605e-15    7.244395e-10    1.344397e-10    7.300000e-01    8.214612e-01    3.537512e-02
    2.715186e+01    4.479776e+02    1.876878e-02    2.776400e+07    2.921285e-09    6.517365e-15    8.420840e-10    1.547742e-10    7.400000e-01    8.214612e-01    3.665064e-02
