# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.389457e+01    7.041640e+02    5.968910e-05    5.706663e+04    5.642390e-09    1.328949e-15    1.483764e-10    3.699610e-11    5.700000e-01    8.085480e-01    2.846732e-02
    3.383810e+01    7.006051e+02    8.375390e-05    7.986434e+04    5.647785e-09    1.567199e-15    1.818603e-10    4.340094e-11    5.800000e-01    8.085480e-01    2.848782e-02
    3.370830e+01    6.965466e+02    1.174105e-04    1.113354e+05    5.657580e-09    1.847708e-15    2.213625e-10    5.091270e-11    5.900000e-01    8.085480e-01    2.851645e-02
    3.351294e+01    6.919679e+02    1.643239e-04    1.545102e+05    5.672520e-09    2.177979e-15    2.679621e-10    5.971960e-11    6.000000e-01    8.085480e-01    2.855626e-02
    3.325665e+01    6.868715e+02    2.294627e-04    2.133201e+05    5.693495e-09    2.566827e-15    3.229086e-10    7.003720e-11    6.100000e-01    8.085480e-01    2.861137e-02
    3.294215e+01    6.812931e+02    3.195094e-04    2.927824e+05    5.721510e-09    3.024576e-15    3.876345e-10    8.211030e-11    6.200000e-01    8.085480e-01    2.868724e-02
    3.257132e+01    6.753122e+02    4.433699e-04    3.991825e+05    5.757715e-09    3.563270e-15    4.637643e-10    9.621370e-11    6.300000e-01    8.085480e-01    2.879101e-02
    3.214590e+01    6.690629e+02    6.128005e-04    5.402350e+05    5.803395e-09    4.196902e-15    5.531185e-10    1.126524e-10    6.400000e-01    8.085480e-01    2.893186e-02
    3.166840e+01    6.627431e+02    8.431600e-04    7.252045e+05    5.859975e-09    4.941646e-15    6.577085e-10    1.317601e-10    6.500000e-01    8.085480e-01    2.912140e-02
    3.114231e+01    6.566184e+02    1.154304e-03    9.649584e+05    5.929015e-09    5.816085e-15    7.797230e-10    1.538950e-10    6.600000e-01    8.085480e-01    2.937394e-02
    3.057236e+01    6.510156e+02    1.571624e-03    1.271939e+06    6.012170e-09    6.841415e-15    9.214960e-10    1.794340e-10    6.700000e-01    8.085480e-01    2.970668e-02
    2.996427e+01    6.463097e+02    2.127240e-03    1.660026e+06    6.111185e-09    8.041640e-15    1.085457e-09    2.087623e-10    6.800000e-01    8.085480e-01    3.013971e-02
    2.932414e+01    6.428954e+02    2.861355e-03    2.144279e+06    6.227815e-09    9.443685e-15    1.274059e-09    2.422596e-10    6.900000e-01    8.085480e-01    3.069567e-02
    2.865763e+01    6.411506e+02    3.823734e-03    2.740526e+06    6.363765e-09    1.107744e-14    1.489671e-09    2.802816e-10    7.000000e-01    8.085480e-01    3.139916e-02
    2.796932e+01    6.413978e+02    5.075280e-03    3.464771e+06    6.520600e-09    1.297568e-14    1.734448e-09    3.231354e-10    7.100000e-01    8.085480e-01    3.227581e-02
    2.726212e+01    6.438659e+02    6.689620e-03    4.332422e+06    6.699625e-09    1.517388e-14    2.010166e-09    3.710527e-10    7.200000e-01    8.085480e-01    3.335111e-02
    2.653745e+01    6.486662e+02    8.754540e-03    5.357401e+06    6.901740e-09    1.770981e-14    2.318033e-09    4.241579e-10    7.300000e-01    8.085480e-01    3.464913e-02
    2.579577e+01    6.557839e+02    1.137316e-02    6.551236e+06    7.127320e-09    2.062297e-14    2.658492e-09    4.824368e-10    7.400000e-01    8.085480e-01    3.619139e-02
    2.503745e+01    6.650880e+02    1.466463e-02    7.922394e+06    7.376065e-09    2.395375e-14    3.031027e-09    5.457080e-10    7.500000e-01    8.085480e-01    3.799591e-02
    2.426359e+01    6.763503e+02    1.876434e-02    9.475975e+06    7.646885e-09    2.774256e-14    3.433999e-09    6.136015e-10    7.600000e-01    8.085480e-01    4.007666e-02
    2.347650e+01    6.892758e+02    2.382346e-02    1.121391e+07    7.937820e-09    3.202861e-14    3.864560e-09    6.855485e-10    7.700000e-01    8.085480e-01    4.244335e-02
    2.267967e+01    7.035254e+02    3.000789e-02    1.313549e+07    8.246050e-09    3.684880e-14    4.318639e-09    7.607890e-10    7.800000e-01    8.085480e-01    4.510157e-02
    2.187757e+01    7.187416e+02    3.749662e-02    1.523824e+07    8.567945e-09    4.223644e-14    4.791039e-09    8.383940e-10    7.900000e-01    8.085480e-01    4.805317e-02
    2.107496e+01    7.345587e+02    4.647962e-02    1.751853e+07    8.899215e-09    4.822022e-14    5.275665e-09    9.173100e-10    8.000000e-01    8.085480e-01    5.129665e-02
    2.027662e+01    7.506194e+02    5.715505e-02    1.997223e+07    9.235145e-09    5.482335e-14    5.765815e-09    9.964135e-10    8.100000e-01    8.085480e-01    5.482767e-02
    1.948686e+01    7.665801e+02    6.972635e-02    2.259483e+07    9.570835e-09    6.206290e-14    6.254585e-09    1.074576e-09    8.200000e-01    8.085480e-01    5.863945e-02
    1.870951e+01    7.821206e+02    8.439850e-02    2.538144e+07    9.901505e-09    6.994970e-14    6.735255e-09    1.150729e-09    8.300000e-01    8.085480e-01    6.272310e-02
    1.794781e+01    7.969506e+02    1.013746e-01    2.832651e+07    1.022276e-08    7.848845e-14    7.201660e-09    1.223923e-09    8.400000e-01    8.085480e-01    6.706796e-02
    1.720446e+01    8.108188e+02    1.208524e-01    3.142361e+07    1.053077e-08    8.767810e-14    7.648500e-09    1.293368e-09    8.500000e-01    8.085480e-01    7.166187e-02
    1.648179e+01    8.235172e+02    1.430199e-01    3.466516e+07    1.082250e-08    9.751265e-14    8.071540e-09    1.358461e-09    8.600000e-01    8.085480e-01    7.649146e-02
    1.578169e+01    8.348869e+02    1.680535e-01    3.804233e+07    1.109569e-08    1.079821e-13    8.467700e-09    1.418801e-09    8.700000e-01    8.085480e-01    8.154240e-02
    1.510579e+01    8.448189e+02    1.961147e-01    4.154511e+07    1.134890e-08    1.190735e-13    8.835065e-09    1.474167e-09    8.800000e-01    8.085480e-01    8.679976e-02
    1.445536e+01    8.532521e+02    2.273486e-01    4.516247e+07    1.158147e-08    1.307716e-13    9.172780e-09    1.524513e-09    8.900000e-01    8.085480e-01    9.224824e-02
    1.383138e+01    8.601707e+02    2.618826e-01    4.888269e+07    1.179336e-08    1.430603e-13    9.480905e-09    1.569930e-09    9.000000e-01    8.085480e-01    9.787252e-02
    1.323455e+01    8.655972e+02    2.998264e-01    5.269364e+07    1.198508e-08    1.559232e-13    9.760235e-09    1.610621e-09    9.100000e-01    8.085480e-01    1.036575e-01
    1.266520e+01    8.695864e+02    3.412720e-01    5.658321e+07    1.215753e-08    1.693442e-13    1.001214e-08    1.646865e-09    9.200000e-01    8.085480e-01    1.095884e-01
    1.212344e+01    8.722174e+02    3.862946e-01    6.053949e+07    1.231192e-08    1.833080e-13    1.023836e-08    1.678995e-09    9.300000e-01    8.085480e-01    1.156513e-01
    1.160904e+01    8.735873e+02    4.349540e-01    6.455125e+07    1.244960e-08    1.978008e-13    1.044087e-08    1.707369e-09    9.400000e-01    8.085480e-01    1.218328e-01
    1.112157e+01    8.738020e+02    4.872958e-01    6.860789e+07    1.257202e-08    2.128101e-13    1.062176e-08    1.732353e-09    9.500000e-01    8.085480e-01    1.281207e-01
    1.066037e+01    8.729756e+02    5.433535e-01    7.269992e+07    1.268064e-08    2.283254e-13    1.078313e-08    1.754305e-09    9.600000e-01    8.085480e-01    1.345035e-01
    1.022460e+01    8.712192e+02    6.031490e-01    7.681855e+07    1.277689e-08    2.443379e-13    1.092704e-08    1.773572e-09    9.700000e-01    8.085480e-01    1.409707e-01
    9.813311e+00    8.686432e+02    6.666955e-01    8.095624e+07    1.286213e-08    2.608403e-13    1.105540e-08    1.790471e-09    9.800000e-01    8.085480e-01    1.475129e-01
    9.425422e+00    8.653530e+02    7.339995e-01    8.510642e+07    1.293762e-08    2.778273e-13    1.117002e-08    1.805297e-09    9.900000e-01    8.085480e-01    1.541215e-01
    9.059802e+00    8.614432e+02    8.050595e-01    8.926325e+07    1.300452e-08    2.952953e-13    1.127255e-08    1.818314e-09    1.000000e+00    8.085480e-01    1.607888e-01
    8.715294e+00    8.570044e+02    8.798705e-01    9.342198e+07    1.306387e-08    3.132422e-13    1.136446e-08    1.829760e-09    1.010000e+00    8.085480e-01    1.675080e-01
    8.390710e+00    8.521160e+02    9.584225e-01    9.757852e+07    1.311661e-08    3.316671e-13    1.144709e-08    1.839842e-09    1.020000e+00    8.085480e-01    1.742731e-01
    8.084886e+00    8.468494e+02    1.040703e+00    1.017295e+08    1.316357e-08    3.505709e-13    1.152161e-08    1.848746e-09    1.030000e+00    8.085480e-01    1.810788e-01
    7.796678e+00    8.412683e+02    1.126696e+00    1.058722e+08    1.320550e-08    3.699555e-13    1.158905e-08    1.856632e-09    1.040000e+00    8.085480e-01    1.879202e-01
    7.524978e+00    8.354285e+02    1.216387e+00    1.100044e+08    1.324303e-08    3.898239e-13    1.165033e-08    1.863640e-09    1.050000e+00    8.085480e-01    1.947933e-01
    7.268716e+00    8.293774e+02    1.309756e+00    1.141242e+08    1.327672e-08    4.101804e-13    1.170624e-08    1.869890e-09    1.060000e+00    8.085480e-01    2.016946e-01
    7.026881e+00    8.231565e+02    1.406786e+00    1.182302e+08    1.330706e-08    4.310301e-13    1.175746e-08    1.875486e-09    1.070000e+00    8.085480e-01    2.086207e-01
    6.798517e+00    8.168024e+02    1.507456e+00    1.223214e+08    1.333449e-08    4.523789e-13    1.180460e-08    1.880518e-09    1.080000e+00    8.085480e-01    2.155690e-01
    6.582717e+00    8.103453e+02    1.611749e+00    1.263970e+08    1.335937e-08    4.742337e-13    1.184817e-08    1.885063e-09    1.090000e+00    8.085480e-01    2.225371e-01
    6.378635e+00    8.038108e+02    1.719643e+00    1.304563e+08    1.338201e-08    4.966020e-13    1.188861e-08    1.889187e-09    1.100000e+00    8.085480e-01    2.295230e-01
    6.185477e+00    7.972211e+02    1.831122e+00    1.344988e+08    1.340270e-08    5.194925e-13    1.192632e-08    1.892946e-09    1.110000e+00    8.085480e-01    2.365247e-01
    6.002505e+00    7.905950e+02    1.946164e+00    1.385243e+08    1.342166e-08    5.429135e-13    1.196162e-08    1.896388e-09    1.120000e+00    8.085480e-01    2.435407e-01
    5.829032e+00    7.839474e+02    2.064752e+00    1.425325e+08    1.343912e-08    5.668750e-13    1.199481e-08    1.899555e-09    1.130000e+00    8.085480e-01    2.505697e-01
    5.664418e+00    7.772919e+02    2.186868e+00    1.465233e+08    1.345524e-08    5.913870e-13    1.202613e-08    1.902481e-09    1.140000e+00    8.085480e-01    2.576105e-01
    5.508075e+00    7.706386e+02    2.312493e+00    1.504968e+08    1.347017e-08    6.164605e-13    1.205579e-08    1.905198e-09    1.150000e+00    8.085480e-01    2.646622e-01
    5.359450e+00    7.639964e+02    2.441610e+00    1.544529e+08    1.348406e-08    6.421065e-13    1.208399e-08    1.907730e-09    1.160000e+00    8.085480e-01    2.717237e-01
    5.218040e+00    7.573728e+02    2.574200e+00    1.583917e+08    1.349701e-08    6.683370e-13    1.211088e-08    1.910101e-09    1.170000e+00    8.085480e-01    2.787943e-01
    5.083368e+00    7.507734e+02    2.710250e+00    1.623132e+08    1.350912e-08    6.951640e-13    1.213659e-08    1.912329e-09    1.180000e+00    8.085480e-01    2.858735e-01
    4.955003e+00    7.442027e+02    2.849739e+00    1.662175e+08    1.352049e-08    7.226005e-13    1.216125e-08    1.914429e-09    1.190000e+00    8.085480e-01    2.929607e-01
    4.832542e+00    7.376647e+02    2.992653e+00    1.701049e+08    1.353117e-08    7.506600e-13    1.218497e-08    1.916417e-09    1.200000e+00    8.085480e-01    3.000552e-01
    4.715611e+00    7.311623e+02    3.138976e+00    1.739752e+08    1.354125e-08    7.793555e-13    1.220782e-08    1.918305e-09    1.210000e+00    8.085480e-01    3.071569e-01
    4.603866e+00    7.246975e+02    3.288692e+00    1.778287e+08    1.355078e-08    8.087015e-13    1.222991e-08    1.920102e-09    1.220000e+00    8.085480e-01    3.142652e-01
    4.496988e+00    7.182723e+02    3.441785e+00    1.816654e+08    1.355980e-08    8.387130e-13    1.225128e-08    1.921818e-09    1.230000e+00    8.085480e-01    3.213800e-01
    4.394681e+00    7.118875e+02    3.598240e+00    1.854856e+08    1.356836e-08    8.694050e-13    1.227200e-08    1.923460e-09    1.240000e+00    8.085480e-01    3.285009e-01
    4.296670e+00    7.055443e+02    3.758042e+00    1.892892e+08    1.357651e-08    9.007930e-13    1.229213e-08    1.925036e-09    1.250000e+00    8.085480e-01    3.356277e-01
    4.202701e+00    6.992428e+02    3.921176e+00    1.930764e+08    1.358425e-08    9.328930e-13    1.231171e-08    1.926551e-09    1.260000e+00    8.085480e-01    3.427602e-01
    4.112537e+00    6.929831e+02    4.087627e+00    1.968471e+08    1.359165e-08    9.657220e-13    1.233079e-08    1.928010e-09    1.270000e+00    8.085480e-01    3.498984e-01
    4.025962e+00    6.867657e+02    4.257382e+00    2.006016e+08    1.359872e-08    9.992970e-13    1.234939e-08    1.929418e-09    1.280000e+00    8.085480e-01    3.570420e-01
    3.942769e+00    6.805900e+02    4.430423e+00    2.043399e+08    1.360547e-08    1.033636e-12    1.236756e-08    1.930779e-09    1.290000e+00    8.085480e-01    3.641909e-01
    3.862770e+00    6.744558e+02    4.606739e+00    2.080620e+08    1.361194e-08    1.068756e-12    1.238532e-08    1.932097e-09    1.300000e+00    8.085480e-01    3.713451e-01
    3.785790e+00    6.683627e+02    4.786314e+00    2.117679e+08    1.361813e-08    1.104676e-12    1.240270e-08    1.933373e-09    1.310000e+00    8.085480e-01    3.785045e-01
    3.711664e+00    6.623102e+02    4.969134e+00    2.154578e+08    1.362409e-08    1.141416e-12    1.241972e-08    1.934613e-09    1.320000e+00    8.085480e-01    3.856691e-01
    3.640238e+00    6.562974e+02    5.155185e+00    2.191315e+08    1.362980e-08    1.178995e-12    1.243641e-08    1.935816e-09    1.330000e+00    8.085480e-01    3.928388e-01
    3.571372e+00    6.503240e+02    5.344450e+00    2.227892e+08    1.363528e-08    1.217433e-12    1.245278e-08    1.936987e-09    1.340000e+00    8.085480e-01    4.000135e-01
    3.504930e+00    6.443892e+02    5.536920e+00    2.264307e+08    1.364056e-08    1.256753e-12    1.246884e-08    1.938127e-09    1.350000e+00    8.085480e-01    4.071933e-01
    3.440790e+00    6.384922e+02    5.732575e+00    2.300562e+08    1.364565e-08    1.296974e-12    1.248463e-08    1.939238e-09    1.360000e+00    8.085480e-01    4.143781e-01
    3.378834e+00    6.326326e+02    5.931405e+00    2.336656e+08    1.365054e-08    1.338119e-12    1.250014e-08    1.940320e-09    1.370000e+00    8.085480e-01    4.215679e-01
    3.318955e+00    6.268094e+02    6.133395e+00    2.372590e+08    1.365525e-08    1.380211e-12    1.251540e-08    1.941377e-09    1.380000e+00    8.085480e-01    4.287628e-01
