# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: sf
# Temperature: 25 C
# W = 2.0 um
# L = 3 um (3000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    7.408414e-01    3.752881e-02    1.658159e-14    1.660594e-12    2.762839e-17    9.004795e-15   -5.993194e-18   -5.785269e-24   -1.558724e-19
    1.000000e-02    7.408414e-01    3.752881e-02    2.191655e-14    1.660760e-12    3.652399e-17    8.960328e-15   -4.550453e-18   -6.637004e-24   -1.782886e-19
    2.000000e-02    7.408414e-01    3.752881e-02    2.896652e-14    1.661038e-12    4.828134e-17    8.916498e-15   -3.139336e-18   -7.613870e-24   -2.039174e-19
    3.000000e-02    7.408414e-01    3.752881e-02    3.828234e-14    1.661372e-12    6.382031e-17    8.873292e-15   -1.761882e-18   -8.734199e-24   -2.332170e-19
    4.000000e-02    7.408414e-01    3.752881e-02    5.059161e-14    1.661814e-12    8.435617e-17    8.830698e-15   -4.204803e-19   -1.001899e-23   -2.667102e-19
    5.000000e-02    7.408414e-01    3.752881e-02    6.685535e-14    1.662397e-12    1.114944e-16    8.788705e-15    8.820754e-19   -1.149232e-23   -3.049936e-19
    6.000000e-02    7.408414e-01    3.752881e-02    8.834281e-14    1.663168e-12    1.473558e-16    8.747302e-15    2.142536e-18   -1.318174e-23   -3.487478e-19
    7.000000e-02    7.408414e-01    3.752881e-02    1.167302e-13    1.664187e-12    1.947418e-16    8.706480e-15    3.357135e-18   -1.511882e-23   -3.987488e-19
    8.000000e-02    7.408414e-01    3.752881e-02    1.542312e-13    1.665533e-12    2.573527e-16    8.666229e-15    4.521515e-18   -1.733972e-23   -4.558814e-19
    9.000000e-02    7.408414e-01    3.752881e-02    2.037688e-13    1.667312e-12    3.400758e-16    8.626540e-15    5.630650e-18   -1.988582e-23   -5.211538e-19
    1.000000e-01    7.408414e-01    3.752881e-02    2.692024e-13    1.669661e-12    4.493656e-16    8.587408e-15    6.678757e-18   -2.280450e-23   -5.957144e-19
    1.100000e-01    7.408414e-01    3.752881e-02    3.556278e-13    1.672766e-12    5.937459e-16    8.548824e-15    7.659194e-18   -2.614998e-23   -6.808706e-19
    1.200000e-01    7.408414e-01    3.752881e-02    4.697723e-13    1.676866e-12    7.844727e-16    8.510783e-15    8.564345e-18   -2.998426e-23   -7.781101e-19
    1.300000e-01    7.408414e-01    3.752881e-02    6.205163e-13    1.682283e-12    1.036409e-15    8.473282e-15    9.385498e-18   -3.437830e-23   -8.891249e-19
    1.400000e-01    7.408414e-01    3.752882e-02    8.195822e-13    1.689438e-12    1.369177e-15    8.436316e-15    1.011270e-17   -3.941318e-23   -1.015838e-18
    1.500000e-01    7.408414e-01    3.752882e-02    1.082441e-12    1.698887e-12    1.808685e-15    8.399884e-15    1.073461e-17   -4.518157e-23   -1.160433e-18
    1.600000e-01    7.408414e-01    3.752882e-02    1.429512e-12    1.711367e-12    2.389133e-15    8.363985e-15    1.123830e-17   -5.178936e-23   -1.325388e-18
    1.700000e-01    7.408414e-01    3.752883e-02    1.887737e-12    1.727847e-12    3.155668e-15    8.328620e-15    1.160911e-17   -5.935744e-23   -1.513514e-18
    1.800000e-01    7.408414e-01    3.752884e-02    2.492666e-12    1.749610e-12    4.167874e-15    8.293790e-15    1.183038e-17   -6.802377e-23   -1.727995e-18
    1.900000e-01    7.408414e-01    3.752885e-02    3.291199e-12    1.778345e-12    5.504392e-15    8.259501e-15    1.188328e-17   -7.794575e-23   -1.972435e-18
    2.000000e-01    7.408414e-01    3.752886e-02    4.345200e-12    1.816285e-12    7.268993e-15    8.225758e-15    1.174651e-17   -8.930279e-23   -2.250911e-18
    2.100000e-01    7.408414e-01    3.752888e-02    5.736262e-12    1.866372e-12    9.598603e-15    8.192569e-15    1.139603e-17   -1.022993e-22   -2.568026e-18
    2.200000e-01    7.408414e-01    3.752890e-02    7.571975e-12    1.932490e-12    1.267386e-14    8.159946e-15    1.080479e-17   -1.171681e-22   -2.928982e-18
    2.300000e-01    7.408414e-01    3.752893e-02    9.994192e-12    2.019764e-12    1.673306e-14    8.127901e-15    9.942355e-18   -1.341739e-22   -3.339640e-18
    2.400000e-01    7.408414e-01    3.752897e-02    1.318989e-11    2.134950e-12    2.209046e-14    8.096450e-15    8.774572e-18   -1.536180e-22   -3.806610e-18
    2.500000e-01    7.408414e-01    3.752902e-02    1.740549e-11    2.286958e-12    2.916050e-14    8.065612e-15    7.263124e-18   -1.758426e-22   -4.337335e-18
    2.600000e-01    7.408414e-01    3.752909e-02    2.296562e-11    2.487537e-12    3.848957e-14    8.035410e-15    5.365083e-18   -2.012362e-22   -4.940195e-18
