# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: sf
# Temperature: 85 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.715112e-01    4.447869e-02    1.336479e-12    1.717537e-12    2.119305e-15    1.020083e-14   -1.581591e-17   -9.804059e-23   -2.176503e-18
    1.000000e-02    6.715112e-01    4.447870e-02    1.685521e-12    1.730902e-12    2.673387e-15    1.015422e-14   -1.529425e-17   -1.098116e-22   -2.428819e-18
    2.000000e-02    6.715112e-01    4.447871e-02    2.125597e-12    1.751551e-12    3.372155e-15    1.010833e-14   -1.493271e-17   -1.229822e-22   -2.709863e-18
    3.000000e-02    6.715112e-01    4.447872e-02    2.680411e-12    1.775475e-12    4.253338e-15    1.006316e-14   -1.474687e-17   -1.377162e-22   -3.022805e-18
    4.000000e-02    6.715112e-01    4.447873e-02    3.379828e-12    1.805641e-12    5.364487e-15    1.001872e-14   -1.475394e-17   -1.541957e-22   -3.371148e-18
    5.000000e-02    6.715112e-01    4.447875e-02    4.261466e-12    1.843678e-12    6.765526e-15    9.974995e-15   -1.497289e-17   -1.726236e-22   -3.758761e-18
    6.000000e-02    6.715112e-01    4.447877e-02    5.372711e-12    1.891636e-12    8.531965e-15    9.931995e-15   -1.542464e-17   -1.932255e-22   -4.189913e-18
    7.000000e-02    6.715112e-01    4.447880e-02    6.773238e-12    1.952097e-12    1.075895e-14    9.889722e-15   -1.613222e-17   -2.162524e-22   -4.669318e-18
    8.000000e-02    6.715112e-01    4.447884e-02    8.538191e-12    2.028315e-12    1.356633e-14    9.848183e-15   -1.712097e-17   -2.419831e-22   -5.202175e-18
    9.000000e-02    6.715112e-01    4.447888e-02    1.076218e-11    2.124391e-12    1.710510e-14    9.807384e-15   -1.841880e-17   -2.707277e-22   -5.794223e-18
    1.000000e-01    6.715112e-01    4.447894e-02    1.356429e-11    2.245486e-12    2.156543e-14    9.767338e-15   -2.005640e-17   -3.028303e-22   -6.451792e-18
    1.100000e-01    6.715112e-01    4.447901e-02    1.709440e-11    2.398103e-12    2.718679e-14    9.728055e-15   -2.206758e-17   -3.386732e-22   -7.181874e-18
    1.200000e-01    6.715112e-01    4.447910e-02    2.154110e-11    2.590429e-12    3.427074e-14    9.689553e-15   -2.448961e-17   -3.786810e-22   -7.992192e-18
    1.300000e-01    6.715112e-01    4.447921e-02    2.714163e-11    2.832770e-12    4.319688e-14    9.651849e-15   -2.736364e-17   -4.233248e-22   -8.891283e-18
    1.400000e-01    6.715112e-01    4.447935e-02    3.419437e-11    3.138102e-12    5.444305e-14    9.614965e-15   -3.073519e-17   -4.731277e-22   -9.888597e-18
    1.500000e-01    6.715112e-01    4.447953e-02    4.307448e-11    3.522749e-12    6.861054e-14    9.578927e-15   -3.465474e-17   -5.286705e-22   -1.099461e-17
    1.600000e-01    6.715112e-01    4.447975e-02    5.425348e-11    4.007254e-12    8.645590e-14    9.543764e-15   -3.917838e-17   -5.905979e-22   -1.222093e-17
    1.700000e-01    6.715112e-01    4.448004e-02    6.832385e-11    4.617455e-12    1.089307e-13    9.509512e-15   -4.436863e-17   -6.596266e-22   -1.358047e-17
    1.800000e-01    6.715112e-01    4.448039e-02    8.602976e-11    5.385848e-12    1.372316e-13    9.476209e-15   -5.029539e-17   -7.365524e-22   -1.508759e-17
    1.900000e-01    6.715112e-01    4.448084e-02    1.083055e-10    6.353283e-12    1.728629e-13    9.443901e-15   -5.703695e-17   -8.222605e-22   -1.675828e-17
    2.000000e-01    6.715112e-01    4.448141e-02    1.363235e-10    7.571098e-12    2.177150e-13    9.412642e-15   -6.468129e-17   -9.177358e-22   -1.861040e-17
    2.100000e-01    6.715112e-01    4.448212e-02    1.715541e-10    9.103794e-12    2.741627e-13    9.382492e-15   -7.332741e-17   -1.024074e-21   -2.066385e-17
    2.200000e-01    6.715112e-01    4.448301e-02    2.158408e-10    1.103237e-11    3.451879e-13    9.353521e-15   -8.308690e-17   -1.142497e-21   -2.294088e-17
    2.300000e-01    6.715112e-01    4.448414e-02    2.714925e-10    1.345849e-11    4.345332e-13    9.325809e-15   -9.408567e-17   -1.274366e-21   -2.546634e-17
    2.400000e-01    6.715112e-01    4.448555e-02    3.413995e-10    1.650974e-11    5.468935e-13    9.299447e-15   -1.064658e-16   -1.421198e-21   -2.826799e-17
    2.500000e-01    6.715112e-01    4.448733e-02    4.291773e-10    2.034605e-11    6.881548e-13    9.274540e-15   -1.203875e-16   -1.584688e-21   -3.137684e-17
    2.600000e-01    6.715112e-01    4.448957e-02    5.393439e-10    2.516792e-11    8.656914e-13    9.251206e-15   -1.360315e-16   -1.766728e-21   -3.482746e-17
    2.700000e-01    6.715112e-01    4.449238e-02    6.775398e-10    3.122637e-11    1.088736e-12    9.229580e-15   -1.536012e-16   -1.969429e-21   -3.865838e-17
    2.800000e-01    6.715112e-01    4.449591e-02    8.507994e-10    3.883560e-11    1.368837e-12    9.209814e-15   -1.733249e-16   -2.195152e-21   -4.291248e-17
    2.900000e-01    6.715112e-01    4.450034e-02    1.067884e-09    4.838846e-11    1.720428e-12    9.192081e-15   -1.954587e-16   -2.446531e-21   -4.763735e-17
