# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 85C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.252110e+01    4.669809e+02    8.538265e-05    1.179463e+05    2.594747e-09    8.957625e-16    7.121030e-11    1.682866e-11    3.300000e-01    6.803692e-01    4.730767e-02
    2.251865e+01    4.661027e+02    1.069499e-04    1.478810e+05    2.591973e-09    9.988245e-16    8.026065e-11    1.869608e-11    3.400000e-01    6.803692e-01    4.731878e-02
    2.250230e+01    4.651492e+02    1.339520e-04    1.852194e+05    2.590059e-09    1.113722e-15    9.040760e-11    2.077148e-11    3.500000e-01    6.803692e-01    4.733269e-02
    2.247342e+01    4.641178e+02    1.677335e-04    2.317186e+05    2.589095e-09    1.241821e-15    1.017783e-10    2.307747e-11    3.600000e-01    6.803692e-01    4.735007e-02
    2.243306e+01    4.630057e+02    2.099615e-04    2.895252e+05    2.589178e-09    1.384648e-15    1.145128e-10    2.563879e-11    3.700000e-01    6.803692e-01    4.737179e-02
    2.238195e+01    4.618121e+02    2.627003e-04    3.612514e+05    2.590414e-09    1.543898e-15    1.287650e-10    2.848240e-11    3.800000e-01    6.803692e-01    4.739889e-02
    2.232061e+01    4.605387e+02    3.285014e-04    4.500641e+05    2.592919e-09    1.721455e-15    1.447027e-10    3.163755e-11    3.900000e-01    6.803692e-01    4.743266e-02
    2.224932e+01    4.591885e+02    4.105118e-04    5.597839e+05    2.596822e-09    1.919409e-15    1.625089e-10    3.513593e-11    4.000000e-01    6.803692e-01    4.747469e-02
    2.216832e+01    4.577687e+02    5.126055e-04    6.950004e+05    2.602263e-09    2.140074e-15    1.823822e-10    3.901160e-11    4.100000e-01    6.803692e-01    4.752691e-02
    2.207771e+01    4.562900e+02    6.395410e-04    8.611987e+05    2.609391e-09    2.386010e-15    2.045368e-10    4.330110e-11    4.200000e-01    6.803692e-01    4.759169e-02
    2.197759e+01    4.547684e+02    7.971485e-04    1.064900e+06    2.618368e-09    2.660042e-15    2.292028e-10    4.804336e-11    4.300000e-01    6.803692e-01    4.767191e-02
    2.186806e+01    4.532254e+02    9.925555e-04    1.313813e+06    2.629370e-09    2.965280e-15    2.566262e-10    5.327965e-11    4.400000e-01    6.803692e-01    4.777102e-02
    2.174926e+01    4.516899e+02    1.234453e-03    1.617004e+06    2.642580e-09    3.305143e-15    2.870684e-10    5.905335e-11    4.500000e-01    6.803692e-01    4.789320e-02
    2.162141e+01    4.501975e+02    1.533410e-03    1.985072e+06    2.658192e-09    3.683378e-15    3.208047e-10    6.540970e-11    4.600000e-01    6.803692e-01    4.804341e-02
    2.148480e+01    4.487941e+02    1.902252e-03    2.430335e+06    2.676415e-09    4.104082e-15    3.581233e-10    7.239560e-11    4.700000e-01    6.803692e-01    4.822758e-02
    2.133983e+01    4.475337e+02    2.356492e-03    2.967034e+06    2.697458e-09    4.571720e-15    3.993224e-10    8.005890e-11    4.800000e-01    6.803692e-01    4.845264e-02
    2.118701e+01    4.464799e+02    2.914855e-03    3.611533e+06    2.721542e-09    5.091145e-15    4.447078e-10    8.844775e-11    4.900000e-01    6.803692e-01    4.872675e-02
    2.102687e+01    4.457055e+02    3.599881e-03    4.382541e+06    2.748888e-09    5.667615e-15    4.945885e-10    9.761015e-11    5.000000e-01    6.803692e-01    4.905930e-02
    2.086003e+01    4.452919e+02    4.438632e-03    5.301314e+06    2.779718e-09    6.306790e-15    5.492715e-10    1.075925e-10    5.100000e-01    6.803692e-01    4.946108e-02
    2.068700e+01    4.453265e+02    5.463510e-03    6.391859e+06    2.814248e-09    7.014765e-15    6.090555e-10    1.184391e-10    5.200000e-01    6.803692e-01    4.994430e-02
    2.050814e+01    4.458995e+02    6.713210e-03    7.681092e+06    2.852684e-09    7.798050e-15    6.742245e-10    1.301901e-10    5.300000e-01    6.803692e-01    5.052261e-02
    2.032354e+01    4.471005e+02    8.233785e-03    9.198939e+06    2.895218e-09    8.663570e-15    7.450380e-10    1.428807e-10    5.400000e-01    6.803692e-01    5.121106e-02
    2.013291e+01    4.490137e+02    1.007985e-02    1.097831e+07    2.942018e-09    9.618650e-15    8.217230e-10    1.565389e-10    5.500000e-01    6.803692e-01    5.202598e-02
    1.993544e+01    4.517111e+02    1.231590e-02    1.305489e+07    2.993222e-09    1.067101e-14    9.044625e-10    1.711846e-10    5.600000e-01    6.803692e-01    5.298479e-02
    1.972970e+01    4.552468e+02    1.501770e-02    1.546666e+07    3.048930e-09    1.182869e-14    9.933845e-10    1.868269e-10    5.700000e-01    6.803692e-01    5.410567e-02
    1.951370e+01    4.596506e+02    1.827366e-02    1.825310e+07    3.109199e-09    1.310005e-14    1.088553e-09    2.034636e-10    5.800000e-01    6.803692e-01    5.540721e-02
    1.928487e+01    4.649225e+02    2.218618e-02    2.145400e+07    3.174030e-09    1.449371e-14    1.189954e-09    2.210781e-10    5.900000e-01    6.803692e-01    5.690796e-02
    1.904023e+01    4.710277e+02    2.687278e-02    2.510784e+07    3.243364e-09    1.601846e-14    1.297490e-09    2.396395e-10    6.000000e-01    6.803692e-01    5.862586e-02
    1.877670e+01    4.778965e+02    3.246686e-02    2.924990e+07    3.317075e-09    1.768317e-14    1.410965e-09    2.591006e-10    6.100000e-01    6.803692e-01    6.057769e-02
    1.849128e+01    4.854226e+02    3.911801e-02    3.391002e+07    3.394969e-09    1.949680e-14    1.530089e-09    2.793980e-10    6.200000e-01    6.803692e-01    6.277855e-02
    1.818146e+01    4.934683e+02    4.699173e-02    3.911051e+07    3.476776e-09    2.146819e-14    1.654466e-09    3.004516e-10    6.300000e-01    6.803692e-01    6.524125e-02
    1.784548e+01    5.018696e+02    5.626835e-02    4.486417e+07    3.562155e-09    2.360601e-14    1.783597e-09    3.221655e-10    6.400000e-01    6.803692e-01    6.797595e-02
    1.748263e+01    5.104453e+02    6.714120e-02    5.117297e+07    3.650695e-09    2.591871e-14    1.916891e-09    3.444294e-10    6.500000e-01    6.803692e-01    7.098975e-02
    1.709330e+01    5.190058e+02    7.981430e-02    5.802727e+07    3.741920e-09    2.841436e-14    2.053665e-09    3.671203e-10    6.600000e-01    6.803692e-01    7.428652e-02
    1.667907e+01    5.273638e+02    9.449875e-02    6.540614e+07    3.835301e-09    3.110058e-14    2.193164e-09    3.901051e-10    6.700000e-01    6.803692e-01    7.786687e-02
    1.624252e+01    5.353430e+02    1.114097e-01    7.327817e+07    3.930265e-09    3.398450e-14    2.334573e-09    4.132439e-10    6.800000e-01    6.803692e-01    8.172819e-02
    1.578714e+01    5.427873e+02    1.307621e-01    8.160350e+07    4.026211e-09    3.707260e-14    2.477038e-09    4.363931e-10    6.900000e-01    6.803692e-01    8.586489e-02
    1.531702e+01    5.495651e+02    1.527668e-01    9.033594e+07    4.122519e-09    4.037077e-14    2.619691e-09    4.594093e-10    7.000000e-01    6.803692e-01    9.026879e-02
    1.483656e+01    5.555742e+02    1.776275e-01    9.942558e+07    4.218574e-09    4.388421e-14    2.761666e-09    4.821529e-10    7.100000e-01    6.803692e-01    9.492944e-02
    1.435029e+01    5.607428e+02    2.055374e-01    1.088213e+08    4.313777e-09    4.761741e-14    2.902123e-09    5.044915e-10    7.200000e-01    6.803692e-01    9.983461e-02
    1.386254e+01    5.650269e+02    2.366762e-01    1.184730e+08    4.407558e-09    5.157420e-14    3.040271e-09    5.263025e-10    7.300000e-01    6.803692e-01    1.049708e-01
    1.337734e+01    5.684110e+02    2.712090e-01    1.283335e+08    4.499392e-09    5.575770e-14    3.175381e-09    5.474760e-10    7.400000e-01    6.803692e-01    1.103236e-01
    1.289826e+01    5.709027e+02    3.092847e-01    1.383598e+08    4.588805e-09    6.017045e-14    3.306802e-09    5.679175e-10    7.500000e-01    6.803692e-01    1.158781e-01
    1.242836e+01    5.725275e+02    3.510356e-01    1.485140e+08    4.675389e-09    6.481440e-14    3.433973e-09    5.875480e-10    7.600000e-01    6.803692e-01    1.216193e-01
    1.197016e+01    5.733265e+02    3.965771e-01    1.587634e+08    4.758798e-09    6.969090e-14    3.556427e-09    6.063045e-10    7.700000e-01    6.803692e-01    1.275326e-01
    1.152564e+01    5.733522e+02    4.460085e-01    1.690810e+08    4.838756e-09    7.480100e-14    3.673795e-09    6.241410e-10    7.800000e-01    6.803692e-01    1.336034e-01
    1.109629e+01    5.726630e+02    4.994138e-01    1.794445e+08    4.915054e-09    8.014520e-14    3.785801e-09    6.410265e-10    7.900000e-01    6.803692e-01    1.398182e-01
    1.068313e+01    5.713219e+02    5.568625e-01    1.898364e+08    4.987548e-09    8.572385e-14    3.892265e-09    6.569455e-10    8.000000e-01    6.803692e-01    1.461638e-01
