# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 85C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.224168e+01    7.318218e+02    6.445680e-05    3.162983e+04    7.213725e-09    4.046002e-15    3.475785e-10    7.748810e-11    3.500000e-01    6.670906e-01    4.325173e-02
    2.223140e+01    7.299488e+02    8.050980e-05    3.945883e+04    7.219240e-09    4.507006e-15    3.901138e-10    8.599710e-11    3.600000e-01    6.670906e-01    4.327534e-02
    2.220274e+01    7.279490e+02    1.005411e-04    4.915020e+04    7.228445e-09    5.020475e-15    4.376018e-10    9.542455e-11    3.700000e-01    6.670906e-01    4.330477e-02
    2.215763e+01    7.258277e+02    1.255096e-04    6.111944e+04    7.241710e-09    5.592315e-15    4.905662e-10    1.058613e-10    3.800000e-01    6.670906e-01    4.334140e-02
    2.209751e+01    7.235951e+02    1.565965e-04    7.586527e+04    7.259430e-09    6.229040e-15    5.495725e-10    1.174048e-10    3.900000e-01    6.670906e-01    4.338693e-02
    2.202358e+01    7.212688e+02    1.952520e-04    9.398343e+04    7.282025e-09    6.937855e-15    6.152280e-10    1.301590e-10    4.000000e-01    6.670906e-01    4.344342e-02
    2.193673e+01    7.188729e+02    2.432537e-04    1.161813e+05    7.309960e-09    7.726680e-15    6.881840e-10    1.442343e-10    4.100000e-01    6.670906e-01    4.351338e-02
    2.183774e+01    7.164421e+02    3.027747e-04    1.432953e+05    7.343710e-09    8.604210e-15    7.691315e-10    1.597467e-10    4.200000e-01    6.670906e-01    4.359983e-02
    2.172727e+01    7.140212e+02    3.764650e-04    1.763071e+05    7.383800e-09    9.579985e-15    8.588015e-10    1.768180e-10    4.300000e-01    6.670906e-01    4.370642e-02
    2.160593e+01    7.116676e+02    4.675478e-04    2.163643e+05    7.430765e-09    1.066443e-14    9.579590e-10    1.955742e-10    4.400000e-01    6.670906e-01    4.383750e-02
    2.147436e+01    7.094523e+02    5.799335e-04    2.647993e+05    7.485170e-09    1.186890e-14    1.067400e-09    2.161445e-10    4.500000e-01    6.670906e-01    4.399823e-02
    2.133325e+01    7.074627e+02    7.183530e-04    3.231517e+05    7.547595e-09    1.320577e-14    1.187943e-09    2.386601e-10    4.600000e-01    6.670906e-01    4.419472e-02
    2.118330e+01    7.057997e+02    8.885160e-04    3.931895e+05    7.618635e-09    1.468840e-14    1.320418e-09    2.632519e-10    4.700000e-01    6.670906e-01    4.443407e-02
