# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: ss
# Temperature: -40 C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    8.577436e-01    3.202315e-02    4.234190e-18    1.660000e-12    9.870321e-21    4.692558e-15   -4.833790e-18   -1.390879e-26   -4.787372e-22
    1.000000e-02    8.577436e-01    3.202315e-02    6.035792e-18    1.660000e-12    1.407232e-20    4.666896e-15   -4.050769e-18   -1.659237e-26   -5.694708e-22
    2.000000e-02    8.577436e-01    3.202315e-02    8.603461e-18    1.660000e-12    2.006205e-20    4.641633e-15   -3.276572e-18   -1.979316e-26   -6.773762e-22
    3.000000e-02    8.577436e-01    3.202315e-02    1.226273e-17    1.660000e-12    2.859959e-20    4.616760e-15   -2.511012e-18   -2.361072e-26   -8.056983e-22
    4.000000e-02    8.577436e-01    3.202315e-02    1.747737e-17    1.660000e-12    4.076798e-20    4.592266e-15   -1.753911e-18   -2.816379e-26   -9.582945e-22
    5.000000e-02    8.577436e-01    3.202315e-02    2.490807e-17    1.660001e-12    5.811038e-20    4.568142e-15   -1.005105e-18   -3.359389e-26   -1.139750e-21
    6.000000e-02    8.577436e-01    3.202315e-02    3.549597e-17    1.660001e-12    8.282533e-20    4.544379e-15   -2.644353e-19   -4.006979e-26   -1.355514e-21
    7.000000e-02    8.577436e-01    3.202315e-02    5.058167e-17    1.660001e-12    1.180450e-19    4.520968e-15    4.682428e-19   -4.779268e-26   -1.612065e-21
    8.000000e-02    8.577436e-01    3.202315e-02    7.207459e-17    1.660002e-12    1.682315e-19    4.497902e-15    1.193063e-18   -5.700240e-26   -1.917101e-21
    9.000000e-02    8.577436e-01    3.202315e-02    1.026943e-16    1.660003e-12    2.397407e-19    4.475171e-15    1.910147e-18   -6.798489e-26   -2.279770e-21
    1.000000e-01    8.577436e-01    3.202315e-02    1.463138e-16    1.660004e-12    3.416264e-19    4.452768e-15    2.619602e-18   -8.108100e-26   -2.710946e-21
