# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: ss
# Temperature: -40 C
# W = 2.0 um
# L = 3 um (3000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    8.426981e-01    2.914768e-02    3.687985e-18    1.660000e-12    6.012477e-21    9.337579e-15   -7.262878e-18   -4.986696e-26   -1.785969e-21
    1.000000e-02    8.426981e-01    2.914768e-02    5.256712e-18    1.660000e-12    8.571344e-21    9.288324e-15   -5.719912e-18   -5.937798e-26   -2.120569e-21
    2.000000e-02    8.426981e-01    2.914768e-02    7.492283e-18    1.660000e-12    1.221854e-20    9.239808e-15   -4.193820e-18   -7.070099e-26   -2.517765e-21
    3.000000e-02    8.426981e-01    2.914768e-02    1.067798e-17    1.660000e-12    1.741667e-20    9.192014e-15   -2.684290e-18   -8.418084e-26   -2.989249e-21
    4.000000e-02    8.426981e-01    2.914768e-02    1.521736e-17    1.660000e-12    2.482479e-20    9.144924e-15   -1.191031e-18   -1.002279e-25   -3.548896e-21
    5.000000e-02    8.426981e-01    2.914768e-02    2.168524e-17    1.660001e-12    3.538190e-20    9.098521e-15    2.862243e-19   -1.193305e-25   -4.213165e-21
    6.000000e-02    8.426981e-01    2.914768e-02    3.090042e-17    1.660001e-12    5.042567e-20    9.052790e-15    1.747716e-18   -1.420699e-25   -5.001587e-21
    7.000000e-02    8.426981e-01    2.914768e-02    4.402907e-17    1.660001e-12    7.186167e-20    9.007714e-15    3.193655e-18   -1.691376e-25   -5.937328e-21
    8.000000e-02    8.426981e-01    2.914768e-02    6.273208e-17    1.660002e-12    1.024042e-19    8.963278e-15    4.624222e-18   -2.013565e-25   -7.047875e-21
    9.000000e-02    8.426981e-01    2.914768e-02    8.937475e-17    1.660003e-12    1.459196e-19    8.919468e-15    6.039563e-18   -2.397060e-25   -8.365831e-21
    1.000000e-01    8.426981e-01    2.914768e-02    1.273254e-16    1.660004e-12    2.079143e-19    8.876270e-15    7.439782e-18   -2.853510e-25   -9.929874e-21
    1.100000e-01    8.426981e-01    2.914768e-02    1.813804e-16    1.660005e-12    2.962307e-19    8.833669e-15    8.824938e-18   -3.396779e-25   -1.178588e-20
    1.200000e-01    8.426981e-01    2.914768e-02    2.583691e-16    1.660007e-12    4.220373e-19    8.791653e-15    1.019504e-17   -4.043362e-25   -1.398825e-20
    1.300000e-01    8.426981e-01    2.914768e-02    3.680152e-16    1.660010e-12    6.012383e-19    8.750209e-15    1.155003e-17   -4.812882e-25   -1.660154e-20
    1.400000e-01    8.426981e-01    2.914768e-02    5.241624e-16    1.660015e-12    8.564805e-19    8.709324e-15    1.288980e-17   -5.728685e-25   -1.970227e-20
    1.500000e-01    8.426981e-01    2.914768e-02    7.465191e-16    1.660021e-12    1.220010e-18    8.668986e-15    1.421413e-17   -6.818546e-25   -2.338121e-20
    1.600000e-01    8.426981e-01    2.914768e-02    1.063141e-15    1.660030e-12    1.737737e-18    8.629184e-15    1.552274e-17   -8.115505e-25   -2.774598e-20
    1.700000e-01    8.426981e-01    2.914768e-02    1.513965e-15    1.660043e-12    2.475026e-18    8.589907e-15    1.681520e-17   -9.658866e-25   -3.292422e-20
    1.800000e-01    8.426981e-01    2.914768e-02    2.155834e-15    1.660061e-12    3.524929e-18    8.551144e-15    1.809099e-17   -1.149538e-24   -3.906723e-20
    1.900000e-01    8.426981e-01    2.914768e-02    3.069656e-15    1.660087e-12    5.019909e-18    8.512885e-15    1.934941e-17   -1.368066e-24   -4.635442e-20
    2.000000e-01    8.426981e-01    2.914768e-02    4.370575e-15    1.660124e-12    7.148520e-18    8.475120e-15    2.058958e-17   -1.628083e-24   -5.499844e-20
    2.100000e-01    8.426981e-01    2.914768e-02    6.222458e-15    1.660176e-12    1.017914e-17    8.437840e-15    2.181042e-17   -1.937457e-24   -6.525138e-20
    2.200000e-01    8.426981e-01    2.914768e-02    8.858492e-15    1.660251e-12    1.449375e-17    8.401035e-15    2.301058e-17   -2.305543e-24   -7.741202e-20
    2.300000e-01    8.426981e-01    2.914768e-02    1.261049e-14    1.660357e-12    2.063598e-17    8.364697e-15    2.418842e-17   -2.743463e-24   -9.183443e-20
    2.400000e-01    8.426981e-01    2.914768e-02    1.795056e-14    1.660508e-12    2.937945e-17    8.328819e-15    2.534194e-17   -3.264447e-24   -1.089381e-19
    2.500000e-01    8.426981e-01    2.914768e-02    2.555040e-14    1.660723e-12    4.182507e-17    8.293392e-15    2.646873e-17   -3.884221e-24   -1.292202e-19
    2.600000e-01    8.426981e-01    2.914768e-02    3.636562e-14    1.661030e-12    5.953929e-17    8.258411e-15    2.756587e-17   -4.621483e-24   -1.532694e-19
    2.700000e-01    8.426981e-01    2.914768e-02    5.175562e-14    1.661466e-12    8.475094e-17    8.223869e-15    2.862984e-17   -5.498460e-24   -1.817831e-19
    2.800000e-01    8.426981e-01    2.914768e-02    7.365408e-14    1.662087e-12    1.206310e-16    8.189760e-15    2.965645e-17   -6.541569e-24   -2.155867e-19
    2.900000e-01    8.426981e-01    2.914768e-02    1.048113e-13    1.662970e-12    1.716907e-16    8.156081e-15    3.064064e-17   -7.782206e-24   -2.556575e-19
    3.000000e-01    8.426981e-01    2.914768e-02    1.491391e-13    1.664227e-12    2.443472e-16    8.122826e-15    3.157642e-17   -9.257677e-24   -3.031521e-19
    3.100000e-01    8.426981e-01    2.914768e-02    2.122001e-13    1.666015e-12    3.477286e-16    8.089994e-15    3.245661e-17   -1.101230e-23   -3.594382e-19
    3.200000e-01    8.426981e-01    2.914768e-02    3.019046e-13    1.668559e-12    4.948177e-16    8.057582e-15    3.327266e-17   -1.309872e-23   -4.261334e-19
    3.300000e-01    8.426981e-01    2.914768e-02    4.294998e-13    1.672179e-12    7.040789e-16    8.025591e-15    3.401443e-17   -1.557944e-23   -5.051496e-19
    3.400000e-01    8.426981e-01    2.914769e-02    6.109758e-13    1.677328e-12    1.001769e-15    7.994021e-15    3.466987e-17   -1.852868e-23   -5.987449e-19
    3.500000e-01    8.426981e-01    2.914769e-02    8.690630e-13    1.684653e-12    1.425225e-15    7.962876e-15    3.522468e-17   -2.203449e-23   -7.095851e-19
    3.600000e-01    8.426981e-01    2.914769e-02    1.236070e-12    1.695071e-12    2.027530e-15    7.932160e-15    3.566197e-17   -2.620136e-23   -8.408153e-19
    3.700000e-01    8.426981e-01    2.914769e-02    1.757911e-12    1.709889e-12    2.884151e-15    7.901880e-15    3.596174e-17   -3.115318e-23   -9.961424e-19
    3.800000e-01    8.426981e-01    2.914770e-02    2.499831e-12    1.730961e-12    4.102358e-15    7.872047e-15    3.610044e-17   -3.703678e-23   -1.179932e-18
    3.900000e-01    8.426981e-01    2.914771e-02    3.554518e-12    1.760925e-12    5.834613e-15    7.842672e-15    3.605032e-17   -4.402612e-23   -1.397319e-18
    4.000000e-01    8.426981e-01    2.914772e-02    5.053629e-12    1.803528e-12    8.297571e-15    7.813773e-15    3.577877e-17   -5.232711e-23   -1.654339e-18
    4.100000e-01    8.426981e-01    2.914774e-02    7.184127e-12    1.864096e-12    1.179905e-14    7.785369e-15    3.524755e-17   -6.218335e-23   -1.958074e-18
    4.200000e-01    8.426981e-01    2.914776e-02    1.021144e-11    1.950191e-12    1.677634e-14    7.757486e-15    3.441195e-17   -7.388281e-23   -2.316825e-18
    4.300000e-01    8.426981e-01    2.914780e-02    1.451228e-11    2.072556e-12    2.385043e-14    7.730154e-15    3.321978e-17   -8.776556e-23   -2.740305e-18
    4.400000e-01    8.426981e-01    2.914785e-02    2.062110e-11    2.246445e-12    3.390309e-14    7.703409e-15    3.161029e-17   -1.042329e-22   -3.239868e-18
    4.500000e-01    8.426981e-01    2.914792e-02    2.929583e-11    2.493505e-12    4.818587e-14    7.677294e-15    2.951296e-17   -1.237578e-22   -3.828761e-18
    4.600000e-01    8.426981e-01    2.914802e-02    4.161075e-11    2.844458e-12    6.847464e-14    7.651862e-15    2.684608e-17   -1.468972e-22   -4.522423e-18
    4.700000e-01    8.426981e-01    2.914817e-02    5.908768e-11    3.342875e-12    9.728816e-14    7.627171e-15    2.351519e-17   -1.743062e-22   -5.338824e-18
