# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.378801e+01    6.360226e+02    5.196015e-05    6.435147e+04    4.342048e-09    8.172330e-16    8.545595e-11    2.334667e-11    5.900000e-01    8.404747e-01    2.878194e-02
    3.378788e+01    6.333481e+02    7.285190e-05    9.021669e+04    4.342452e-09    9.635035e-16    1.059201e-10    2.737381e-11    6.000000e-01    8.404747e-01    2.879609e-02
    3.371428e+01    6.302716e+02    1.021051e-04    1.260777e+05    4.345531e-09    1.135609e-15    1.300366e-10    3.209407e-11    6.100000e-01    8.404747e-01    2.881588e-02
    3.357666e+01    6.267624e+02    1.429526e-04    1.755441e+05    4.351745e-09    1.338117e-15    1.584655e-10    3.762682e-11    6.200000e-01    8.404747e-01    2.884348e-02
    3.338067e+01    6.228005e+02    1.998071e-04    2.433756e+05    4.361632e-09    1.576406e-15    1.919794e-10    4.411012e-11    6.300000e-01    8.404747e-01    2.888181e-02
    3.312941e+01    6.183851e+02    2.786492e-04    3.357625e+05    4.375820e-09    1.856790e-15    2.314739e-10    5.170240e-11    6.400000e-01    8.404747e-01    2.893481e-02
    3.282451e+01    6.135432e+02    3.875223e-04    4.606311e+05    4.395030e-09    2.186666e-15    2.779786e-10    6.058390e-11    6.500000e-01    8.404747e-01    2.900772e-02
    3.246691e+01    6.083379e+02    5.371510e-04    6.279531e+05    4.420082e-09    2.574672e-15    3.326639e-10    7.095770e-11    6.600000e-01    8.404747e-01    2.910737e-02
    3.205759e+01    6.028785e+02    7.417040e-04    8.500333e+05    4.451903e-09    3.030845e-15    3.968454e-10    8.304980e-11    6.700000e-01    8.404747e-01    2.924263e-02
    3.159831e+01    5.973294e+02    1.019712e-03    1.141742e+06    4.491520e-09    3.566802e-15    4.719830e-10    9.710845e-11    6.800000e-01    8.404747e-01    2.942466e-02
    3.109185e+01    5.919128e+02    1.395167e-03    1.520657e+06    4.540060e-09    4.195903e-15    5.596725e-10    1.134020e-10    6.900000e-01    8.404747e-01    2.966736e-02
    3.054226e+01    5.869079e+02    1.898804e-03    2.007071e+06    4.598737e-09    4.933418e-15    6.616270e-10    1.322145e-10    7.000000e-01    8.404747e-01    2.998749e-02
    2.995463e+01    5.826380e+02    2.569581e-03    2.623849e+06    4.668825e-09    5.796675e-15    7.796440e-10    1.538395e-10    7.100000e-01    8.404747e-01    3.040473e-02
