# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 4 um (4000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.371767e+01    6.680639e+02    6.764615e-05    7.304505e+04    4.969698e-09    1.158069e-15    1.295094e-10    3.297498e-11    6.000000e-01    8.387947e-01    2.850068e-02
    3.364540e+01    6.647080e+02    9.474325e-05    1.019919e+05    4.974260e-09    1.364588e-15    1.585409e-10    3.865487e-11    6.100000e-01    8.387947e-01    2.852171e-02
    3.350576e+01    6.608880e+02    1.325532e-04    1.418650e+05    4.982584e-09    1.607553e-15    1.927604e-10    4.531104e-11    6.200000e-01    8.387947e-01    2.855101e-02
    3.330508e+01    6.565864e+02    1.851363e-04    1.964534e+05    4.995314e-09    1.893400e-15    2.330921e-10    5.310825e-11    6.300000e-01    8.387947e-01    2.859166e-02
    3.304705e+01    6.518086e+02    2.579858e-04    2.706662e+05    5.013195e-09    2.229682e-15    2.806041e-10    6.223515e-11    6.400000e-01    8.387947e-01    2.864781e-02
    3.273378e+01    6.465908e+02    3.584750e-04    3.707621e+05    5.037090e-09    2.625234e-15    3.365199e-10    7.290560e-11    6.500000e-01    8.387947e-01    2.872493e-02
    3.236664e+01    6.410098e+02    4.964139e-04    5.045777e+05    5.067965e-09    3.090357e-15    4.022255e-10    8.535960e-11    6.600000e-01    8.387947e-01    2.883019e-02
    3.194716e+01    6.351939e+02    6.847315e-04    6.817332e+05    5.106910e-09    3.637005e-15    4.792727e-10    9.986330e-11    6.700000e-01    8.387947e-01    2.897278e-02
    3.147756e+01    6.293309e+02    9.402965e-04    9.137882e+05    5.155140e-09    4.278983e-15    5.693755e-10    1.167075e-10    6.800000e-01    8.387947e-01    2.916429e-02
    3.096112e+01    6.236705e+02    1.284893e-03    1.214327e+06    5.213965e-09    5.032140e-15    6.743970e-10    1.362049e-10    6.900000e-01    8.387947e-01    2.941899e-02
    3.040234e+01    6.185202e+02    1.746354e-03    1.598938e+06    5.284790e-09    5.914545e-15    7.963245e-10    1.586838e-10    7.000000e-01    8.387947e-01    2.975405e-02
    2.980659e+01    6.142295e+02    2.359873e-03    2.085066e+06    5.369095e-09    6.946645e-15    9.372285e-10    1.844805e-10    7.100000e-01    8.387947e-01    3.018947e-02
    2.917963e+01    6.111674e+02    3.169476e-03    2.691725e+06    5.468355e-09    8.151365e-15    1.099198e-09    2.139268e-10    7.200000e-01    8.387947e-01    3.074781e-02
    2.852671e+01    6.096848e+02    4.229661e-03    3.438983e+06    5.584025e-09    9.554155e-15    1.284256e-09    2.473340e-10    7.300000e-01    8.387947e-01    3.145358e-02
    2.785198e+01    6.100805e+02    5.607115e-03    4.347244e+06    5.717440e-09    1.118293e-14    1.494250e-09    2.849726e-10    7.400000e-01    8.387947e-01    3.233234e-02
