# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: ss
# Temperature: 25 C
# W = 2.0 um
# L = 0.28 um (280 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    7.299125e-01    4.844715e-02    5.348937e-13    1.679282e-12    1.509984e-14    7.833208e-16   -3.015775e-18    2.836235e-20   -3.017906e-19
    1.000000e-02    7.299125e-01    4.844715e-02    7.058946e-13    1.684631e-12    1.992718e-14    7.785996e-16   -3.208489e-18    3.119491e-20   -3.299958e-19
    2.000000e-02    7.299125e-01    4.844715e-02    9.315598e-13    1.693582e-12    2.629771e-14    7.739813e-16   -3.419793e-18    3.429435e-20   -3.607405e-19
    3.000000e-02    7.299125e-01    4.844716e-02    1.229362e-12    1.704318e-12    3.470472e-14    7.694644e-16   -3.651291e-18    3.768428e-20   -3.942442e-19
    4.000000e-02    7.299125e-01    4.844716e-02    1.622360e-12    1.718487e-12    4.579916e-14    7.650480e-16   -3.904728e-18    4.139040e-20   -4.307451e-19
    5.000000e-02    7.299125e-01    4.844716e-02    2.140979e-12    1.737184e-12    6.044001e-14    7.607312e-16   -4.182011e-18    4.544079e-20   -4.705026e-19
    6.000000e-02    7.299125e-01    4.844716e-02    2.824993e-12    1.761857e-12    7.975977e-14    7.564223e-16   -4.393924e-18    4.986596e-20   -5.137975e-19
    7.000000e-02    7.299125e-01    4.844716e-02    3.727198e-12    1.794410e-12    1.052499e-13    7.521822e-16   -4.603625e-18    5.469897e-20   -5.609321e-19
    8.000000e-02    7.299125e-01    4.844716e-02    4.917279e-12    1.837359e-12    1.388792e-13    7.480426e-16   -4.845326e-18    5.997661e-20   -6.122415e-19
    9.000000e-02    7.299125e-01    4.844716e-02    6.487001e-12    1.894020e-12    1.832441e-13    7.440036e-16   -5.121721e-18    6.573948e-20   -6.680921e-19
    1.000000e-01    7.299125e-01    4.844716e-02    8.557351e-12    1.968767e-12    2.417683e-13    7.400654e-16   -5.435793e-18    7.203239e-20   -7.288857e-19
    1.100000e-01    7.299125e-01    4.844716e-02    1.128783e-11    2.067366e-12    3.189664e-13    7.362289e-16   -5.790845e-18    7.890500e-20   -7.950629e-19
    1.200000e-01    7.299125e-01    4.844716e-02    1.488869e-11    2.197422e-12    4.207905e-13    7.324951e-16   -6.190547e-18    8.641238e-20   -8.671075e-19
    1.300000e-01    7.299125e-01    4.844717e-02    1.963707e-11    2.368961e-12    5.550879e-13    7.288655e-16   -6.638977e-18    9.461574e-20   -9.455513e-19
    1.400000e-01    7.299125e-01    4.844717e-02    2.589823e-11    2.595201e-12    7.322031e-13    7.253419e-16   -7.140675e-18    1.035832e-19   -1.030979e-18
    1.500000e-01    7.299125e-01    4.844718e-02    3.415354e-11    2.893566e-12    9.657717e-13    7.219267e-16   -7.700699e-18    1.133905e-19   -1.124034e-18
    1.600000e-01    7.299125e-01    4.844719e-02    4.503729e-11    3.287024e-12    1.273765e-12    7.186228e-16   -8.324681e-18    1.241223e-19   -1.225423e-18
    1.700000e-01    7.299125e-01    4.844720e-02    5.938522e-11    3.805848e-12    1.679867e-12    7.154336e-16   -9.018897e-18    1.358726e-19   -1.335925e-18
    1.800000e-01    7.299125e-01    4.844721e-02    7.829832e-11    4.489931e-12    2.215285e-12    7.123633e-16   -9.790332e-18    1.487462e-19   -1.456394e-18
    1.900000e-01    7.299125e-01    4.844723e-02    1.032268e-10    5.391846e-12    2.921137e-12    7.094165e-16   -1.064676e-17    1.628599e-19   -1.587770e-18
    2.000000e-01    7.299125e-01    4.844725e-02    1.360807e-10    6.580860e-12    3.851588e-12    7.065987e-16   -1.159680e-17    1.783431e-19   -1.731083e-18
    2.100000e-01    7.299125e-01    4.844728e-02    1.793749e-10    8.148228e-12    5.077982e-12    7.039162e-16   -1.265004e-17    1.953398e-19   -1.887462e-18
    2.200000e-01    7.299125e-01    4.844732e-02    2.364208e-10    1.021415e-11    6.694272e-12    7.013762e-16   -1.381707e-17    2.140096e-19   -2.058143e-18
    2.300000e-01    7.299125e-01    4.844737e-02    3.115764e-10    1.293695e-11    8.824162e-12    6.989868e-16   -1.510961e-17    2.345288e-19   -2.244474e-18
    2.400000e-01    7.299125e-01    4.844744e-02    4.105773e-10    1.652509e-11    1.163049e-11    6.967570e-16   -1.654059e-17    2.570923e-19   -2.447927e-18
    2.500000e-01    7.299125e-01    4.844754e-02    5.409688e-10    2.125304e-11    1.532756e-11    6.946971e-16   -1.812424e-17    2.819149e-19   -2.670104e-18
    2.600000e-01    7.299125e-01    4.844766e-02    7.126747e-10    2.748206e-11    2.019734e-11    6.928183e-16   -1.987617e-17    3.092328e-19   -2.912747e-18
    2.700000e-01    7.299125e-01    4.844782e-02    9.387422e-10    3.568757e-11    2.661067e-11    6.911334e-16   -2.181353e-17    3.393051e-19   -3.177743e-18
    2.800000e-01    7.299125e-01    4.844803e-02    1.236319e-09    4.649505e-11    3.505518e-11    6.896563e-16   -2.395504e-17    3.724159e-19   -3.467134e-18
    2.900000e-01    7.299125e-01    4.844831e-02    1.627931e-09    6.072712e-11    4.617174e-11    6.884023e-16   -2.632115e-17    4.088752e-19   -3.783125e-18
    3.000000e-01    7.299125e-01    4.844867e-02    2.143156e-09    7.946535e-11    6.080228e-11    6.873883e-16   -2.893410e-17    4.490215e-19   -4.128091e-18
    3.100000e-01    7.299125e-01    4.844915e-02    2.820808e-09    1.041312e-10    8.005230e-11    6.866328e-16   -3.181806e-17    4.932227e-19   -4.504586e-18
    3.200000e-01    7.299125e-01    4.844979e-02    3.711787e-09    1.365920e-10    1.053725e-10    6.861560e-16   -3.499923e-17    5.418782e-19   -4.915345e-18
