# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 25C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.664384e+01    5.788180e+02    8.226005e-05    9.178160e+04    3.800585e-09    1.255898e-15    1.181388e-10    2.859873e-11    4.800000e-01    7.697612e-01    3.734442e-02
    2.661746e+01    5.771107e+02    1.073636e-04    1.196508e+05    3.801265e-09    1.428757e-15    1.369731e-10    3.240314e-11    4.900000e-01    7.697612e-01    3.736202e-02
    2.656468e+01    5.752319e+02    1.400721e-04    1.556845e+05    3.803916e-09    1.625311e-15    1.584685e-10    3.671300e-11    5.000000e-01    7.697612e-01    3.738492e-02
    2.648796e+01    5.731784e+02    1.826268e-04    2.021372e+05    3.808789e-09    1.848815e-15    1.829878e-10    4.159309e-11    5.100000e-01    7.697612e-01    3.741468e-02
    2.638894e+01    5.709510e+02    2.379005e-04    2.618245e+05    3.816165e-09    2.102956e-15    2.109346e-10    4.711505e-11    5.200000e-01    7.697612e-01    3.745328e-02
    2.626872e+01    5.685592e+02    3.095634e-04    3.382388e+05    3.826356e-09    2.391904e-15    2.427568e-10    5.335770e-11    5.300000e-01    7.697612e-01    3.750321e-02
    2.612797e+01    5.660211e+02    4.022880e-04    4.356773e+05    3.839706e-09    2.720364e-15    2.789473e-10    6.040710e-11    5.400000e-01    7.697612e-01    3.756763e-02
    2.596717e+01    5.633682e+02    5.219990e-04    5.593844e+05    3.856595e-09    3.093634e-15    3.200456e-10    6.835675e-11    5.500000e-01    7.697612e-01    3.765050e-02
    2.578671e+01    5.606454e+02    6.761775e-04    7.157025e+05    3.877432e-09    3.517656e-15    3.666375e-10    7.730735e-11    5.600000e-01    7.697612e-01    3.775674e-02
    2.558701e+01    5.579169e+02    8.742315e-04    9.122317e+05    3.902662e-09    3.999080e-15    4.193540e-10    8.736615e-11    5.700000e-01    7.697612e-01    3.789242e-02
    2.536873e+01    5.552666e+02    1.127935e-03    1.157992e+06    3.932759e-09    4.545319e-15    4.788681e-10    9.864650e-11    5.800000e-01    7.697612e-01    3.806495e-02
    2.513266e+01    5.527997e+02    1.451961e-03    1.463582e+06    3.968225e-09    5.164605e-15    5.458890e-10    1.112663e-10    5.900000e-01    7.697612e-01    3.828325e-02
    2.487988e+01    5.506443e+02    1.864505e-03    1.841334e+06    4.009584e-09    5.866035e-15    6.211555e-10    1.253466e-10    6.000000e-01    7.697612e-01    3.855799e-02
    2.461158e+01    5.489485e+02    2.388032e-03    2.305447e+06    4.057371e-09    6.659625e-15    7.054220e-10    1.410089e-10    6.100000e-01    7.697612e-01    3.890165e-02
    2.432906e+01    5.478770e+02    3.050144e-03    2.872098e+06    4.112128e-09    7.556330e-15    7.994455e-10    1.583726e-10    6.200000e-01    7.697612e-01    3.932869e-02
