# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 25C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.641669e+01    7.363459e+02    5.374470e-05    3.225018e+04    7.006515e-09    2.713936e-15    2.647476e-10    6.241550e-11    4.800000e-01    7.630079e-01    3.573296e-02
    2.641261e+01    7.339568e+02    6.999510e-05    4.195941e+04    7.012450e-09    3.085569e-15    3.058338e-10    7.068015e-11    4.900000e-01    7.630079e-01    3.575420e-02
    2.637335e+01    7.313434e+02    9.113890e-05    5.447433e+04    7.022590e-09    3.507926e-15    3.526642e-10    8.003130e-11    5.000000e-01    7.630079e-01    3.578179e-02
    2.630309e+01    7.285077e+02    1.186045e-04    7.055247e+04    7.037455e-09    3.987902e-15    4.059967e-10    9.060385e-11    5.100000e-01    7.630079e-01    3.581758e-02
    2.620492e+01    7.254605e+02    1.542167e-04    9.113301e+04    7.057625e-09    4.533287e-15    4.666689e-10    1.025457e-10    5.200000e-01    7.630079e-01    3.586388e-02
    2.608103e+01    7.222245e+02    2.002991e-04    1.173708e+05    7.083755e-09    5.152855e-15    5.356015e-10    1.160181e-10    5.300000e-01    7.630079e-01    3.592363e-02
    2.593308e+01    7.188392e+02    2.597979e-04    1.506750e+05    7.116535e-09    5.856475e-15    6.137985e-10    1.311957e-10    5.400000e-01    7.630079e-01    3.600051e-02
    2.576239e+01    7.153621e+02    3.364341e-04    1.927488e+05    7.156730e-09    6.655195e-15    7.023480e-10    1.482657e-10    5.500000e-01    7.630079e-01    3.609908e-02
    2.557008e+01    7.118741e+02    4.348862e-04    2.456314e+05    7.205165e-09    7.561365e-15    8.024170e-10    1.674275e-10    5.600000e-01    7.630079e-01    3.622498e-02
    2.535727e+01    7.084810e+02    5.610110e-04    3.117425e+05    7.262700e-09    8.588715e-15    9.152470e-10    1.888902e-10    5.700000e-01    7.630079e-01    3.638510e-02
    2.512526e+01    7.053184e+02    7.221050e-04    3.939227e+05    7.330270e-09    9.752480e-15    1.042141e-09    2.128709e-10    5.800000e-01    7.630079e-01    3.658775e-02
    2.487536e+01    7.025493e+02    9.272195e-04    4.954764e+05    7.408820e-09    1.106947e-14    1.184447e-09    2.395910e-10    5.900000e-01    7.630079e-01    3.684283e-02
    2.460908e+01    7.003642e+02    1.187527e-03    6.202073e+05    7.499320e-09    1.255812e-14    1.343537e-09    2.692715e-10    6.000000e-01    7.630079e-01    3.716199e-02
    2.432792e+01    6.989754e+02    1.516753e-03    7.724473e+05    7.602755e-09    1.423860e-14    1.520778e-09    3.021272e-10    6.100000e-01    7.630079e-01    3.755869e-02
    2.403321e+01    6.986078e+02    1.931680e-03    9.570762e+05    7.720060e-09    1.613277e-14    1.717488e-09    3.383598e-10    6.200000e-01    7.630079e-01    3.804820e-02
    2.372585e+01    6.994873e+02    2.452721e-03    1.179514e+06    7.852125e-09    1.826419e-14    1.934898e-09    3.781494e-10    6.300000e-01    7.630079e-01    3.864751e-02
    2.340611e+01    7.018246e+02    3.104555e-03    1.445683e+06    7.999735e-09    2.065808e-14    2.174090e-09    4.216445e-10    6.400000e-01    7.630079e-01    3.937507e-02
    2.307330e+01    7.057956e+02    3.916823e-03    1.761917e+06    8.163540e-09    2.334119e-14    2.435943e-09    4.689521e-10    6.500000e-01    7.630079e-01    4.025040e-02
    2.272579e+01    7.115241e+02    4.924839e-03    2.134798e+06    8.344000e-09    2.634160e-14    2.721059e-09    5.201260e-10    6.600000e-01    7.630079e-01    4.129360e-02
    2.236094e+01    7.190647e+02    6.170270e-03    2.570919e+06    8.541340e-09    2.968849e-14    3.029701e-09    5.751555e-10    6.700000e-01    7.630079e-01    4.252466e-02
    2.197548e+01    7.283931e+02    7.701735e-03    3.076564e+06    8.755505e-09    3.341189e-14    3.361725e-09    6.339570e-10    6.800000e-01    7.630079e-01    4.396274e-02
    2.156596e+01    7.393997e+02    9.575195e-03    3.657338e+06    8.986105e-09    3.754223e-14    3.716520e-09    6.963635e-10    6.900000e-01    7.630079e-01    4.562544e-02
    2.112928e+01    7.518955e+02    1.185414e-02    4.317772e+06    9.232410e-09    4.210996e-14    4.092968e-09    7.621210e-10    7.000000e-01    7.630079e-01    4.752805e-02
    2.066330e+01    7.656231e+02    1.460942e-02    5.060992e+06    9.493300e-09    4.714504e-14    4.489413e-09    8.308860e-10    7.100000e-01    7.630079e-01    4.968301e-02
    2.016739e+01    7.802765e+02    1.791873e-02    5.888480e+06    9.767280e-09    5.267650e-14    4.903667e-09    9.022275e-10    7.200000e-01    7.630079e-01    5.209947e-02
    1.964256e+01    7.955215e+02    2.186573e-02    6.799987e+06    1.005250e-08    5.873185e-14    5.333035e-09    9.756365e-10    7.300000e-01    7.630079e-01    5.478304e-02
    1.909156e+01    8.110203e+02    2.653893e-02    7.793621e+06    1.034679e-08    6.533665e-14    5.774380e-09    1.050539e-09    7.400000e-01    7.630079e-01    5.773583e-02
