# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: ss
# Temperature: 85 C
# W = 2.0 um
# L = 1 um (1000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    7.263446e-01    5.265260e-02    1.526308e-12    1.726112e-12    4.718080e-15    2.939885e-15   -4.364320e-18   -1.011266e-23   -2.467769e-19
    1.000000e-02    7.263446e-01    5.265260e-02    1.922278e-12    1.741375e-12    5.943220e-15    2.925571e-15   -4.010140e-18   -1.134148e-23   -2.759677e-19
    2.000000e-02    7.263446e-01    5.265260e-02    2.420860e-12    1.764899e-12    7.486160e-15    2.911470e-15   -3.677453e-18   -1.271912e-23   -3.085781e-19
    3.000000e-02    7.263446e-01    5.265260e-02    3.048612e-12    1.792127e-12    9.429244e-15    2.897577e-15   -3.368115e-18   -1.426352e-23   -3.450019e-19
    4.000000e-02    7.263446e-01    5.265261e-02    3.838955e-12    1.826413e-12    1.187612e-14    2.883891e-15   -3.084203e-18   -1.599472e-23   -3.856767e-19
    5.000000e-02    7.263446e-01    5.265261e-02    4.833945e-12    1.869588e-12    1.495727e-14    2.870408e-15   -2.828041e-18   -1.793517e-23   -4.310885e-19
    6.000000e-02    7.263446e-01    5.265262e-02    6.086498e-12    1.923950e-12    1.883689e-14    2.857126e-15   -2.602222e-18   -2.010996e-23   -4.817769e-19
    7.000000e-02    7.263446e-01    5.265263e-02    7.663189e-12    1.992398e-12    2.372163e-14    2.844043e-15   -2.409630e-18   -2.254717e-23   -5.383406e-19
    8.000000e-02    7.263446e-01    5.265264e-02    9.647774e-12    2.078574e-12    2.987158e-14    2.831157e-15   -2.253474e-18   -2.527815e-23   -6.014433e-19
    9.000000e-02    7.263446e-01    5.265265e-02    1.214561e-11    2.187064e-12    3.761399e-14    2.818468e-15   -2.137315e-18   -2.833799e-23   -6.718203e-19
    1.000000e-01    7.263446e-01    5.265267e-02    1.528920e-11    2.323638e-12    4.736060e-14    2.805974e-15   -2.065099e-18   -3.176584e-23   -7.502859e-19
    1.100000e-01    7.263446e-01    5.265269e-02    1.924519e-11    2.495555e-12    5.962948e-14    2.793675e-15   -2.041191e-18   -3.560544e-23   -8.377409e-19
    1.200000e-01    7.263446e-01    5.265272e-02    2.422315e-11    2.711947e-12    7.507231e-14    2.781570e-15   -2.070415e-18   -3.990563e-23   -9.351816e-19
    1.300000e-01    7.263446e-01    5.265275e-02    3.048655e-11    2.984302e-12    9.450885e-14    2.769660e-15   -2.158095e-18   -4.472087e-23   -1.043709e-18
    1.400000e-01    7.263446e-01    5.265280e-02    3.836662e-11    3.327066e-12    1.189701e-13    2.757946e-15   -2.310102e-18   -5.011194e-23   -1.164541e-18
    1.500000e-01    7.263446e-01    5.265285e-02    4.827967e-11    3.758409e-12    1.497528e-13    2.746429e-15   -2.532900e-18   -5.614655e-23   -1.299020e-18
    1.600000e-01    7.263446e-01    5.265292e-02    6.074890e-11    4.301178e-12    1.884872e-13    2.735111e-15   -2.833609e-18   -6.290020e-23   -1.448630e-18
    1.700000e-01    7.263446e-01    5.265300e-02    7.643170e-11    4.984096e-12    2.372233e-13    2.723995e-15   -3.220068e-18   -7.045694e-23   -1.615010e-18
    1.800000e-01    7.263446e-01    5.265311e-02    9.615389e-11    5.843273e-12    2.985377e-13    2.713083e-15   -3.700905e-18   -7.891036e-23   -1.799969e-18
    1.900000e-01    7.263446e-01    5.265325e-02    1.209527e-10    6.924092e-12    3.756690e-13    2.702380e-15   -4.285628e-18   -8.836460e-23   -2.005507e-18
    2.000000e-01    7.263446e-01    5.265342e-02    1.521303e-10    8.283584e-12    4.726871e-13    2.691889e-15   -4.984723e-18   -9.893551e-23   -2.233835e-18
    2.100000e-01    7.263446e-01    5.265363e-02    1.913215e-10    9.993403e-12    5.947050e-13    2.681617e-15   -5.809776e-18   -1.107519e-22   -2.487398e-18
    2.200000e-01    7.263446e-01    5.265390e-02    2.405777e-10    1.214356e-11    7.481452e-13    2.671570e-15   -6.773608e-18   -1.239570e-22   -2.768905e-18
    2.300000e-01    7.263446e-01    5.265424e-02    3.024724e-10    1.484708e-11    9.410732e-13    2.661755e-15   -7.890445e-18   -1.387100e-22   -3.081362e-18
    2.400000e-01    7.263446e-01    5.265467e-02    3.802327e-10    1.824588e-11    1.183615e-12    2.652180e-15   -9.176114e-18   -1.551877e-22   -3.428104e-18
    2.500000e-01    7.263446e-01    5.265520e-02    4.779037e-10    2.251809e-11    1.488478e-12    2.642857e-15   -1.064827e-17   -1.735868e-22   -3.812843e-18
    2.600000e-01    7.263446e-01    5.265588e-02    6.005536e-10    2.788720e-11    1.871610e-12    2.633796e-15   -1.232667e-17   -1.941259e-22   -4.239711e-18
    2.700000e-01    7.263446e-01    5.265672e-02    7.545293e-10    3.463356e-11    2.353007e-12    2.625010e-15   -1.423348e-17   -2.170477e-22   -4.713315e-18
    2.800000e-01    7.263446e-01    5.265778e-02    9.477742e-10    4.310866e-11    2.957744e-12    2.616515e-15   -1.639362e-17   -2.426225e-22   -5.238800e-18
    2.900000e-01    7.263446e-01    5.265912e-02    1.190224e-09    5.375304e-11    3.717238e-12    2.608328e-15   -1.883518e-17   -2.711510e-22   -5.821914e-18
    3.000000e-01    7.263446e-01    5.266079e-02    1.494297e-09    6.711853e-11    4.670844e-12    2.600470e-15   -2.158988e-17   -3.029677e-22   -6.469084e-18
    3.100000e-01    7.263446e-01    5.266289e-02    1.875505e-09    8.389607e-11    5.867821e-12    2.592963e-15   -2.469354e-17   -3.384454e-22   -7.187499e-18
