# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: typical
# Temperature: -40 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    7.380062e-01    3.007918e-02    1.378854e-16    1.660004e-12    2.412404e-19    7.549189e-15    3.454569e-18   -2.130343e-25   -7.032051e-21
    1.000000e-02    7.380062e-01    3.007918e-02    1.974133e-16    1.660005e-12    3.454507e-19    7.510818e-15    4.771098e-18   -2.543165e-25   -8.369843e-21
    2.000000e-02    7.380062e-01    3.007918e-02    2.826226e-16    1.660008e-12    4.946457e-19    7.473002e-15    6.072810e-18   -3.035885e-25   -9.961724e-21
    3.000000e-02    7.380062e-01    3.007918e-02    4.045846e-16    1.660011e-12    7.082303e-19    7.435727e-15    7.359739e-18   -3.623948e-25   -1.185587e-20
    4.000000e-02    7.380062e-01    3.007918e-02    5.791403e-16    1.660016e-12    1.013974e-18    7.398982e-15    8.631863e-18   -4.325780e-25   -1.410958e-20
    5.000000e-02    7.380062e-01    3.007918e-02    8.289536e-16    1.660023e-12    1.451614e-18    7.362754e-15    9.889090e-18   -5.163360e-25   -1.679097e-20
    6.000000e-02    7.380062e-01    3.007918e-02    1.186448e-15    1.660033e-12    2.078010e-18    7.327032e-15    1.113125e-17   -6.162912e-25   -1.998107e-20
    7.000000e-02    7.380062e-01    3.007918e-02    1.698005e-15    1.660047e-12    2.974514e-18    7.291805e-15    1.235809e-17   -7.355716e-25   -2.377619e-20
    8.000000e-02    7.380062e-01    3.007918e-02    2.429971e-15    1.660068e-12    4.257517e-18    7.257062e-15    1.356923e-17   -8.779082e-25   -2.829087e-20
    9.000000e-02    7.380062e-01    3.007918e-02    3.477244e-15    1.660097e-12    6.093526e-18    7.222794e-15    1.476418e-17   -1.047752e-24   -3.366125e-20
    1.000000e-01    7.380062e-01    3.007918e-02    4.975548e-15    1.660139e-12    8.720731e-18    7.188989e-15    1.594230e-17   -1.250410e-24   -4.004918e-20
