# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: typical
# Temperature: -40 C
# W = 2.0 um
# L = 5 um (5000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    7.285585e-01    2.843898e-02    9.769379e-17    1.660003e-12    1.279562e-19    1.510873e-14    9.406505e-18   -6.100126e-25   -2.040886e-20
    1.000000e-02    7.285585e-01    2.843898e-02    1.398618e-16    1.660004e-12    1.832193e-19    1.503345e-14    1.202339e-17   -7.274092e-25   -2.426474e-20
    2.000000e-02    7.285585e-01    2.843898e-02    2.002181e-16    1.660006e-12    2.623332e-19    1.495924e-14    1.461020e-17   -8.673704e-25   -2.884789e-20
    3.000000e-02    7.285585e-01    2.843898e-02    2.866022e-16    1.660008e-12    3.755842e-19    1.488608e-14    1.716674e-17   -1.034228e-24   -3.429526e-20
    4.000000e-02    7.285585e-01    2.843898e-02    4.102303e-16    1.660011e-12    5.376919e-19    1.481393e-14    1.969271e-17   -1.233142e-24   -4.076950e-20
    5.000000e-02    7.285585e-01    2.843898e-02    5.871485e-16    1.660016e-12    7.697180e-19    1.474278e-14    2.218758e-17   -1.470266e-24   -4.846381e-20
    6.000000e-02    7.285585e-01    2.843898e-02    8.403109e-16    1.660023e-12    1.101798e-18    1.467261e-14    2.465065e-17   -1.752927e-24   -5.760767e-20
    7.000000e-02    7.285585e-01    2.843898e-02    1.202552e-15    1.660034e-12    1.577045e-18    1.460340e-14    2.708093e-17   -2.089858e-24   -6.847360e-20
    8.000000e-02    7.285585e-01    2.843898e-02    1.720837e-15    1.660048e-12    2.257138e-18    1.453512e-14    2.947717e-17   -2.491464e-24   -8.138523e-20
    9.000000e-02    7.285585e-01    2.843898e-02    2.462335e-15    1.660069e-12    3.230308e-18    1.446775e-14    3.183774e-17   -2.970141e-24   -9.672686e-20
    1.000000e-01    7.285585e-01    2.843898e-02    3.523109e-15    1.660098e-12    4.622764e-18    1.440129e-14    3.416063e-17   -3.540657e-24   -1.149547e-19
    1.100000e-01    7.285585e-01    2.843898e-02    5.040535e-15    1.660141e-12    6.615021e-18    1.433571e-14    3.644332e-17   -4.220601e-24   -1.366105e-19
    1.200000e-01    7.285585e-01    2.843898e-02    7.211048e-15    1.660201e-12    9.465257e-18    1.427099e-14    3.868272e-17   -5.030928e-24   -1.623370e-19
    1.300000e-01    7.285585e-01    2.843898e-02    1.031552e-14    1.660288e-12    1.354269e-17    1.420713e-14    4.087505e-17   -5.996594e-24   -1.928974e-19
    1.400000e-01    7.285585e-01    2.843898e-02    1.475554e-14    1.660412e-12    1.937533e-17    1.414410e-14    4.301573e-17   -7.147321e-24   -2.291970e-19
    1.500000e-01    7.285585e-01    2.843898e-02    2.110520e-14    1.660589e-12    2.771815e-17    1.408189e-14    4.509922e-17   -8.518499e-24   -2.723100e-19
    1.600000e-01    7.285585e-01    2.843898e-02    3.018520e-14    1.660843e-12    3.965065e-17    1.402050e-14    4.711881e-17   -1.015227e-23   -3.235104e-19
    1.700000e-01    7.285585e-01    2.843898e-02    4.316866e-14    1.661206e-12    5.671620e-17    1.395991e-14    4.906647e-17   -1.209880e-23   -3.843091e-19
    1.800000e-01    7.285585e-01    2.843898e-02    6.173228e-14    1.661725e-12    8.112118e-17    1.390011e-14    5.093256e-17   -1.441779e-23   -4.564971e-19
    1.900000e-01    7.285585e-01    2.843898e-02    8.827238e-14    1.662467e-12    1.160196e-16    1.384110e-14    5.270553e-17   -1.718033e-23   -5.421968e-19
    2.000000e-01    7.285585e-01    2.843898e-02    1.262134e-13    1.663528e-12    1.659197e-16    1.378287e-14    5.437159e-17   -2.047096e-23   -6.439226e-19
    2.100000e-01    7.285585e-01    2.843898e-02    1.804483e-13    1.665046e-12    2.372648e-16    1.372541e-14    5.591431e-17   -2.439028e-23   -7.646515e-19
    2.200000e-01    7.285585e-01    2.843898e-02    2.579684e-13    1.667215e-12    3.392634e-16    1.366874e-14    5.731410e-17   -2.905790e-23   -9.079066e-19
    2.300000e-01    7.285585e-01    2.843898e-02    3.687608e-13    1.670315e-12    4.850740e-16    1.361284e-14    5.854769e-17   -3.461604e-23   -1.077855e-18
    2.400000e-01    7.285585e-01    2.843898e-02    5.270918e-13    1.674748e-12    6.934981e-16    1.355773e-14    5.958747e-17   -4.123374e-23   -1.279422e-18
    2.500000e-01    7.285585e-01    2.843899e-02    7.533364e-13    1.681083e-12    9.913971e-16    1.350342e-14    6.040072e-17   -4.911177e-23   -1.518423e-18
    2.600000e-01    7.285585e-01    2.843899e-02    1.076591e-12    1.690137e-12    1.417143e-15    1.344992e-14    6.094873e-17   -5.848856e-23   -1.801722e-18
    2.700000e-01    7.285585e-01    2.843900e-02    1.538397e-12    1.703075e-12    2.025542e-15    1.339724e-14    6.118582e-17   -6.964705e-23   -2.137407e-18
    2.800000e-01    7.285585e-01    2.843900e-02    2.198057e-12    1.721562e-12    2.894865e-15    1.334543e-14    6.105818e-17   -8.292281e-23   -2.535003e-18
    2.900000e-01    7.285585e-01    2.843902e-02    3.140206e-12    1.747974e-12    4.136875e-15    1.329450e-14    6.050253e-17   -9.871356e-23   -3.005709e-18
    3.000000e-01    7.285585e-01    2.843903e-02    4.485607e-12    1.785705e-12    5.911123e-15    1.324450e-14    5.944467e-17   -1.174903e-22   -3.562675e-18
    3.100000e-01    7.285585e-01    2.843906e-02    6.406519e-12    1.839598e-12    8.445345e-15    1.319548e-14    5.779781e-17   -1.398103e-22   -4.221320e-18
    3.200000e-01    7.285585e-01    2.843909e-02    9.148577e-12    1.916563e-12    1.206451e-14    1.314750e-14    5.546067e-17   -1.663323e-22   -4.999697e-18
    3.300000e-01    7.285585e-01    2.843915e-02    1.306192e-11    2.026459e-12    1.723222e-14    1.310063e-14    5.231540e-17   -1.978343e-22   -5.918905e-18
    3.400000e-01    7.285585e-01    2.843922e-02    1.864539e-11    2.183348e-12    2.460963e-14    1.305495e-14    4.822519e-17   -2.352338e-22   -7.003571e-18
    3.500000e-01    7.285585e-01    2.843932e-02    2.660937e-11    2.407274e-12    3.513927e-14    1.301057e-14    4.303161e-17   -2.796119e-22   -8.282401e-18
    3.600000e-01    7.285585e-01    2.843947e-02    3.796477e-11    2.726800e-12    5.016421e-14    1.296761e-14    3.655151e-17   -3.322411e-22   -9.788821e-18
    3.700000e-01    7.285585e-01    2.843968e-02    5.414911e-11    3.182608e-12    7.159725e-14    1.292620e-14    2.857341e-17   -3.946173e-22   -1.156172e-17
    3.800000e-01    7.285585e-01    2.843998e-02    7.720468e-11    3.832605e-12    1.021609e-13    1.288651e-14    1.885311e-17   -4.684975e-22   -1.364637e-17
    3.900000e-01    7.285585e-01    2.844041e-02    1.100299e-10    4.759152e-12    1.457274e-13    1.284873e-14    7.108328e-18   -5.559438e-22   -1.609544e-17
    4.000000e-01    7.285585e-01    2.844101e-02    1.567326e-10    6.079298e-12    2.077989e-13    1.281307e-14   -6.988103e-18   -6.593753e-22   -1.897038e-17
    4.100000e-01    7.285585e-01    2.844188e-02    2.231260e-10    7.959212e-12    2.961858e-13    1.277980e-14   -2.381693e-17   -7.816291e-22   -2.234295e-17
    4.200000e-01    7.285585e-01    2.844311e-02    3.174216e-10    1.063451e-11    4.219605e-13    1.274923e-14   -4.382360e-17   -9.260333e-22   -2.629720e-17
    4.300000e-01    7.285585e-01    2.844487e-02    4.511916e-10    1.443878e-11    6.007953e-13    1.272171e-14   -6.753237e-17   -1.096494e-21   -3.093187e-17
