# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: typical
# Temperature: -40C
# W = 2.0 um
# L = 0.28 um (280 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.529914e+01    3.337986e+01    2.055273e-04    3.571467e+06    3.233010e-10    4.204441e-13    2.317063e-11    2.811464e-12    3.900000e-01    6.961245e-01    3.788651e-02
    3.528047e+01    3.335960e+01    2.925121e-04    5.061572e+06    3.244987e-10    4.739153e-13    2.626567e-11    3.146672e-12    4.000000e-01    6.961245e-01    3.788878e-02
    3.523769e+01    3.333640e+01    4.161826e-04    7.158909e+06    3.260354e-10    5.342070e-13    2.975712e-11    3.520862e-12    4.100000e-01    6.961245e-01    3.789200e-02
    3.517236e+01    3.330968e+01    5.918190e-04    1.010196e+07    3.279479e-10    6.021105e-13    3.369033e-11    3.938011e-12    4.200000e-01    6.961245e-01    3.789657e-02
    3.508448e+01    3.327880e+01    8.409330e-04    1.421737e+07    3.302763e-10    6.784820e-13    3.811417e-11    4.402332e-12    4.300000e-01    6.961245e-01    3.790305e-02
    3.497284e+01    3.324292e+01    1.193717e-03    1.994921e+07    3.330634e-10    7.642375e-13    4.308091e-11    4.918245e-12    4.400000e-01    6.961245e-01    3.791223e-02
    3.483523e+01    3.320122e+01    1.692393e-03    2.789605e+07    3.363546e-10    8.603520e-13    4.864598e-11    5.490335e-12    4.500000e-01    6.961245e-01    3.792520e-02
    3.466844e+01    3.315260e+01    2.395748e-03    3.885653e+07    3.401979e-10    9.678495e-13    5.486745e-11    6.123300e-12    4.600000e-01    6.961245e-01    3.794349e-02
    3.446858e+01    3.309599e+01    3.385217e-03    5.388408e+07    3.446430e-10    1.087792e-12    6.180540e-11    6.821855e-12    4.700000e-01    6.961245e-01    3.796920e-02
    3.423103e+01    3.303015e+01    4.772915e-03    7.434942e+07    3.497408e-10    1.221266e-12    6.952105e-11    7.590655e-12    4.800000e-01    6.961245e-01    3.800523e-02
    3.395070e+01    3.295378e+01    6.712095e-03    1.020084e+08    3.555420e-10    1.369359e-12    7.807560e-11    8.434165e-12    4.900000e-01    6.961245e-01    3.805552e-02
    3.362213e+01    3.286561e+01    9.410495e-03    1.390699e+08    3.620968e-10    1.533137e-12    8.752840e-11    9.356500e-12    5.000000e-01    6.961245e-01    3.812537e-02
    3.323986e+01    3.276442e+01    1.314696e-02    1.882549e+08    3.694523e-10    1.713607e-12    9.793560e-11    1.036128e-11    5.100000e-01    6.961245e-01    3.822188e-02
    3.279875e+01    3.264920e+01    1.829160e-02    2.528355e+08    3.776513e-10    1.911684e-12    1.093474e-10    1.145139e-11    5.200000e-01    6.961245e-01    3.835433e-02
    3.229441e+01    3.251930e+01    2.532948e-02    3.366397e+08    3.867305e-10    2.128142e-12    1.218060e-10    1.262883e-11    5.300000e-01    6.961245e-01    3.853473e-02
    3.172369e+01    3.237461e+01    3.488730e-02    4.440071e+08    3.967175e-10    2.363570e-12    1.353425e-10    1.389446e-11    5.400000e-01    6.961245e-01    3.877830e-02
    3.108533e+01    3.221579e+01    4.776205e-02    5.796870e+08    4.076289e-10    2.618317e-12    1.499743e-10    1.524779e-11    5.500000e-01    6.961245e-01    3.910383e-02
    3.038021e+01    3.204440e+01    6.495020e-02    7.486738e+08    4.194680e-10    2.892444e-12    1.657020e-10    1.668681e-11    5.600000e-01    6.961245e-01    3.953396e-02
    2.961185e+01    3.186303e+01    8.767510e-02    9.559929e+08    4.322224e-10    3.185679e-12    1.825070e-10    1.820777e-11    5.700000e-01    6.961245e-01    4.009510e-02
    2.878623e+01    3.167537e+01    1.174109e-01    1.206459e+09    4.458622e-10    3.497371e-12    2.003494e-10    1.980515e-11    5.800000e-01    6.961245e-01    4.081693e-02
    2.791165e+01    3.148593e+01    1.558995e-01    1.504432e+09    4.603389e-10    3.826471e-12    2.191664e-10    2.147156e-11    5.900000e-01    6.961245e-01    4.173147e-02
    2.699807e+01    3.129984e+01    2.051608e-01    1.853614e+09    4.755846e-10    4.171516e-12    2.388716e-10    2.319780e-11    6.000000e-01    6.961245e-01    4.287165e-02
    2.605639e+01    3.112234e+01    2.674923e-01    2.256893e+09    4.915128e-10    4.530637e-12    2.593563e-10    2.497302e-11    6.100000e-01    6.961245e-01    4.426952e-02
    2.509757e+01    3.095816e+01    3.454596e-01    2.716246e+09    5.080190e-10    4.901593e-12    2.804904e-10    2.678493e-11    6.200000e-01    6.961245e-01    4.595433e-02
    2.413197e+01    3.081121e+01    4.418762e-01    3.232713e+09    5.249845e-10    5.281815e-12    3.021262e-10    2.862013e-11    6.300000e-01    6.961245e-01    4.795071e-02
    2.316884e+01    3.068409e+01    5.597740e-01    3.806407e+09    5.422780e-10    5.668490e-12    3.241020e-10    3.046449e-11    6.400000e-01    6.961245e-01    5.027726e-02
    2.221605e+01    3.057796e+01    7.023625e-01    4.436561e+09    5.597600e-10    6.058630e-12    3.462474e-10    3.230364e-11    6.500000e-01    6.961245e-01    5.294578e-02
    2.127989e+01    3.049256e+01    8.729840e-01    5.121562e+09    5.772890e-10    6.449170e-12    3.683883e-10    3.412335e-11    6.600000e-01    6.961245e-01    5.596105e-02
    2.036523e+01    3.042640e+01    1.075055e+00    5.859017e+09    5.947235e-10    6.837085e-12    3.903533e-10    3.591007e-11    6.700000e-01    6.961245e-01    5.932118e-02
    1.947555e+01    3.037698e+01    1.312005e+00    6.645773e+09    6.119275e-10    7.219470e-12    4.119783e-10    3.765125e-11    6.800000e-01    6.961245e-01    6.301837e-02
    1.861315e+01    3.034111e+01    1.587213e+00    7.477890e+09    6.287760e-10    7.593625e-12    4.331119e-10    3.933574e-11    6.900000e-01    6.961245e-01    6.703985e-02
    1.777932e+01    3.031515e+01    1.903930e+00    8.350680e+09    6.451555e-10    7.957140e-12    4.536191e-10    4.095402e-11    7.000000e-01    6.961245e-01    7.136882e-02
    1.697469e+01    3.029535e+01    2.265211e+00    9.258696e+09    6.609685e-10    8.307925e-12    4.733841e-10    4.249835e-11    7.100000e-01    6.961245e-01    7.598542e-02
    1.619940e+01    3.027807e+01    2.673841e+00    1.019580e+10    6.761350e-10    8.644275e-12    4.923127e-10    4.396286e-11    7.200000e-01    6.961245e-01    8.086746e-02
    1.545338e+01    3.025996e+01    3.132268e+00    1.115530e+10    6.905915e-10    8.964845e-12    5.103315e-10    4.534350e-11    7.300000e-01    6.961245e-01    8.599124e-02
    1.473645e+01    3.023809e+01    3.642549e+00    1.213012e+10    7.042930e-10    9.268680e-12    5.273895e-10    4.663796e-11    7.400000e-01    6.961245e-01    9.133207e-02
    1.404850e+01    3.021010e+01    4.206310e+00    1.311308e+10    7.172105e-10    9.555180e-12    5.434555e-10    4.784554e-11    7.500000e-01    6.961245e-01    9.686491e-02
    1.338941e+01    3.017411e+01    4.824718e+00    1.409709e+10    7.293295e-10    9.824070e-12    5.585165e-10    4.896690e-11    7.600000e-01    6.961245e-01    1.025648e-01
    1.275913e+01    3.012890e+01    5.498480e+00    1.507545e+10    7.406505e-10    1.007536e-11    5.725760e-10    5.000390e-11    7.700000e-01    6.961245e-01    1.084075e-01
    1.215758e+01    3.007367e+01    6.227855e+00    1.604205e+10    7.511835e-10    1.030931e-11    5.856505e-10    5.095930e-11    7.800000e-01    6.961245e-01    1.143696e-01
    1.158466e+01    3.000813e+01    7.012680e+00    1.699148e+10    7.609500e-10    1.052639e-11    5.977695e-10    5.183670e-11    7.900000e-01    6.961245e-01    1.204290e-01
    1.104013e+01    2.993233e+01    7.852415e+00    1.791924e+10    7.699775e-10    1.072721e-11    6.089690e-10    5.264020e-11    8.000000e-01    6.961245e-01    1.265651e-01
    1.052364e+01    2.984660e+01    8.746185e+00    1.882168e+10    7.782990e-10    1.091252e-11    6.192935e-10    5.337415e-11    8.100000e-01    6.961245e-01    1.327591e-01
    1.003468e+01    2.975152e+01    9.692835e+00    1.969602e+10    7.859520e-10    1.108316e-11    6.287905e-10    5.404335e-11    8.200000e-01    6.961245e-01    1.389941e-01
    9.572589e+00    2.964783e+01    1.069099e+01    2.054029e+10    7.929775e-10    1.123998e-11    6.375115e-10    5.465240e-11    8.300000e-01    6.961245e-01    1.452547e-01
    9.136540e+00    2.953629e+01    1.173911e+01    2.135329e+10    7.994150e-10    1.138391e-11    6.455085e-10    5.520600e-11    8.400000e-01    6.961245e-01    1.515276e-01
    8.725599e+00    2.941776e+01    1.283552e+01    2.213437e+10    8.053075e-10    1.151584e-11    6.528330e-10    5.570880e-11    8.500000e-01    6.961245e-01    1.578012e-01
    8.338728e+00    2.929309e+01    1.397848e+01    2.288349e+10    8.106950e-10    1.163669e-11    6.595375e-10    5.616510e-11    8.600000e-01    6.961245e-01    1.640653e-01
    7.974809e+00    2.916310e+01    1.516618e+01    2.360098e+10    8.156175e-10    1.174732e-11    6.656710e-10    5.657915e-11    8.700000e-01    6.961245e-01    1.703115e-01
    7.632676e+00    2.902859e+01    1.639682e+01    2.428751e+10    8.201130e-10    1.184856e-11    6.712810e-10    5.695485e-11    8.800000e-01    6.961245e-01    1.765326e-01
    7.311137e+00    2.889025e+01    1.766862e+01    2.494397e+10    8.242180e-10    1.194121e-11    6.764125e-10    5.729580e-11    8.900000e-01    6.961245e-01    1.827226e-01
    7.009007e+00    2.874880e+01    1.897980e+01    2.557147e+10    8.279660e-10    1.202601e-11    6.811080e-10    5.760545e-11    9.000000e-01    6.961245e-01    1.888768e-01
    6.725104e+00    2.860481e+01    2.032865e+01    2.617118e+10    8.313890e-10    1.210366e-11    6.854060e-10    5.788690e-11    9.100000e-01    6.961245e-01    1.949913e-01
    6.458279e+00    2.845882e+01    2.171350e+01    2.674434e+10    8.345165e-10    1.217480e-11    6.893435e-10    5.814290e-11    9.200000e-01    6.961245e-01    2.010629e-01
