# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: typical
# Temperature: -40C
# W = 2.0 um
# L = 5 um (5000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.407687e+01    7.373052e+02    5.307005e-05    4.549925e+04    6.325940e-09    1.494643e-15    1.660585e-10    4.062555e-11    4.900000e-01    7.285585e-01    2.848708e-02
    3.403879e+01    7.335765e+02    7.460940e-05    6.383355e+04    6.331970e-09    1.764086e-15    2.038792e-10    4.769537e-11    5.000000e-01    7.285585e-01    2.850688e-02
    3.392114e+01    7.293151e+02    1.048082e-04    8.920485e+04    6.343035e-09    2.081568e-15    2.485373e-10    5.599400e-11    5.100000e-01    7.285585e-01    2.853458e-02
    3.373319e+01    7.244965e+02    1.470045e-04    1.240940e+05    6.360000e-09    2.455671e-15    3.012689e-10    6.573210e-11    5.200000e-01    7.285585e-01    2.857321e-02
    3.348065e+01    7.191197e+02    2.057348e-04    1.717263e+05    6.383885e-09    2.896482e-15    3.635070e-10    7.715130e-11    5.300000e-01    7.285585e-01    2.862682e-02
    3.316695e+01    7.132176e+02    2.871141e-04    2.362247e+05    6.415860e-09    3.415832e-15    4.368978e-10    9.052640e-11    5.400000e-01    7.285585e-01    2.870080e-02
    3.279435e+01    7.068693e+02    3.993101e-04    3.227618e+05    6.457245e-09    4.027544e-15    5.233110e-10    1.061665e-10    5.500000e-01    7.285585e-01    2.880223e-02
    3.236492e+01    7.002125e+02    5.531255e-04    4.376912e+05    6.509545e-09    4.747694e-15    6.248455e-10    1.244151e-10    5.600000e-01    7.285585e-01    2.894023e-02
    3.188132e+01    6.934518e+02    7.626990e-04    5.886441e+05    6.574410e-09    5.594885e-15    7.438235e-10    1.456481e-10    5.700000e-01    7.285585e-01    2.912636e-02
    3.134724e+01    6.868644e+02    1.046336e-03    7.845675e+05    6.653655e-09    6.590520e-15    8.827735e-10    1.702700e-10    5.800000e-01    7.285585e-01    2.937489e-02
    3.076763e+01    6.807949e+02    1.427476e-03    1.035691e+06    6.749210e-09    7.759030e-15    1.044398e-09    1.987065e-10    5.900000e-01    7.285585e-01    2.970303e-02
