# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: typical
# Temperature: 25 C
# W = 2.0 um
# L = 6 um (6000 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.544365e-01    3.603037e-02    8.464975e-14    1.663016e-12    1.067873e-16    1.755907e-14    6.294772e-18   -4.111322e-23   -1.065576e-18
    1.000000e-02    6.544365e-01    3.603037e-02    1.120570e-13    1.663862e-12    1.413901e-16    1.747756e-14    8.581016e-18   -4.716056e-23   -1.218362e-18
    2.000000e-02    6.544365e-01    3.603037e-02    1.483293e-13    1.665286e-12    1.871949e-16    1.739723e-14    1.072405e-17   -5.409399e-23   -1.392903e-18
    3.000000e-02    6.544365e-01    3.603037e-02    1.963310e-13    1.666998e-12    2.478245e-16    1.731804e-14    1.270797e-17   -6.204251e-23   -1.592259e-18
    4.000000e-02    6.544365e-01    3.603037e-02    2.598508e-13    1.669264e-12    3.280723e-16    1.724000e-14    1.451455e-17   -7.115367e-23   -1.819910e-18
    5.000000e-02    6.544365e-01    3.603038e-02    3.438997e-13    1.672264e-12    4.342795e-16    1.716309e-14    1.612298e-17   -8.159622e-23   -2.079813e-18
    6.000000e-02    6.544365e-01    3.603038e-02    4.551047e-13    1.676233e-12    5.748348e-16    1.708731e-14    1.750951e-17   -9.356302e-23   -2.376459e-18
    7.000000e-02    6.544365e-01    3.603038e-02    6.022290e-13    1.681485e-12    7.608341e-16    1.701267e-14    1.864711e-17   -1.072744e-22   -2.714949e-18
    8.000000e-02    6.544365e-01    3.603039e-02    7.968593e-13    1.688435e-12    1.006953e-15    1.693915e-14    1.950506e-17   -1.229821e-22   -3.101064e-18
    9.000000e-02    6.544365e-01    3.603039e-02    1.054314e-12    1.697631e-12    1.332602e-15    1.686677e-14    2.004851e-17   -1.409733e-22   -3.541356e-18
    1.000000e-01    6.544365e-01    3.603040e-02    1.394842e-12    1.709798e-12    1.763446e-15    1.679553e-14    2.023801e-17   -1.615757e-22   -4.043241e-18
    1.100000e-01    6.544365e-01    3.603041e-02    1.845209e-12    1.725894e-12    2.333423e-15    1.672544e-14    2.002897e-17   -1.851629e-22   -4.615107e-18
    1.200000e-01    6.544365e-01    3.603043e-02    2.440781e-12    1.747185e-12    3.087399e-15    1.665653e-14    1.937107e-17   -2.121607e-22   -5.266428e-18
