# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: typical
# Temperature: 25C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.697203e+01    6.310282e+02    6.805815e-05    6.473861e+04    4.512847e-09    1.491106e-15    1.405014e-10    3.250715e-11    3.700000e-01    6.598146e-01    3.732204e-02
    2.696063e+01    6.291707e+02    8.912655e-05    8.473149e+04    4.513489e-09    1.698559e-15    1.631390e-10    3.687748e-11    3.800000e-01    6.598146e-01    3.733833e-02
    2.691874e+01    6.271204e+02    1.166855e-04    1.106836e+05    4.516569e-09    1.934748e-15    1.890193e-10    4.183570e-11    3.900000e-01    6.598146e-01    3.735962e-02
    2.684968e+01    6.248708e+02    1.526809e-04    1.442695e+05    4.522405e-09    2.203670e-15    2.185912e-10    4.745850e-11    4.000000e-01    6.598146e-01    3.738739e-02
    2.675574e+01    6.224214e+02    1.996172e-04    1.875890e+05    4.531349e-09    2.509860e-15    2.523569e-10    5.383090e-11    4.100000e-01    6.598146e-01    3.742354e-02
    2.663842e+01    6.197793e+02    2.607066e-04    2.432549e+05    4.543796e-09    2.858459e-15    2.908742e-10    6.104660e-11    4.200000e-01    6.598146e-01    3.747049e-02
    2.649870e+01    6.169612e+02    3.400537e-04    3.144923e+05    4.560181e-09    3.255277e-15    3.347589e-10    6.920825e-11    4.300000e-01    6.598146e-01    3.753132e-02
    2.633725e+01    6.139982e+02    4.428829e-04    4.052477e+05    4.580984e-09    3.706869e-15    3.846864e-10    7.842755e-11    4.400000e-01    6.598146e-01    3.760988e-02
    2.615457e+01    6.109370e+02    5.758150e-04    5.203053e+05    4.606727e-09    4.220602e-15    4.413919e-10    8.882495e-11    4.500000e-01    6.598146e-01    3.771100e-02
    2.595121e+01    6.078438e+02    7.472025e-04    6.654074e+05    4.637975e-09    4.804736e-15    5.056690e-10    1.005293e-10    4.600000e-01    6.598146e-01    3.784063e-02
    2.572779e+01    6.048079e+02    9.675350e-04    8.473768e+05    4.675335e-09    5.468490e-15    5.783655e-10    1.136767e-10    4.700000e-01    6.598146e-01    3.800611e-02
    2.548518e+01    6.019432e+02    1.249922e-03    1.074235e+06    4.719448e-09    6.222125e-15    6.603775e-10    1.284094e-10    4.800000e-01    6.598146e-01    3.821628e-02
    2.522447e+01    5.993879e+02    1.610666e-03    1.355314e+06    4.770982e-09    7.077005e-15    7.526395e-10    1.448733e-10    4.900000e-01    6.598146e-01    3.848175e-02
    2.494697e+01    5.973058e+02    2.069945e-03    1.701347e+06    4.830629e-09    8.045640e-15    8.561080e-10    1.632153e-10    5.000000e-01    6.598146e-01    3.881503e-02
    2.465402e+01    5.958782e+02    2.652608e-03    2.124546e+06    4.899082e-09    9.141755e-15    9.717440e-10    1.835800e-10    5.100000e-01    6.598146e-01    3.923060e-02
    2.434693e+01    5.952997e+02    3.389095e-03    2.638630e+06    4.977023e-09    1.038029e-14    1.100487e-09    2.061044e-10    5.200000e-01    6.598146e-01    3.974493e-02
    2.402654e+01    5.957646e+02    4.316500e-03    3.258783e+06    5.065095e-09    1.177741e-14    1.243222e-09    2.309133e-10    5.300000e-01    6.598146e-01    4.037640e-02
    2.369306e+01    5.974530e+02    5.479740e-03    4.001513e+06    5.163890e-09    1.335046e-14    1.400745e-09    2.581120e-10    5.400000e-01    6.598146e-01    4.114494e-02
    2.334580e+01    6.005153e+02    6.932825e-03    4.884360e+06    5.273895e-09    1.511791e-14    1.573716e-09    2.877802e-10    5.500000e-01    6.598146e-01    4.207172e-02
    2.298301e+01    6.050535e+02    8.740160e-03    5.925388e+06    5.395475e-09    1.709923e-14    1.762617e-09    3.199635e-10    5.600000e-01    6.598146e-01    4.317844e-02
    2.260199e+01    6.111091e+02    1.097778e-02    7.142445e+06    5.528845e-09    1.931472e-14    1.967699e-09    3.546666e-10    5.700000e-01    6.598146e-01    4.448667e-02
    2.219934e+01    6.186511e+02    1.373438e-02    8.552238e+06    5.674005e-09    2.178534e-14    2.188934e-09    3.918459e-10    5.800000e-01    6.598146e-01    4.601701e-02
    2.177152e+01    6.275739e+02    1.711204e-02    1.016921e+07    5.830740e-09    2.453238e-14    2.425971e-09    4.314032e-10    5.900000e-01    6.598146e-01    4.778824e-02
    2.131541e+01    6.377014e+02    2.122637e-02    1.200442e+07    5.998580e-09    2.757722e-14    2.678104e-09    4.731824e-10    6.000000e-01    6.598146e-01    4.981653e-02
    2.082897e+01    6.487985e+02    2.620617e-02    1.406466e+07    6.176780e-09    3.094098e-14    2.944248e-09    5.169665e-10    6.100000e-01    6.598146e-01    5.211480e-02
