# GF180MCU-D nfet_03v3 gm/ID Processed Lookup Table
# Corner: typical
# Temperature: 25C
# W = 2.0 um
# L = 6 um (6000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.676433e+01    7.679330e+02    6.009965e-05    3.286947e+04    7.788535e-09    3.333455e-15    3.273304e-10    7.271210e-11    3.800000e-01    6.544365e-01    3.611024e-02
    2.674134e+01    7.652378e+02    7.853665e-05    4.286112e+04    7.798520e-09    3.795187e-15    3.782701e-10    8.245175e-11    3.900000e-01    6.544365e-01    3.613502e-02
    2.668354e+01    7.622967e+02    1.025878e-04    5.575649e+04    7.813830e-09    4.320684e-15    4.364080e-10    9.348485e-11    4.000000e-01    6.544365e-01    3.616730e-02
    2.659477e+01    7.591162e+02    1.339059e-04    7.233850e+04    7.835135e-09    4.918706e-15    5.026965e-10    1.059722e-10    4.100000e-01    6.544365e-01    3.620925e-02
    2.647778e+01    7.557137e+02    1.746048e-04    9.357494e+04    7.863180e-09    5.599150e-15    5.781865e-10    1.200900e-10    4.200000e-01    6.544365e-01    3.626363e-02
    2.633461e+01    7.521228e+02    2.273772e-04    1.206518e+05    7.898780e-09    6.373175e-15    6.640305e-10    1.360297e-10    4.300000e-01    6.544365e-01    3.633391e-02
    2.616679e+01    7.483955e+02    2.956391e-04    1.550093e+05    7.942820e-09    7.253310e-15    7.614805e-10    1.539978e-10    4.400000e-01    6.544365e-01    3.642445e-02
    2.597557e+01    7.446072e+02    3.837044e-04    1.983787e+05    7.996260e-09    8.253605e-15    8.718885e-10    1.742149e-10    4.500000e-01    6.544365e-01    3.654064e-02
    2.576215e+01    7.408608e+02    4.969955e-04    2.528206e+05    8.060135e-09    9.389730e-15    9.966985e-10    1.969140e-10    4.600000e-01    6.544365e-01    3.668912e-02
    2.552781e+01    7.372895e+02    6.422965e-04    3.207623e+05    8.135530e-09    1.067911e-14    1.137435e-09    2.223385e-10    4.700000e-01    6.544365e-01    3.687793e-02
    2.527391e+01    7.340566e+02    8.280520e-04    4.050320e+05    8.223580e-09    1.214104e-14    1.295687e-09    2.507378e-10    4.800000e-01    6.544365e-01    3.711676e-02
    2.500200e+01    7.313569e+02    1.064726e-03    5.088904e+05    8.325460e-09    1.379675e-14    1.473080e-09    2.823636e-10    4.900000e-01    6.544365e-01    3.741703e-02
    2.471368e+01    7.294105e+02    1.365213e-03    6.360553e+05    8.442345e-09    1.566951e-14    1.671250e-09    3.174623e-10    5.000000e-01    6.544365e-01    3.779207e-02
    2.441047e+01    7.284562e+02    1.745333e-03    7.907164e+05    8.575385e-09    1.778468e-14    1.891789e-09    3.562686e-10    5.100000e-01    6.544365e-01    3.825710e-02
    2.409353e+01    7.287371e+02    2.224380e-03    9.775301e+05    8.725680e-09    2.016963e-14    2.136204e-09    3.989952e-10    5.200000e-01    6.544365e-01    3.882917e-02
    2.376345e+01    7.304875e+02    2.825756e-03    1.201589e+06    8.894225e-09    2.285377e-14    2.405846e-09    4.458226e-10    5.300000e-01    6.544365e-01    3.952692e-02
    2.341992e+01    7.339076e+02    3.577650e-03    1.468348e+06    9.081850e-09    2.586839e-14    2.701838e-09    4.968867e-10    5.400000e-01    6.544365e-01    4.037026e-02
    2.306167e+01    7.391501e+02    4.513752e-03    1.783493e+06    9.289175e-09    2.924645e-14    3.025000e-09    5.522665e-10    5.500000e-01    6.544365e-01    4.137980e-02
    2.268634e+01    7.462957e+02    5.673955e-03    2.152735e+06    9.516560e-09    3.302235e-14    3.375761e-09    6.119700e-10    5.600000e-01    6.544365e-01    4.257623e-02
    2.229090e+01    7.553428e+02    7.104955e-03    2.581549e+06    9.764020e-09    3.723155e-14    3.754082e-09    6.759240e-10    5.700000e-01    6.544365e-01    4.397951e-02
    2.187191e+01    7.661996e+02    8.860725e-03    3.074846e+06    1.003120e-08    4.191015e-14    4.159375e-09    7.439625e-10    5.800000e-01    6.544365e-01    4.560814e-02
