# GF180MCU-D nfet_03v3 gm/ID Lookup Table
# Corner: typical
# Temperature: 85 C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# VDS = 1.65 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.082722e-01    4.973119e-02    1.317159e-11    2.223812e-12    3.245077e-14    4.247461e-15   -5.858202e-18   -6.854751e-23   -1.392971e-18
    1.000000e-02    6.082722e-01    4.973122e-02    1.663285e-11    2.355532e-12    4.098948e-14    4.228412e-15   -5.939005e-18   -7.690051e-23   -1.556195e-18
    2.000000e-02    6.082722e-01    4.973125e-02    2.100204e-11    2.559500e-12    5.177157e-14    4.209688e-15   -6.123224e-18   -8.625797e-23   -1.738091e-18
    3.000000e-02    6.082722e-01    4.973130e-02    2.651680e-11    2.796032e-12    6.538537e-14    4.191289e-15   -6.421236e-18   -9.673797e-23   -1.940713e-18
    4.000000e-02    6.082722e-01    4.973135e-02    3.347675e-11    3.094661e-12    8.257311e-14    4.173219e-15   -6.844470e-18   -1.084720e-22   -2.166332e-18
    5.000000e-02    6.082722e-01    4.973142e-02    4.225964e-11    3.471653e-12    1.042711e-13    4.155480e-15   -7.405518e-18   -1.216064e-22   -2.417454e-18
    6.000000e-02    6.082722e-01    4.973151e-02    5.334158e-11    3.947529e-12    1.316603e-13    4.138079e-15   -8.118247e-18   -1.363041e-22   -2.696851e-18
    7.000000e-02    6.082722e-01    4.973162e-02    6.732257e-11    4.548163e-12    1.662299e-13    4.121020e-15   -8.997946e-18   -1.527460e-22   -3.007584e-18
    8.000000e-02    6.082722e-01    4.973176e-02    8.495850e-11    5.306182e-12    2.098576e-13    4.104311e-15   -1.006148e-17   -1.711336e-22   -3.353042e-18
    9.000000e-02    6.082722e-01    4.973193e-02    1.072014e-10    6.262713e-12    2.649104e-13    4.087960e-15   -1.132749e-17   -1.916907e-22   -3.736971e-18
    1.000000e-01    6.082722e-01    4.973215e-02    1.352502e-10    7.469593e-12    3.343715e-13    4.071978e-15   -1.281660e-17   -2.146664e-22   -4.163528e-18
    1.100000e-01    6.082722e-01    4.973243e-02    1.706136e-10    8.992137e-12    4.219996e-13    4.056377e-15   -1.455172e-17   -2.403373e-22   -4.637322e-18
    1.200000e-01    6.082722e-01    4.973278e-02    2.151905e-10    1.091263e-11    5.325297e-13    4.041169e-15   -1.655834e-17   -2.690113e-22   -5.163473e-18
    1.300000e-01    6.082722e-01    4.973322e-02    2.713688e-10    1.333468e-11    6.719246e-13    4.026371e-15   -1.886489e-17   -3.010308e-22   -5.747683e-18
    1.400000e-01    6.082722e-01    4.973378e-02    3.421510e-10    1.638876e-11    8.476910e-13    4.012002e-15   -2.150323e-17   -3.367769e-22   -6.396302e-18
    1.500000e-01    6.082722e-01    4.973448e-02    4.313095e-10    2.023905e-11    1.069276e-12    3.998082e-15   -2.450909e-17   -3.766741e-22   -7.116419e-18
    1.600000e-01    6.082722e-01    4.973536e-02    5.435825e-10    2.509212e-11    1.348563e-12    3.984637e-15   -2.792271e-17   -4.211953e-22   -7.915957e-18
    1.700000e-01    6.082722e-01    4.973648e-02    6.849167e-10    3.120773e-11    1.700495e-12    3.971695e-15   -3.178948e-17   -4.708680e-22   -8.803775e-18
    1.800000e-01    6.082722e-01    4.973789e-02    8.627709e-10    3.891239e-11    2.143853e-12    3.959288e-15   -3.616066e-17   -5.262806e-22   -9.789791e-18
    1.900000e-01    6.082722e-01    4.973966e-02    1.086493e-09    4.861630e-11    2.702225e-12    3.947454e-15   -4.109424e-17   -5.880903e-22   -1.088511e-17
    2.000000e-01    6.082722e-01    4.974188e-02    1.367791e-09    6.083450e-11    3.405223e-12    3.936236e-15   -4.665580e-17   -6.570315e-22   -1.210216e-17
