# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: ff
# Temperature: -40 C
# W = 2.0 um
# L = 3 um (3000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    7.188098e-01    1.963340e+00    3.291440e-05   -6.144374e-05    1.092639e-05    2.096994e-14   -2.071917e-14   -5.553781e-16   -3.460178e-15
   -3.290000e+00    7.188098e-01    1.954841e+00    3.302784e-05   -6.111459e-05    1.068442e-05    2.096154e-14   -2.071759e-14   -5.366053e-16   -3.459442e-15
   -3.280000e+00    7.188098e-01    1.946351e+00    3.314092e-05   -6.078318e-05    1.044242e-05    2.095345e-14   -2.071567e-14   -5.184424e-16   -3.458688e-15
   -3.270000e+00    7.188098e-01    1.937871e+00    3.325361e-05   -6.045121e-05    1.020046e-05    2.094567e-14   -2.071343e-14   -5.008747e-16   -3.457918e-15
   -3.260000e+00    7.188098e-01    1.929400e+00    3.336583e-05   -6.011811e-05    9.958612e-06    2.093820e-14   -2.071087e-14   -4.838875e-16   -3.457133e-15
   -3.250000e+00    7.188098e-01    1.920939e+00    3.347754e-05   -5.978389e-05    9.716942e-06    2.093101e-14   -2.070800e-14   -4.674658e-16   -3.456334e-15
   -3.240000e+00    7.188098e-01    1.912487e+00    3.358867e-05   -5.944856e-05    9.475528e-06    2.092411e-14   -2.070483e-14   -4.515947e-16   -3.455521e-15
   -3.230000e+00    7.188098e-01    1.904044e+00    3.369915e-05   -5.911212e-05    9.234455e-06    2.091749e-14   -2.070138e-14   -4.362594e-16   -3.454696e-15
   -3.220000e+00    7.188098e-01    1.895610e+00    3.380890e-05   -5.877458e-05    8.993815e-06    2.091115e-14   -2.069763e-14   -4.214448e-16   -3.453859e-15
   -3.210000e+00    7.188098e-01    1.887186e+00    3.391785e-05   -5.843595e-05    8.753707e-06    2.090506e-14   -2.069362e-14   -4.071363e-16   -3.453012e-15
   -3.200000e+00    7.188098e-01    1.878770e+00    3.402590e-05   -5.809623e-05    8.514238e-06    2.089924e-14   -2.068934e-14   -3.933191e-16   -3.452156e-15
   -3.190000e+00    7.188098e-01    1.870364e+00    3.413296e-05   -5.775543e-05    8.275524e-06    2.089366e-14   -2.068480e-14   -3.799788e-16   -3.451291e-15
   -3.180000e+00    7.188098e-01    1.861968e+00    3.423893e-05   -5.741357e-05    8.037689e-06    2.088833e-14   -2.068002e-14   -3.671009e-16   -3.450419e-15
   -3.170000e+00    7.188098e-01    1.853580e+00    3.434369e-05   -5.707066e-05    7.800867e-06    2.088323e-14   -2.067499e-14   -3.546712e-16   -3.449539e-15
   -3.160000e+00    7.188098e-01    1.845201e+00    3.444713e-05   -5.672670e-05    7.565202e-06    2.087836e-14   -2.066973e-14   -3.426757e-16   -3.448653e-15
   -3.150000e+00    7.188098e-01    1.836832e+00    3.454913e-05   -5.638172e-05    7.330848e-06    2.087370e-14   -2.066425e-14   -3.311008e-16   -3.447762e-15
   -3.140000e+00    7.188098e-01    1.828471e+00    3.464954e-05   -5.603572e-05    7.097971e-06    2.086927e-14   -2.065855e-14   -3.199329e-16   -3.446867e-15
   -3.130000e+00    7.188098e-01    1.820120e+00    3.474822e-05   -5.568873e-05    6.866745e-06    2.086504e-14   -2.065264e-14   -3.091588e-16   -3.445967e-15
   -3.120000e+00    7.188098e-01    1.811778e+00    3.484502e-05   -5.534077e-05    6.637356e-06    2.086100e-14   -2.064653e-14   -2.987655e-16   -3.445064e-15
   -3.110000e+00    7.188098e-01    1.803445e+00    3.493978e-05   -5.499184e-05    6.410002e-06    2.085717e-14   -2.064022e-14   -2.887403e-16   -3.444158e-15
   -3.100000e+00    7.188098e-01    1.795120e+00    3.503233e-05   -5.464198e-05    6.184891e-06    2.085352e-14   -2.063372e-14   -2.790708e-16   -3.443251e-15
   -3.090000e+00    7.188098e-01    1.786805e+00    3.512248e-05   -5.429120e-05    5.962240e-06    2.085004e-14   -2.062704e-14   -2.697449e-16   -3.442341e-15
   -3.080000e+00    7.188098e-01    1.778499e+00    3.521004e-05   -5.393954e-05    5.742275e-06    2.084675e-14   -2.062018e-14   -2.607508e-16   -3.441431e-15
   -3.070000e+00    7.188098e-01    1.770201e+00    3.529483e-05   -5.358701e-05    5.525234e-06    2.084362e-14   -2.061315e-14   -2.520771e-16   -3.440520e-15
   -3.060000e+00    7.188098e-01    1.761913e+00    3.537664e-05   -5.323365e-05    5.311358e-06    2.084065e-14   -2.060596e-14   -2.437125e-16   -3.439609e-15
   -3.050000e+00    7.188098e-01    1.753633e+00    3.545526e-05   -5.287949e-05    5.100897e-06    2.083784e-14   -2.059861e-14   -2.356462e-16   -3.438698e-15
   -3.040000e+00    7.188098e-01    1.745363e+00    3.553049e-05   -5.252456e-05    4.894103e-06    2.083518e-14   -2.059111e-14   -2.278677e-16   -3.437788e-15
   -3.030000e+00    7.188098e-01    1.737101e+00    3.560210e-05   -5.216889e-05    4.691230e-06    2.083266e-14   -2.058345e-14   -2.203666e-16   -3.436879e-15
   -3.020000e+00    7.188098e-01    1.728848e+00    3.566990e-05   -5.181253e-05    4.492532e-06    2.083029e-14   -2.057566e-14   -2.131331e-16   -3.435972e-15
   -3.010000e+00    7.188098e-01    1.720604e+00    3.573366e-05   -5.145551e-05    4.298259e-06    2.082804e-14   -2.056772e-14   -2.061574e-16   -3.435066e-15
   -3.000000e+00    7.188098e-01    1.712369e+00    3.579318e-05   -5.109787e-05    4.108654e-06    2.082593e-14   -2.055966e-14   -1.994304e-16   -3.434162e-15
   -2.990000e+00    7.188098e-01    1.704142e+00    3.584827e-05   -5.073966e-05    3.923951e-06    2.082394e-14   -2.055146e-14   -1.929428e-16   -3.433261e-15
   -2.980000e+00    7.188098e-01    1.695924e+00    3.589873e-05   -5.038092e-05    3.744371e-06    2.082207e-14   -2.054314e-14   -1.866861e-16   -3.432362e-15
   -2.970000e+00    7.188098e-01    1.687715e+00    3.594440e-05   -5.002170e-05    3.570118e-06    2.082031e-14   -2.053470e-14   -1.806517e-16   -3.431465e-15
   -2.960000e+00    7.188098e-01    1.679515e+00    3.598510e-05   -4.966205e-05    3.401377e-06    2.081867e-14   -2.052614e-14   -1.748315e-16   -3.430572e-15
   -2.950000e+00    7.188098e-01    1.671323e+00    3.602069e-05   -4.930201e-05    3.238310e-06    2.081713e-14   -2.051748e-14   -1.692175e-16   -3.429681e-15
   -2.940000e+00    7.188098e-01    1.663140e+00    3.605107e-05   -4.894165e-05    3.081054e-06    2.081569e-14   -2.050870e-14   -1.638022e-16   -3.428794e-15
   -2.930000e+00    7.188098e-01    1.654966e+00    3.607611e-05   -4.858101e-05    2.929717e-06    2.081435e-14   -2.049981e-14   -1.585782e-16   -3.427911e-15
   -2.920000e+00    7.188098e-01    1.646800e+00    3.609576e-05   -4.822015e-05    2.784378e-06    2.081310e-14   -2.049083e-14   -1.535385e-16   -3.427030e-15
   -2.910000e+00    7.188098e-01    1.638643e+00    3.610995e-05   -4.785911e-05    2.645086e-06    2.081194e-14   -2.048174e-14   -1.486761e-16   -3.426154e-15
   -2.900000e+00    7.188098e-01    1.630495e+00    3.611867e-05   -4.749796e-05    2.511859e-06    2.081087e-14   -2.047257e-14   -1.439844e-16   -3.425281e-15
   -2.890000e+00    7.188098e-01    1.622355e+00    3.612190e-05   -4.713676e-05    2.384680e-06    2.080987e-14   -2.046329e-14   -1.394572e-16   -3.424412e-15
   -2.880000e+00    7.188098e-01    1.614224e+00    3.611969e-05   -4.677554e-05    2.263506e-06    2.080896e-14   -2.045393e-14   -1.350882e-16   -3.423546e-15
   -2.870000e+00    7.188098e-01    1.606101e+00    3.611208e-05   -4.641438e-05    2.148260e-06    2.080812e-14   -2.044448e-14   -1.308716e-16   -3.422685e-15
   -2.860000e+00    7.188098e-01    1.597987e+00    3.609914e-05   -4.605332e-05    2.038841e-06    2.080736e-14   -2.043495e-14   -1.268017e-16   -3.421827e-15
   -2.850000e+00    7.188098e-01    1.589881e+00    3.608097e-05   -4.569242e-05    1.935120e-06    2.080666e-14   -2.042533e-14   -1.228730e-16   -3.420973e-15
   -2.840000e+00    7.188098e-01    1.581784e+00    3.605768e-05   -4.533172e-05    1.836948e-06    2.080603e-14   -2.041564e-14   -1.190803e-16   -3.420123e-15
   -2.830000e+00    7.188098e-01    1.573695e+00    3.602940e-05   -4.497128e-05    1.744153e-06    2.080546e-14   -2.040586e-14   -1.154184e-16   -3.419277e-15
   -2.820000e+00    7.188098e-01    1.565615e+00    3.599628e-05   -4.461115e-05    1.656550e-06    2.080495e-14   -2.039601e-14   -1.118825e-16   -3.418435e-15
   -2.810000e+00    7.188098e-01    1.557543e+00    3.595847e-05   -4.425137e-05    1.573938e-06    2.080450e-14   -2.038609e-14   -1.084679e-16   -3.417597e-15
   -2.800000e+00    7.188098e-01    1.549480e+00    3.591613e-05   -4.389199e-05    1.496107e-06    2.080410e-14   -2.037610e-14   -1.051701e-16   -3.416762e-15
   -2.790000e+00    7.188098e-01    1.541425e+00    3.586944e-05   -4.353306e-05    1.422841e-06    2.080375e-14   -2.036603e-14   -1.019848e-16   -3.415932e-15
   -2.780000e+00    7.188098e-01    1.533378e+00    3.581858e-05   -4.317462e-05    1.353918e-06    2.080346e-14   -2.035590e-14   -9.890766e-17   -3.415105e-15
   -2.770000e+00    7.188098e-01    1.525339e+00    3.576371e-05   -4.281670e-05    1.289115e-06    2.080321e-14   -2.034570e-14   -9.593478e-17   -3.414282e-15
   -2.760000e+00    7.188098e-01    1.517309e+00    3.570503e-05   -4.245936e-05    1.228210e-06    2.080300e-14   -2.033544e-14   -9.306229e-17   -3.413462e-15
   -2.750000e+00    7.188098e-01    1.509288e+00    3.564270e-05   -4.210261e-05    1.170984e-06    2.080284e-14   -2.032511e-14   -9.028645e-17   -3.412646e-15
