# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: ff
# Temperature: -40 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    7.179720e-01    1.958874e+00    2.839597e-05   -5.262446e-05    9.193083e-06    2.443899e-14   -2.418777e-14   -6.450390e-16   -4.048603e-15
   -3.290000e+00    7.179720e-01    1.950374e+00    2.849308e-05   -5.234050e-05    8.984449e-06    2.442914e-14   -2.418573e-14   -6.231625e-16   -4.047730e-15
   -3.280000e+00    7.179720e-01    1.941884e+00    2.858985e-05   -5.205460e-05    8.775836e-06    2.441967e-14   -2.418330e-14   -6.019998e-16   -4.046836e-15
   -3.270000e+00    7.179720e-01    1.933403e+00    2.868624e-05   -5.176822e-05    8.567300e-06    2.441055e-14   -2.418049e-14   -5.815336e-16   -4.045924e-15
   -3.260000e+00    7.179720e-01    1.924932e+00    2.878219e-05   -5.148087e-05    8.358901e-06    2.440179e-14   -2.417731e-14   -5.617465e-16   -4.044994e-15
   -3.250000e+00    7.179720e-01    1.916470e+00    2.887765e-05   -5.119257e-05    8.150706e-06    2.439338e-14   -2.417377e-14   -5.426210e-16   -4.044048e-15
   -3.240000e+00    7.179720e-01    1.908017e+00    2.897256e-05   -5.090332e-05    7.942784e-06    2.438530e-14   -2.416988e-14   -5.241393e-16   -4.043087e-15
   -3.230000e+00    7.179720e-01    1.899574e+00    2.906686e-05   -5.061312e-05    7.735213e-06    2.437755e-14   -2.416565e-14   -5.062840e-16   -4.042111e-15
   -3.220000e+00    7.179720e-01    1.891141e+00    2.916048e-05   -5.032199e-05    7.528076e-06    2.437012e-14   -2.416109e-14   -4.890376e-16   -4.041122e-15
   -3.210000e+00    7.179720e-01    1.882716e+00    2.925335e-05   -5.002992e-05    7.321464e-06    2.436300e-14   -2.415621e-14   -4.723826e-16   -4.040122e-15
   -3.200000e+00    7.179720e-01    1.874301e+00    2.934538e-05   -4.973692e-05    7.115474e-06    2.435618e-14   -2.415103e-14   -4.563018e-16   -4.039110e-15
   -3.190000e+00    7.179720e-01    1.865895e+00    2.943650e-05   -4.944301e-05    6.910212e-06    2.434965e-14   -2.414554e-14   -4.407781e-16   -4.038089e-15
   -3.180000e+00    7.179720e-01    1.857499e+00    2.952660e-05   -4.914820e-05    6.705789e-06    2.434341e-14   -2.413977e-14   -4.257946e-16   -4.037059e-15
   -3.170000e+00    7.179720e-01    1.849112e+00    2.961558e-05   -4.885248e-05    6.502328e-06    2.433744e-14   -2.413371e-14   -4.113346e-16   -4.036021e-15
   -3.160000e+00    7.179720e-01    1.840734e+00    2.970335e-05   -4.855589e-05    6.299959e-06    2.433174e-14   -2.412739e-14   -3.973817e-16   -4.034976e-15
   -3.150000e+00    7.179720e-01    1.832365e+00    2.978978e-05   -4.825842e-05    6.098821e-06    2.432629e-14   -2.412080e-14   -3.839197e-16   -4.033926e-15
   -3.140000e+00    7.179720e-01    1.824005e+00    2.987476e-05   -4.796010e-05    5.899063e-06    2.432110e-14   -2.411397e-14   -3.709329e-16   -4.032870e-15
   -3.130000e+00    7.179720e-01    1.815655e+00    2.995815e-05   -4.766093e-05    5.700843e-06    2.431615e-14   -2.410688e-14   -3.584056e-16   -4.031809e-15
   -3.120000e+00    7.179720e-01    1.807314e+00    3.003981e-05   -4.736094e-05    5.504328e-06    2.431143e-14   -2.409956e-14   -3.463226e-16   -4.030745e-15
   -3.110000e+00    7.179720e-01    1.798982e+00    3.011961e-05   -4.706014e-05    5.309695e-06    2.430694e-14   -2.409202e-14   -3.346691e-16   -4.029678e-15
   -3.100000e+00    7.179720e-01    1.790659e+00    3.019738e-05   -4.675856e-05    5.117129e-06    2.430267e-14   -2.408425e-14   -3.234306e-16   -4.028609e-15
   -3.090000e+00    7.179720e-01    1.782345e+00    3.027297e-05   -4.645620e-05    4.926824e-06    2.429860e-14   -2.407627e-14   -3.125928e-16   -4.027538e-15
   -3.080000e+00    7.179720e-01    1.774040e+00    3.034621e-05   -4.615310e-05    4.738982e-06    2.429475e-14   -2.406809e-14   -3.021419e-16   -4.026466e-15
   -3.070000e+00    7.179720e-01    1.765745e+00    3.041693e-05   -4.584929e-05    4.553811e-06    2.429108e-14   -2.405971e-14   -2.920644e-16   -4.025394e-15
   -3.060000e+00    7.179720e-01    1.757458e+00    3.048496e-05   -4.554477e-05    4.371526e-06    2.428761e-14   -2.405113e-14   -2.823473e-16   -4.024322e-15
