# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 0.5 um (500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    4.385443e-01    2.019103e+00    1.709631e+02    6.741395e+09    1.770053e-09    8.348870e-11    1.612417e-09    2.627600e-10   -3.300000e+00    7.335656e-01    1.942179e+00
    4.421569e-01    2.055881e+00    1.702133e+02    6.772287e+09    1.768703e-09    8.074775e-11    1.612965e-09    2.625750e-10   -3.290000e+00    7.335656e-01    1.934965e+00
    4.458185e-01    2.093780e+00    1.694579e+02    6.803119e+09    1.767388e-09    7.807735e-11    1.613476e-09    2.623918e-10   -3.280000e+00    7.335656e-01    1.927751e+00
    4.495182e-01    2.132847e+00    1.687010e+02    6.833880e+09    1.766110e-09    7.547730e-11    1.613952e-09    2.622104e-10   -3.270000e+00    7.335656e-01    1.920539e+00
    4.532604e-01    2.173130e+00    1.679412e+02    6.864570e+09    1.764867e-09    7.294715e-11    1.614393e-09    2.620308e-10   -3.260000e+00    7.335656e-01    1.913328e+00
    4.570455e-01    2.214679e+00    1.671786e+02    6.895176e+09    1.763660e-09    7.048645e-11    1.614798e-09    2.618531e-10   -3.250000e+00    7.335656e-01    1.906118e+00
    4.608735e-01    2.257546e+00    1.664130e+02    6.925689e+09    1.762488e-09    6.809460e-11    1.615169e-09    2.616772e-10   -3.240000e+00    7.335656e-01    1.898909e+00
    4.647452e-01    2.301788e+00    1.656447e+02    6.956109e+09    1.761352e-09    6.577090e-11    1.615506e-09    2.615031e-10   -3.230000e+00    7.335656e-01    1.891702e+00
    4.686606e-01    2.347460e+00    1.648733e+02    6.986419e+09    1.760251e-09    6.351455e-11    1.615810e-09    2.613311e-10   -3.220000e+00    7.335656e-01    1.884495e+00
    4.726204e-01    2.394624e+00    1.640993e+02    7.016621e+09    1.759184e-09    6.132475e-11    1.616081e-09    2.611609e-10   -3.210000e+00    7.335656e-01    1.877290e+00
    4.766243e-01    2.443340e+00    1.633223e+02    7.046695e+09    1.758151e-09    5.920055e-11    1.616320e-09    2.609926e-10   -3.200000e+00    7.335656e-01    1.870086e+00
    4.806732e-01    2.493674e+00    1.625423e+02    7.076640e+09    1.757153e-09    5.714100e-11    1.616527e-09    2.608263e-10   -3.190000e+00    7.335656e-01    1.862883e+00
    4.847668e-01    2.545694e+00    1.617597e+02    7.106443e+09    1.756187e-09    5.514495e-11    1.616704e-09    2.606620e-10   -3.180000e+00    7.335656e-01    1.855681e+00
    4.889052e-01    2.599466e+00    1.609741e+02    7.136092e+09    1.755255e-09    5.321130e-11    1.616849e-09    2.604997e-10   -3.170000e+00    7.335656e-01    1.848480e+00
    4.930890e-01    2.655065e+00    1.601856e+02    7.165579e+09    1.754356e-09    5.133890e-11    1.616966e-09    2.603393e-10   -3.160000e+00    7.335656e-01    1.841280e+00
    4.973178e-01    2.712566e+00    1.593944e+02    7.194896e+09    1.753487e-09    4.952659e-11    1.617055e-09    2.601810e-10   -3.150000e+00    7.335656e-01    1.834082e+00
