# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 6 um (6000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    5.498886e-01    3.313500e+00    1.530469e+01    6.413563e+07    2.088431e-08    5.665455e-10    2.073717e-08    3.496484e-09   -3.300000e+00    7.158603e-01    1.945740e+00
    5.547783e-01    3.407290e+00    1.522053e+01    6.437775e+07    2.087534e-08    5.471225e-10    2.073526e-08    3.495691e-09   -3.290000e+00    7.158603e-01    1.937253e+00
    5.597342e-01    3.505749e+00    1.513581e+01    6.461802e+07    2.086671e-08    5.283365e-10    2.073301e-08    3.494880e-09   -3.280000e+00    7.158603e-01    1.928775e+00
    5.647414e-01    3.609205e+00    1.505095e+01    6.485636e+07    2.085841e-08    5.101725e-10    2.073043e-08    3.494053e-09   -3.270000e+00    7.158603e-01    1.920307e+00
    5.698049e-01    3.718010e+00    1.496581e+01    6.509264e+07    2.085042e-08    4.926153e-10    2.072751e-08    3.493212e-09   -3.260000e+00    7.158603e-01    1.911849e+00
    5.749244e-01    3.832542e+00    1.488040e+01    6.532666e+07    2.084275e-08    4.756491e-10    2.072427e-08    3.492356e-09   -3.250000e+00    7.158603e-01    1.903400e+00
    5.801006e-01    3.953223e+00    1.479471e+01    6.555842e+07    2.083538e-08    4.592583e-10    2.072073e-08    3.491487e-09   -3.240000e+00    7.158603e-01    1.894961e+00
    5.853322e-01    4.080500e+00    1.470875e+01    6.578764e+07    2.082831e-08    4.434272e-10    2.071689e-08    3.490608e-09   -3.230000e+00    7.158603e-01    1.886531e+00
    5.906189e-01    4.214865e+00    1.462252e+01    6.601419e+07    2.082153e-08    4.281405e-10    2.071276e-08    3.489717e-09   -3.220000e+00    7.158603e-01    1.878111e+00
    5.959607e-01    4.356850e+00    1.453603e+01    6.623791e+07    2.081502e-08    4.133823e-10    2.070835e-08    3.488816e-09   -3.210000e+00    7.158603e-01    1.869701e+00
    6.013565e-01    4.507037e+00    1.444927e+01    6.645859e+07    2.080879e-08    3.991375e-10    2.070366e-08    3.487906e-09   -3.200000e+00    7.158603e-01    1.861300e+00
    6.068052e-01    4.666055e+00    1.436224e+01    6.667599e+07    2.080283e-08    3.853907e-10    2.069872e-08    3.486988e-09   -3.190000e+00    7.158603e-01    1.852909e+00
    6.123062e-01    4.834592e+00    1.427497e+01    6.688993e+07    2.079712e-08    3.721267e-10    2.069351e-08    3.486062e-09   -3.180000e+00    7.158603e-01    1.844528e+00
    6.178580e-01    5.013394e+00    1.418744e+01    6.710017e+07    2.079166e-08    3.593306e-10    2.068806e-08    3.485131e-09   -3.170000e+00    7.158603e-01    1.836155e+00
    6.234594e-01    5.203277e+00    1.409965e+01    6.730645e+07    2.078644e-08    3.469878e-10    2.068237e-08    3.484194e-09   -3.160000e+00    7.158603e-01    1.827793e+00
    6.291083e-01    5.405121e+00    1.401163e+01    6.750848e+07    2.078144e-08    3.350836e-10    2.067645e-08    3.483252e-09   -3.150000e+00    7.158603e-01    1.819440e+00
    6.348028e-01    5.619882e+00    1.392336e+01    6.770590e+07    2.077669e-08    3.236040e-10    2.067031e-08    3.482306e-09   -3.140000e+00    7.158603e-01    1.811096e+00
    6.405409e-01    5.848608e+00    1.383486e+01    6.789851e+07    2.077215e-08    3.125349e-10    2.066395e-08    3.481357e-09   -3.130000e+00    7.158603e-01    1.802761e+00
    6.463202e-01    6.092427e+00    1.374612e+01    6.808588e+07    2.076782e-08    3.018626e-10    2.065739e-08    3.480406e-09   -3.120000e+00    7.158603e-01    1.794437e+00
    6.521379e-01    6.352566e+00    1.365717e+01    6.826773e+07    2.076369e-08    2.915738e-10    2.065062e-08    3.479452e-09   -3.110000e+00    7.158603e-01    1.786121e+00
    6.579911e-01    6.630355e+00    1.356799e+01    6.844369e+07    2.075976e-08    2.816555e-10    2.064366e-08    3.478497e-09   -3.100000e+00    7.158603e-01    1.777815e+00
    6.638768e-01    6.927223e+00    1.347861e+01    6.861335e+07    2.075603e-08    2.720948e-10    2.063652e-08    3.477541e-09   -3.090000e+00    7.158603e-01    1.769518e+00
    6.697917e-01    7.244725e+00    1.338904e+01    6.877638e+07    2.075247e-08    2.628794e-10    2.062919e-08    3.476584e-09   -3.080000e+00    7.158603e-01    1.761231e+00
