# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: ff
# Temperature: 85 C
# W = 2.0 um
# L = 1 um (1000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    6.026886e-01    2.161296e+00    6.449912e-05   -1.348920e-04    3.335557e-05    7.074817e-15   -6.725243e-15   -3.403677e-16   -1.124493e-15
   -3.290000e+00    6.026886e-01    2.152752e+00    6.466253e-05   -1.342470e-04    3.290280e-05    7.069817e-15   -6.727315e-15   -3.297979e-16   -1.124220e-15
   -3.280000e+00    6.026886e-01    2.144216e+00    6.482618e-05   -1.335988e-04    3.244921e-05    7.064942e-15   -6.729236e-15   -3.194870e-16   -1.123942e-15
   -3.270000e+00    6.026886e-01    2.135685e+00    6.499006e-05   -1.329497e-04    3.199482e-05    7.060193e-15   -6.731007e-15   -3.094344e-16   -1.123657e-15
   -3.260000e+00    6.026886e-01    2.127161e+00    6.515415e-05   -1.322990e-04    3.153965e-05    7.055569e-15   -6.732630e-15   -2.996387e-16   -1.123367e-15
   -3.250000e+00    6.026886e-01    2.118644e+00    6.531844e-05   -1.316466e-04    3.108372e-05    7.051070e-15   -6.734105e-15   -2.900983e-16   -1.123072e-15
   -3.240000e+00    6.026886e-01    2.110133e+00    6.548291e-05   -1.309926e-04    3.062705e-05    7.046695e-15   -6.735436e-15   -2.808114e-16   -1.122771e-15
   -3.230000e+00    6.026886e-01    2.101629e+00    6.564754e-05   -1.303370e-04    3.016965e-05    7.042444e-15   -6.736623e-15   -2.717758e-16   -1.122465e-15
   -3.220000e+00    6.026886e-01    2.093131e+00    6.581232e-05   -1.296797e-04    2.971156e-05    7.038316e-15   -6.737669e-15   -2.629888e-16   -1.122154e-15
   -3.210000e+00    6.026886e-01    2.084640e+00    6.597722e-05   -1.290207e-04    2.925278e-05    7.034310e-15   -6.738576e-15   -2.544477e-16   -1.121838e-15
   -3.200000e+00    6.026886e-01    2.076155e+00    6.614222e-05   -1.283601e-04    2.879336e-05    7.030425e-15   -6.739346e-15   -2.461493e-16   -1.121517e-15
   -3.190000e+00    6.026886e-01    2.067677e+00    6.630730e-05   -1.276979e-04    2.833332e-05    7.026659e-15   -6.739982e-15   -2.380903e-16   -1.121192e-15
   -3.180000e+00    6.026886e-01    2.059205e+00    6.647243e-05   -1.270340e-04    2.787269e-05    7.023011e-15   -6.740487e-15   -2.302672e-16   -1.120863e-15
   -3.170000e+00    6.026886e-01    2.050740e+00    6.663758e-05   -1.263684e-04    2.741151e-05    7.019479e-15   -6.740862e-15   -2.226762e-16   -1.120529e-15
   -3.160000e+00    6.026886e-01    2.042281e+00    6.680273e-05   -1.257012e-04    2.694980e-05    7.016062e-15   -6.741110e-15   -2.153134e-16   -1.120192e-15
   -3.150000e+00    6.026886e-01    2.033828e+00    6.696784e-05   -1.250324e-04    2.648763e-05    7.012758e-15   -6.741235e-15   -2.081745e-16   -1.119852e-15
   -3.140000e+00    6.026886e-01    2.025382e+00    6.713286e-05   -1.243619e-04    2.602502e-05    7.009564e-15   -6.741239e-15   -2.012553e-16   -1.119508e-15
   -3.130000e+00    6.026886e-01    2.016942e+00    6.729778e-05   -1.236897e-04    2.556202e-05    7.006479e-15   -6.741125e-15   -1.945515e-16   -1.119161e-15
   -3.120000e+00    6.026886e-01    2.008508e+00    6.746253e-05   -1.230159e-04    2.509870e-05    7.003501e-15   -6.740895e-15   -1.880584e-16   -1.118812e-15
   -3.110000e+00    6.026886e-01    2.000081e+00    6.762708e-05   -1.223405e-04    2.463510e-05    7.000628e-15   -6.740552e-15   -1.817716e-16   -1.118460e-15
   -3.100000e+00    6.026886e-01    1.991660e+00    6.779137e-05   -1.216634e-04    2.417128e-05    6.997857e-15   -6.740100e-15   -1.756863e-16   -1.118105e-15
   -3.090000e+00    6.026886e-01    1.983245e+00    6.795536e-05   -1.209846e-04    2.370731e-05    6.995186e-15   -6.739542e-15   -1.697977e-16   -1.117749e-15
   -3.080000e+00    6.026886e-01    1.974837e+00    6.811898e-05   -1.203043e-04    2.324328e-05    6.992613e-15   -6.738879e-15   -1.641011e-16   -1.117391e-15
   -3.070000e+00    6.026886e-01    1.966435e+00    6.828216e-05   -1.196223e-04    2.277924e-05    6.990136e-15   -6.738115e-15   -1.585916e-16   -1.117031e-15
   -3.060000e+00    6.026886e-01    1.958039e+00    6.844484e-05   -1.189386e-04    2.231529e-05    6.987752e-15   -6.737254e-15   -1.532645e-16   -1.116670e-15
   -3.050000e+00    6.026886e-01    1.949649e+00    6.860694e-05   -1.182534e-04    2.185153e-05    6.985458e-15   -6.736296e-15   -1.481148e-16   -1.116308e-15
   -3.040000e+00    6.026886e-01    1.941266e+00    6.876839e-05   -1.175665e-04    2.138806e-05    6.983253e-15   -6.735247e-15   -1.431378e-16   -1.115945e-15
   -3.030000e+00    6.026886e-01    1.932889e+00    6.892908e-05   -1.168780e-04    2.092497e-05    6.981134e-15   -6.734107e-15   -1.383286e-16   -1.115582e-15
   -3.020000e+00    6.026886e-01    1.924518e+00    6.908893e-05   -1.161879e-04    2.046240e-05    6.979098e-15   -6.732880e-15   -1.336825e-16   -1.115218e-15
   -3.010000e+00    6.026886e-01    1.916153e+00    6.924782e-05   -1.154962e-04    2.000048e-05    6.977144e-15   -6.731569e-15   -1.291948e-16   -1.114854e-15
   -3.000000e+00    6.026886e-01    1.907794e+00    6.940565e-05   -1.148029e-04    1.953933e-05    6.975269e-15   -6.730176e-15   -1.248606e-16   -1.114490e-15
   -2.990000e+00    6.026886e-01    1.899442e+00    6.956229e-05   -1.141081e-04    1.907913e-05    6.973470e-15   -6.728704e-15   -1.206755e-16   -1.114126e-15
   -2.980000e+00    6.026886e-01    1.891095e+00    6.971760e-05   -1.134117e-04    1.862002e-05    6.971745e-15   -6.727154e-15   -1.166348e-16   -1.113762e-15
   -2.970000e+00    6.026886e-01    1.882755e+00    6.987144e-05   -1.127138e-04    1.816220e-05    6.970092e-15   -6.725531e-15   -1.127341e-16   -1.113399e-15
   -2.960000e+00    6.026886e-01    1.874421e+00    7.002366e-05   -1.120143e-04    1.770584e-05    6.968509e-15   -6.723836e-15   -1.089690e-16   -1.113036e-15
   -2.950000e+00    6.026886e-01    1.866093e+00    7.017408e-05   -1.113133e-04    1.725117e-05    6.966993e-15   -6.722071e-15   -1.053350e-16   -1.112674e-15
   -2.940000e+00    6.026886e-01    1.857771e+00    7.032252e-05   -1.106108e-04    1.679839e-05    6.965543e-15   -6.720238e-15   -1.018280e-16   -1.112313e-15
   -2.930000e+00    6.026886e-01    1.849455e+00    7.046879e-05   -1.099068e-04    1.634776e-05    6.964155e-15   -6.718341e-15   -9.844378e-17   -1.111953e-15
   -2.920000e+00    6.026886e-01    1.841145e+00    7.061268e-05   -1.092014e-04    1.589953e-05    6.962828e-15   -6.716380e-15   -9.517829e-17   -1.111594e-15
   -2.910000e+00    6.026886e-01    1.832841e+00    7.075395e-05   -1.084946e-04    1.545398e-05    6.961560e-15   -6.714359e-15   -9.202754e-17   -1.111236e-15
   -2.900000e+00    6.026886e-01    1.824543e+00    7.089237e-05   -1.077864e-04    1.501139e-05    6.960349e-15   -6.712278e-15   -8.898766e-17   -1.110879e-15
   -2.890000e+00    6.026886e-01    1.816251e+00    7.102767e-05   -1.070768e-04    1.457209e-05    6.959192e-15   -6.710141e-15   -8.605487e-17   -1.110524e-15
   -2.880000e+00    6.026886e-01    1.807965e+00    7.115960e-05   -1.063658e-04    1.413641e-05    6.958089e-15   -6.707949e-15   -8.322548e-17   -1.110170e-15
   -2.870000e+00    6.026886e-01    1.799685e+00    7.128785e-05   -1.056536e-04    1.370469e-05    6.957036e-15   -6.705703e-15   -8.049592e-17   -1.109818e-15
   -2.860000e+00    6.026886e-01    1.791411e+00    7.141212e-05   -1.049401e-04    1.327730e-05    6.956032e-15   -6.703406e-15   -7.786269e-17   -1.109468e-15
   -2.850000e+00    6.026886e-01    1.783143e+00    7.153210e-05   -1.042254e-04    1.285464e-05    6.955075e-15   -6.701059e-15   -7.532242e-17   -1.109119e-15
   -2.840000e+00    6.026886e-01    1.774881e+00    7.164744e-05   -1.035095e-04    1.243710e-05    6.954164e-15   -6.698664e-15   -7.287183e-17   -1.108772e-15
   -2.830000e+00    6.026886e-01    1.766625e+00    7.175780e-05   -1.027924e-04    1.202509e-05    6.953296e-15   -6.696223e-15   -7.050772e-17   -1.108427e-15
   -2.820000e+00    6.026886e-01    1.758374e+00    7.186282e-05   -1.020743e-04    1.161905e-05    6.952471e-15   -6.693736e-15   -6.822700e-17   -1.108083e-15
   -2.810000e+00    6.026886e-01    1.750130e+00    7.196215e-05   -1.013552e-04    1.121942e-05    6.951685e-15   -6.691206e-15   -6.602669e-17   -1.107741e-15
   -2.800000e+00    6.026886e-01    1.741891e+00    7.205539e-05   -1.006351e-04    1.082663e-05    6.950939e-15   -6.688634e-15   -6.390390e-17   -1.107401e-15
   -2.790000e+00    6.026886e-01    1.733658e+00    7.214219e-05   -9.991410e-05    1.044113e-05    6.950230e-15   -6.686020e-15   -6.185580e-17   -1.107063e-15
   -2.780000e+00    6.026886e-01    1.725431e+00    7.222215e-05   -9.919228e-05    1.006337e-05    6.949556e-15   -6.683368e-15   -5.987971e-17   -1.106727e-15
   -2.770000e+00    6.026886e-01    1.717210e+00    7.229492e-05   -9.846968e-05    9.693770e-06    6.948917e-15   -6.680677e-15   -5.797298e-17   -1.106393e-15
   -2.760000e+00    6.026886e-01    1.708995e+00    7.236013e-05   -9.774640e-05    9.332758e-06    6.948311e-15   -6.677948e-15   -5.613310e-17   -1.106061e-15
   -2.750000e+00    6.026886e-01    1.700785e+00    7.241744e-05   -9.702251e-05    8.980735e-06    6.947736e-15   -6.675184e-15   -5.435762e-17   -1.105731e-15
   -2.740000e+00    6.026886e-01    1.692581e+00    7.246651e-05   -9.629808e-05    8.638078e-06    6.947192e-15   -6.672385e-15   -5.264418e-17   -1.105402e-15
   -2.730000e+00    6.026886e-01    1.684383e+00    7.250703e-05   -9.557321e-05    8.305133e-06    6.946676e-15   -6.669552e-15   -5.099049e-17   -1.105076e-15
   -2.720000e+00    6.026886e-01    1.676191e+00    7.253874e-05   -9.484797e-05    7.982213e-06    6.946188e-15   -6.666686e-15   -4.939436e-17   -1.104751e-15
   -2.710000e+00    6.026886e-01    1.668004e+00    7.256138e-05   -9.412246e-05    7.669586e-06    6.945727e-15   -6.663788e-15   -4.785367e-17   -1.104428e-15
   -2.700000e+00    6.026886e-01    1.659823e+00    7.257475e-05   -9.339677e-05    7.367477e-06    6.945291e-15   -6.660859e-15   -4.636638e-17   -1.104107e-15
   -2.690000e+00    6.026886e-01    1.651648e+00    7.257867e-05   -9.267100e-05    7.076060e-06    6.944879e-15   -6.657900e-15   -4.493051e-17   -1.103788e-15
   -2.680000e+00    6.026886e-01    1.643478e+00    7.257302e-05   -9.194523e-05    6.795456e-06    6.944490e-15   -6.654912e-15   -4.354417e-17   -1.103471e-15
   -2.670000e+00    6.026886e-01    1.635314e+00    7.255771e-05   -9.121957e-05    6.525734e-06    6.944124e-15   -6.651895e-15   -4.220553e-17   -1.103156e-15
   -2.660000e+00    6.026886e-01    1.627156e+00    7.253270e-05   -9.049411e-05    6.266906e-06    6.943778e-15   -6.648851e-15   -4.091283e-17   -1.102842e-15
   -2.650000e+00    6.026886e-01    1.619003e+00    7.249801e-05   -8.976895e-05    6.018928e-06    6.943452e-15   -6.645779e-15   -3.966436e-17   -1.102530e-15
   -2.640000e+00    6.026886e-01    1.610856e+00    7.245367e-05   -8.904418e-05    5.781706e-06    6.943146e-15   -6.642681e-15   -3.845850e-17   -1.102220e-15
   -2.630000e+00    6.026886e-01    1.602715e+00    7.239979e-05   -8.831991e-05    5.555093e-06    6.942858e-15   -6.639557e-15   -3.729368e-17   -1.101912e-15
   -2.620000e+00    6.026886e-01    1.594579e+00    7.233650e-05   -8.759622e-05    5.338894e-06    6.942586e-15   -6.636408e-15   -3.616837e-17   -1.101605e-15
   -2.610000e+00    6.026886e-01    1.586448e+00    7.226396e-05   -8.687321e-05    5.132875e-06    6.942332e-15   -6.633235e-15   -3.508113e-17   -1.101300e-15
   -2.600000e+00    6.026886e-01    1.578323e+00    7.218237e-05   -8.615097e-05    4.936761e-06    6.942093e-15   -6.630038e-15   -3.403056e-17   -1.100996e-15
   -2.590000e+00    6.026886e-01    1.570204e+00    7.209197e-05   -8.542959e-05    4.750244e-06    6.941868e-15   -6.626817e-15   -3.301530e-17   -1.100694e-15
   -2.580000e+00    6.026886e-01    1.562090e+00    7.199300e-05   -8.470916e-05    4.572990e-06    6.941658e-15   -6.623573e-15   -3.203405e-17   -1.100393e-15
   -2.570000e+00    6.026886e-01    1.553982e+00    7.188574e-05   -8.398976e-05    4.404644e-06    6.941461e-15   -6.620307e-15   -3.108558e-17   -1.100094e-15
   -2.560000e+00    6.026886e-01    1.545879e+00    7.177047e-05   -8.327147e-05    4.244835e-06    6.941276e-15   -6.617019e-15   -3.016868e-17   -1.099796e-15
   -2.550000e+00    6.026886e-01    1.537782e+00    7.164750e-05   -8.255437e-05    4.093180e-06    6.941103e-15   -6.613709e-15   -2.928219e-17   -1.099500e-15
   -2.540000e+00    6.026886e-01    1.529690e+00    7.151712e-05   -8.183854e-05    3.949291e-06    6.940941e-15   -6.610378e-15   -2.842501e-17   -1.099205e-15
   -2.530000e+00    6.026886e-01    1.521604e+00    7.137964e-05   -8.112406e-05    3.812779e-06    6.940790e-15   -6.607026e-15   -2.759607e-17   -1.098911e-15
   -2.520000e+00    6.026886e-01    1.513523e+00    7.123537e-05   -8.041097e-05    3.683257e-06    6.940648e-15   -6.603653e-15   -2.679435e-17   -1.098619e-15
   -2.510000e+00    6.026886e-01    1.505447e+00    7.108461e-05   -7.969937e-05    3.560344e-06    6.940516e-15   -6.600261e-15   -2.601884e-17   -1.098327e-15
   -2.500000e+00    6.026886e-01    1.497377e+00    7.092765e-05   -7.898930e-05    3.443668e-06    6.940392e-15   -6.596848e-15   -2.526861e-17   -1.098037e-15
   -2.490000e+00    6.026886e-01    1.489312e+00    7.076479e-05   -7.828084e-05    3.332868e-06    6.940275e-15   -6.593416e-15   -2.454275e-17   -1.097748e-15
   -2.480000e+00    6.026886e-01    1.481253e+00    7.059630e-05   -7.757403e-05    3.227596e-06    6.940167e-15   -6.589965e-15   -2.384037e-17   -1.097460e-15
   -2.470000e+00    6.026886e-01    1.473199e+00    7.042245e-05   -7.686893e-05    3.127517e-06    6.940065e-15   -6.586494e-15   -2.316063e-17   -1.097173e-15
   -2.460000e+00    6.026886e-01    1.465150e+00    7.024350e-05   -7.616559e-05    3.032314e-06    6.939969e-15   -6.583005e-15   -2.250272e-17   -1.096887e-15
   -2.450000e+00    6.026886e-01    1.457106e+00    7.005969e-05   -7.546407e-05    2.941684e-06    6.939879e-15   -6.579497e-15   -2.186586e-17   -1.096602e-15
   -2.440000e+00    6.026886e-01    1.449068e+00    6.987126e-05   -7.476442e-05    2.855340e-06    6.939794e-15   -6.575971e-15   -2.124930e-17   -1.096318e-15
   -2.430000e+00    6.026886e-01    1.441035e+00    6.967842e-05   -7.406666e-05    2.773013e-06    6.939714e-15   -6.572426e-15   -2.065231e-17   -1.096034e-15
   -2.420000e+00    6.026886e-01    1.433008e+00    6.948137e-05   -7.337086e-05    2.694448e-06    6.939639e-15   -6.568864e-15   -2.007420e-17   -1.095752e-15
   -2.410000e+00    6.026886e-01    1.424985e+00    6.928033e-05   -7.267705e-05    2.619407e-06    6.939567e-15   -6.565283e-15   -1.951431e-17   -1.095470e-15
   -2.400000e+00    6.026886e-01    1.416968e+00    6.907545e-05   -7.198527e-05    2.547668e-06    6.939498e-15   -6.561685e-15   -1.897199e-17   -1.095189e-15
   -2.390000e+00    6.026886e-01    1.408956e+00    6.886692e-05   -7.129555e-05    2.479022e-06    6.939432e-15   -6.558069e-15   -1.844662e-17   -1.094908e-15
   -2.380000e+00    6.026886e-01    1.400950e+00    6.865489e-05   -7.060794e-05    2.413274e-06    6.939369e-15   -6.554436e-15   -1.793762e-17   -1.094628e-15
   -2.370000e+00    6.026886e-01    1.392948e+00    6.843951e-05   -6.992247e-05    2.350244e-06    6.939308e-15   -6.550785e-15   -1.744440e-17   -1.094348e-15
   -2.360000e+00    6.026886e-01    1.384952e+00    6.822092e-05   -6.923916e-05    2.289764e-06    6.939248e-15   -6.547117e-15   -1.696642e-17   -1.094069e-15
   -2.350000e+00    6.026886e-01    1.376960e+00    6.799925e-05   -6.855806e-05    2.231676e-06    6.939190e-15   -6.543432e-15   -1.650315e-17   -1.093791e-15
   -2.340000e+00    6.026886e-01    1.368974e+00    6.777460e-05   -6.787919e-05    2.175837e-06    6.939132e-15   -6.539729e-15   -1.605408e-17   -1.093513e-15
   -2.330000e+00    6.026886e-01    1.360993e+00    6.754710e-05   -6.720258e-05    2.122110e-06    6.939075e-15   -6.536009e-15   -1.561873e-17   -1.093235e-15
   -2.320000e+00    6.026886e-01    1.353018e+00    6.731685e-05   -6.652825e-05    2.070370e-06    6.939018e-15   -6.532272e-15   -1.519661e-17   -1.092957e-15
   -2.310000e+00    6.026886e-01    1.345047e+00    6.708393e-05   -6.585625e-05    2.020502e-06    6.938960e-15   -6.528518e-15   -1.478727e-17   -1.092680e-15
   -2.300000e+00    6.026886e-01    1.337081e+00    6.684845e-05   -6.518658e-05    1.972397e-06    6.938902e-15   -6.524748e-15   -1.439029e-17   -1.092403e-15
   -2.290000e+00    6.026886e-01    1.329121e+00    6.661047e-05   -6.451929e-05    1.925955e-06    6.938843e-15   -6.520959e-15   -1.400524e-17   -1.092126e-15
   -2.280000e+00    6.026886e-01    1.321165e+00    6.637007e-05   -6.385438e-05    1.881085e-06    6.938783e-15   -6.517154e-15   -1.363171e-17   -1.091849e-15
   -2.270000e+00    6.026886e-01    1.313215e+00    6.612733e-05   -6.319189e-05    1.837698e-06    6.938721e-15   -6.513332e-15   -1.326931e-17   -1.091572e-15
   -2.260000e+00    6.026886e-01    1.305269e+00    6.588231e-05   -6.253184e-05    1.795716e-06    6.938657e-15   -6.509493e-15   -1.291768e-17   -1.091296e-15
   -2.250000e+00    6.026886e-01    1.297329e+00    6.563506e-05   -6.187425e-05    1.755063e-06    6.938590e-15   -6.505637e-15   -1.257644e-17   -1.091019e-15
   -2.240000e+00    6.026886e-01    1.289393e+00    6.538564e-05   -6.121915e-05    1.715671e-06    6.938521e-15   -6.501763e-15   -1.224526e-17   -1.090742e-15
   -2.230000e+00    6.026886e-01    1.281463e+00    6.513411e-05   -6.056655e-05    1.677476e-06    6.938449e-15   -6.497873e-15   -1.192379e-17   -1.090465e-15
   -2.220000e+00    6.026886e-01    1.273537e+00    6.488051e-05   -5.991647e-05    1.640417e-06    6.938374e-15   -6.493965e-15   -1.161172e-17   -1.090188e-15
   -2.210000e+00    6.026886e-01    1.265616e+00    6.462489e-05   -5.926894e-05    1.604438e-06    6.938295e-15   -6.490039e-15   -1.130873e-17   -1.089910e-15
   -2.200000e+00    6.026886e-01    1.257700e+00    6.436728e-05   -5.862398e-05    1.569489e-06    6.938212e-15   -6.486097e-15   -1.101452e-17   -1.089633e-15
   -2.190000e+00    6.026886e-01    1.249790e+00    6.410772e-05   -5.798161e-05    1.535519e-06    6.938125e-15   -6.482137e-15   -1.072881e-17   -1.089355e-15
   -2.180000e+00    6.026886e-01    1.241884e+00    6.384625e-05   -5.734183e-05    1.502485e-06    6.938033e-15   -6.478159e-15   -1.045132e-17   -1.089077e-15
   -2.170000e+00    6.026886e-01    1.233983e+00    6.358290e-05   -5.670469e-05    1.470343e-06    6.937937e-15   -6.474163e-15   -1.018177e-17   -1.088798e-15
