# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: ff
# Temperature: 85 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    5.920849e-01    2.122556e+00    2.770791e-05   -5.376266e-05    1.218289e-05    1.751924e-14   -1.717819e-14   -6.674667e-16   -2.896019e-15
   -3.290000e+00    5.920849e-01    2.113784e+00    2.777171e-05   -5.348558e-05    1.198626e-05    1.750900e-14   -1.718010e-14   -6.457784e-16   -2.895523e-15
   -3.280000e+00    5.920849e-01    2.105021e+00    2.783552e-05   -5.320723e-05    1.178938e-05    1.749907e-14   -1.718165e-14   -6.247032e-16   -2.895006e-15
   -3.270000e+00    5.920849e-01    2.096268e+00    2.789931e-05   -5.292856e-05    1.159224e-05    1.748944e-14   -1.718286e-14   -6.042332e-16   -2.894468e-15
   -3.260000e+00    5.920849e-01    2.087524e+00    2.796309e-05   -5.264924e-05    1.139486e-05    1.748011e-14   -1.718372e-14   -5.843595e-16   -2.893910e-15
   -3.250000e+00    5.920849e-01    2.078790e+00    2.802683e-05   -5.236929e-05    1.119726e-05    1.747107e-14   -1.718425e-14   -5.650731e-16   -2.893331e-15
   -3.240000e+00    5.920849e-01    2.070066e+00    2.809053e-05   -5.208871e-05    1.099945e-05    1.746233e-14   -1.718444e-14   -5.463641e-16   -2.892734e-15
   -3.230000e+00    5.920849e-01    2.061351e+00    2.815418e-05   -5.180748e-05    1.080144e-05    1.745387e-14   -1.718432e-14   -5.282225e-16   -2.892118e-15
   -3.220000e+00    5.920849e-01    2.052645e+00    2.821775e-05   -5.152562e-05    1.060326e-05    1.744569e-14   -1.718388e-14   -5.106375e-16   -2.891485e-15
   -3.210000e+00    5.920849e-01    2.043949e+00    2.828124e-05   -5.124313e-05    1.040492e-05    1.743779e-14   -1.718313e-14   -4.935984e-16   -2.890836e-15
   -3.200000e+00    5.920849e-01    2.035262e+00    2.834463e-05   -5.096000e-05    1.020643e-05    1.743015e-14   -1.718208e-14   -4.770938e-16   -2.890171e-15
   -3.190000e+00    5.920849e-01    2.026585e+00    2.840789e-05   -5.067624e-05    1.000783e-05    1.742279e-14   -1.718074e-14   -4.611123e-16   -2.889491e-15
   -3.180000e+00    5.920849e-01    2.017917e+00    2.847102e-05   -5.039184e-05    9.809140e-06    1.741569e-14   -1.717911e-14   -4.456422e-16   -2.888796e-15
   -3.170000e+00    5.920849e-01    2.009258e+00    2.853398e-05   -5.010682e-05    9.610378e-06    1.740884e-14   -1.717721e-14   -4.306717e-16   -2.888089e-15
   -3.160000e+00    5.920849e-01    2.000609e+00    2.859676e-05   -4.982116e-05    9.411575e-06    1.740224e-14   -1.717503e-14   -4.161886e-16   -2.887369e-15
   -3.150000e+00    5.920849e-01    1.991969e+00    2.865934e-05   -4.953488e-05    9.212762e-06    1.739588e-14   -1.717259e-14   -4.021810e-16   -2.886638e-15
   -3.140000e+00    5.920849e-01    1.983338e+00    2.872167e-05   -4.924798e-05    9.013972e-06    1.738976e-14   -1.716990e-14   -3.886366e-16   -2.885895e-15
   -3.130000e+00    5.920849e-01    1.974717e+00    2.878375e-05   -4.896045e-05    8.815241e-06    1.738387e-14   -1.716695e-14   -3.755433e-16   -2.885143e-15
   -3.120000e+00    5.920849e-01    1.966105e+00    2.884552e-05   -4.867230e-05    8.616607e-06    1.737821e-14   -1.716377e-14   -3.628890e-16   -2.884382e-15
   -3.110000e+00    5.920849e-01    1.957502e+00    2.890697e-05   -4.838354e-05    8.418112e-06    1.737277e-14   -1.716034e-14   -3.506614e-16   -2.883612e-15
   -3.100000e+00    5.920849e-01    1.948908e+00    2.896805e-05   -4.809416e-05    8.219803e-06    1.736754e-14   -1.715670e-14   -3.388486e-16   -2.882834e-15
   -3.090000e+00    5.920849e-01    1.940324e+00    2.902872e-05   -4.780418e-05    8.021729e-06    1.736251e-14   -1.715283e-14   -3.274386e-16   -2.882050e-15
   -3.080000e+00    5.920849e-01    1.931749e+00    2.908893e-05   -4.751359e-05    7.823945e-06    1.735769e-14   -1.714875e-14   -3.164195e-16   -2.881259e-15
   -3.070000e+00    5.920849e-01    1.923183e+00    2.914865e-05   -4.722240e-05    7.626508e-06    1.735307e-14   -1.714446e-14   -3.057797e-16   -2.880462e-15
