# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: fs
# Temperature: -40 C
# W = 2.0 um
# L = 1 um (1000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    9.377853e-01    1.790678e+00    8.763720e-05   -1.431196e-04    1.947731e-05    6.605692e-15   -6.351457e-15   -9.613941e-17   -1.121579e-15
   -3.290000e+00    9.377853e-01    1.782668e+00    8.786456e-05   -1.422432e-04    1.892882e-05    6.604402e-15   -6.349610e-15   -9.298183e-17   -1.121242e-15
   -3.280000e+00    9.377853e-01    1.774664e+00    8.808689e-05   -1.413623e-04    1.838573e-05    6.603169e-15   -6.347705e-15   -8.993366e-17   -1.120905e-15
   -3.270000e+00    9.377853e-01    1.766667e+00    8.830380e-05   -1.404804e-04    1.784851e-05    6.601989e-15   -6.345745e-15   -8.699129e-17   -1.120570e-15
   -3.260000e+00    9.377853e-01    1.758676e+00    8.851488e-05   -1.395963e-04    1.731767e-05    6.600862e-15   -6.343731e-15   -8.415118e-17   -1.120237e-15
   -3.250000e+00    9.377853e-01    1.750692e+00    8.871971e-05   -1.387101e-04    1.679371e-05    6.599786e-15   -6.341665e-15   -8.140991e-17   -1.119906e-15
   -3.240000e+00    9.377853e-01    1.742715e+00    8.891788e-05   -1.378219e-04    1.627714e-05    6.598758e-15   -6.339548e-15   -7.876411e-17   -1.119576e-15
   -3.230000e+00    9.377853e-01    1.734744e+00    8.910894e-05   -1.369318e-04    1.576850e-05    6.597777e-15   -6.337383e-15   -7.621053e-17   -1.119248e-15
   -3.220000e+00    9.377853e-01    1.726779e+00    8.929246e-05   -1.360397e-04    1.526830e-05    6.596842e-15   -6.335171e-15   -7.374598e-17   -1.118921e-15
   -3.210000e+00    9.377853e-01    1.718821e+00    8.946800e-05   -1.351459e-04    1.477707e-05    6.595951e-15   -6.332913e-15   -7.136739e-17   -1.118597e-15
   -3.200000e+00    9.377853e-01    1.710869e+00    8.963514e-05   -1.342504e-04    1.429531e-05    6.595102e-15   -6.330611e-15   -6.907176e-17   -1.118275e-15
   -3.190000e+00    9.377853e-01    1.702924e+00    8.979345e-05   -1.333533e-04    1.382354e-05    6.594294e-15   -6.328267e-15   -6.685618e-17   -1.117954e-15
   -3.180000e+00    9.377853e-01    1.694984e+00    8.994253e-05   -1.324546e-04    1.336221e-05    6.593525e-15   -6.325883e-15   -6.471782e-17   -1.117636e-15
   -3.170000e+00    9.377853e-01    1.687052e+00    9.008200e-05   -1.315544e-04    1.291178e-05    6.592794e-15   -6.323458e-15   -6.265397e-17   -1.117320e-15
   -3.160000e+00    9.377853e-01    1.679125e+00    9.021150e-05   -1.306530e-04    1.247266e-05    6.592099e-15   -6.320995e-15   -6.066196e-17   -1.117005e-15
   -3.150000e+00    9.377853e-01    1.671205e+00    9.033070e-05   -1.297502e-04    1.204522e-05    6.591438e-15   -6.318495e-15   -5.873923e-17   -1.116693e-15
   -3.140000e+00    9.377853e-01    1.663291e+00    9.043929e-05   -1.288464e-04    1.162980e-05    6.590812e-15   -6.315960e-15   -5.688331e-17   -1.116383e-15
   -3.130000e+00    9.377853e-01    1.655383e+00    9.053703e-05   -1.279415e-04    1.122667e-05    6.590218e-15   -6.313389e-15   -5.509178e-17   -1.116076e-15
   -3.120000e+00    9.377853e-01    1.647482e+00    9.062370e-05   -1.270357e-04    1.083606e-05    6.589654e-15   -6.310786e-15   -5.336234e-17   -1.115770e-15
   -3.110000e+00    9.377853e-01    1.639586e+00    9.069912e-05   -1.261291e-04    1.045813e-05    6.589121e-15   -6.308149e-15   -5.169274e-17   -1.115466e-15
