# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: fs
# Temperature: -40 C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    9.265610e-01    1.736679e+00    1.795410e-05   -2.607544e-05    2.168838e-06    3.540519e-14   -3.507349e-14   -3.689825e-16   -6.346156e-15
   -3.290000e+00    9.265610e-01    1.728456e+00    1.798139e-05   -2.589590e-05    2.070077e-06    3.540066e-14   -3.505839e-14   -3.570254e-16   -6.344491e-15
   -3.280000e+00    9.265610e-01    1.720244e+00    1.800659e-05   -2.571582e-05    1.973652e-06    3.539635e-14   -3.504306e-14   -3.454899e-16   -6.342832e-15
   -3.270000e+00    9.265610e-01    1.712041e+00    1.802961e-05   -2.553564e-05    1.879684e-06    3.539225e-14   -3.502751e-14   -3.343606e-16   -6.341177e-15
   -3.260000e+00    9.265610e-01    1.703848e+00    1.805033e-05   -2.535524e-05    1.788289e-06    3.538834e-14   -3.501175e-14   -3.236231e-16   -6.339528e-15
   -3.250000e+00    9.265610e-01    1.695666e+00    1.806868e-05   -2.517464e-05    1.699577e-06    3.538463e-14   -3.499578e-14   -3.132632e-16   -6.337886e-15
   -3.240000e+00    9.265610e-01    1.687493e+00    1.808456e-05   -2.499387e-05    1.613646e-06    3.538111e-14   -3.497961e-14   -3.032672e-16   -6.336250e-15
   -3.230000e+00    9.265610e-01    1.679331e+00    1.809791e-05   -2.481296e-05    1.530586e-06    3.537776e-14   -3.496326e-14   -2.936217e-16   -6.334621e-15
   -3.220000e+00    9.265610e-01    1.671178e+00    1.810866e-05   -2.463192e-05    1.450476e-06    3.537458e-14   -3.494671e-14   -2.843142e-16   -6.332999e-15
   -3.210000e+00    9.265610e-01    1.663036e+00    1.811674e-05   -2.445079e-05    1.373379e-06    3.537157e-14   -3.492999e-14   -2.753321e-16   -6.331384e-15
   -3.200000e+00    9.265610e-01    1.654903e+00    1.812213e-05   -2.426960e-05    1.299345e-06    3.536871e-14   -3.491309e-14   -2.666636e-16   -6.329777e-15
   -3.190000e+00    9.265610e-01    1.646780e+00    1.812478e-05   -2.408836e-05    1.228407e-06    3.536601e-14   -3.489603e-14   -2.582972e-16   -6.328177e-15
   -3.180000e+00    9.265610e-01    1.638667e+00    1.812467e-05   -2.390711e-05    1.160585e-06    3.536345e-14   -3.487880e-14   -2.502217e-16   -6.326585e-15
   -3.170000e+00    9.265610e-01    1.630563e+00    1.812182e-05   -2.372587e-05    1.095880e-06    3.536102e-14   -3.486141e-14   -2.424265e-16   -6.325001e-15
   -3.160000e+00    9.265610e-01    1.622470e+00    1.811621e-05   -2.354468e-05    1.034278e-06    3.535874e-14   -3.484387e-14   -2.349012e-16   -6.323425e-15
   -3.150000e+00    9.265610e-01    1.614386e+00    1.810787e-05   -2.336356e-05    9.757489e-07    3.535657e-14   -3.482619e-14   -2.276358e-16   -6.321857e-15
   -3.140000e+00    9.265610e-01    1.606312e+00    1.809684e-05   -2.318253e-05    9.202490e-07    3.535453e-14   -3.480835e-14   -2.206209e-16   -6.320297e-15
   -3.130000e+00    9.265610e-01    1.598248e+00    1.808315e-05   -2.300163e-05    8.677194e-07    3.535261e-14   -3.479038e-14   -2.138471e-16   -6.318745e-15
   -3.120000e+00    9.265610e-01    1.590194e+00    1.806687e-05   -2.282088e-05    8.180889e-07    3.535080e-14   -3.477227e-14   -2.073055e-16   -6.317201e-15
   -3.110000e+00    9.265610e-01    1.582149e+00    1.804806e-05   -2.264030e-05    7.712749e-07    3.534910e-14   -3.475404e-14   -2.009876e-16   -6.315665e-15
   -3.100000e+00    9.265610e-01    1.574114e+00    1.802678e-05   -2.245993e-05    7.271856e-07    3.534749e-14   -3.473567e-14   -1.948851e-16   -6.314137e-15
   -3.090000e+00    9.265610e-01    1.566088e+00    1.800313e-05   -2.227977e-05    6.857207e-07    3.534599e-14   -3.471717e-14   -1.889901e-16   -6.312617e-15
   -3.080000e+00    9.265610e-01    1.558073e+00    1.797718e-05   -2.209987e-05    6.467738e-07    3.534457e-14   -3.469856e-14   -1.832949e-16   -6.311105e-15
