# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: -40C
# W = 2.0 um
# L = 4 um (4000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    6.811332e-01    7.602124e+00    1.797903e+01    1.508974e+08    1.291625e-08    1.338552e-10    1.276976e-08    2.301161e-09   -3.300000e+00    9.275137e-01    1.745529e+00
    6.869602e-01    7.957152e+00    1.785656e+01    1.511704e+08    1.291466e-08    1.295466e-10    1.276439e-08    2.300567e-09   -3.290000e+00    9.275137e-01    1.737289e+00
    6.928091e-01    8.336337e+00    1.773370e+01    1.514263e+08    1.291314e-08    1.253890e-10    1.275893e-08    2.299974e-09   -3.280000e+00    9.275137e-01    1.729059e+00
    6.986629e-01    8.741394e+00    1.761075e+01    1.516640e+08    1.291169e-08    1.213768e-10    1.275339e-08    2.299383e-09   -3.270000e+00    9.275137e-01    1.720839e+00
    7.045221e-01    9.174126e+00    1.748762e+01    1.518828e+08    1.291032e-08    1.175050e-10    1.274777e-08    2.298794e-09   -3.260000e+00    9.275137e-01    1.712628e+00
    7.103823e-01    9.636404e+00    1.736434e+01    1.520819e+08    1.290901e-08    1.137684e-10    1.274208e-08    2.298208e-09   -3.250000e+00    9.275137e-01    1.704428e+00
    7.162393e-01    1.013017e+01    1.724092e+01    1.522605e+08    1.290778e-08    1.101622e-10    1.273632e-08    2.297623e-09   -3.240000e+00    9.275137e-01    1.696237e+00
    7.220894e-01    1.065743e+01    1.711738e+01    1.524181e+08    1.290660e-08    1.066817e-10    1.273049e-08    2.297040e-09   -3.230000e+00    9.275137e-01    1.688056e+00
    7.279286e-01    1.122022e+01    1.699372e+01    1.525539e+08    1.290548e-08    1.033223e-10    1.272459e-08    2.296460e-09   -3.220000e+00    9.275137e-01    1.679885e+00
    7.337533e-01    1.182060e+01    1.686998e+01    1.526673e+08    1.290443e-08    1.000796e-10    1.271863e-08    2.295883e-09   -3.210000e+00    9.275137e-01    1.671723e+00
    7.395600e-01    1.246066e+01    1.674616e+01    1.527579e+08    1.290342e-08    9.694940e-11    1.271260e-08    2.295307e-09   -3.200000e+00    9.275137e-01    1.663572e+00
    7.453461e-01    1.314246e+01    1.662229e+01    1.528255e+08    1.290248e-08    9.392760e-11    1.270652e-08    2.294735e-09   -3.190000e+00    9.275137e-01    1.655430e+00
    7.511083e-01    1.386807e+01    1.649838e+01    1.528696e+08    1.290158e-08    9.101015e-11    1.270037e-08    2.294165e-09   -3.180000e+00    9.275137e-01    1.647298e+00
    7.568450e-01    1.463945e+01    1.637445e+01    1.528901e+08    1.290074e-08    8.819330e-11    1.269417e-08    2.293598e-09   -3.170000e+00    9.275137e-01    1.639175e+00
    7.625541e-01    1.545854e+01    1.625053e+01    1.528870e+08    1.289994e-08    8.547340e-11    1.268791e-08    2.293033e-09   -3.160000e+00    9.275137e-01    1.631062e+00
    7.682341e-01    1.632713e+01    1.612662e+01    1.528603e+08    1.289919e-08    8.284680e-11    1.268160e-08    2.292472e-09   -3.150000e+00    9.275137e-01    1.622959e+00
    7.738848e-01    1.724694e+01    1.600275e+01    1.528103e+08    1.289848e-08    8.031020e-11    1.267523e-08    2.291913e-09   -3.140000e+00    9.275137e-01    1.614866e+00
    7.795051e-01    1.821950e+01    1.587894e+01    1.527372e+08    1.289780e-08    7.786020e-11    1.266881e-08    2.291357e-09   -3.130000e+00    9.275137e-01    1.606782e+00
    7.850955e-01    1.924618e+01    1.575521e+01    1.526412e+08    1.289718e-08    7.549365e-11    1.266236e-08    2.290803e-09   -3.120000e+00    9.275137e-01    1.598708e+00
    7.906565e-01    2.032819e+01    1.563156e+01    1.525230e+08    1.289659e-08    7.320750e-11    1.265584e-08    2.290252e-09   -3.110000e+00    9.275137e-01    1.590643e+00
    7.961894e-01    2.146653e+01    1.550802e+01    1.523831e+08    1.289603e-08    7.099880e-11    1.264928e-08    2.289705e-09   -3.100000e+00    9.275137e-01    1.582588e+00
    8.016948e-01    2.266196e+01    1.538462e+01    1.522220e+08    1.289552e-08    6.886475e-11    1.264268e-08    2.289160e-09   -3.090000e+00    9.275137e-01    1.574542e+00
    8.071751e-01    2.391503e+01    1.526136e+01    1.520403e+08    1.289503e-08    6.680255e-11    1.263603e-08    2.288618e-09   -3.080000e+00    9.275137e-01    1.566506e+00
    8.126322e-01    2.522608e+01    1.513825e+01    1.518388e+08    1.289458e-08    6.480965e-11    1.262934e-08    2.288078e-09   -3.070000e+00    9.275137e-01    1.558479e+00
    8.180682e-01    2.659518e+01    1.501533e+01    1.516183e+08    1.289415e-08    6.288340e-11    1.262261e-08    2.287541e-09   -3.060000e+00    9.275137e-01    1.550461e+00
    8.234860e-01    2.802222e+01    1.489259e+01    1.513795e+08    1.289376e-08    6.102150e-11    1.261584e-08    2.287007e-09   -3.050000e+00    9.275137e-01    1.542454e+00
