# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: -40C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    6.885445e-01    8.278212e+00    1.303772e+01    8.070805e+07    1.770259e-08    1.844912e-10    1.753675e-08    3.173078e-09   -3.300000e+00    9.265610e-01    1.736679e+00
    6.943721e-01    8.686339e+00    1.294795e+01    8.084107e+07    1.770033e-08    1.785127e-10    1.752920e-08    3.172245e-09   -3.290000e+00    9.265610e-01    1.728456e+00
    7.002145e-01    9.123488e+00    1.285791e+01    8.096422e+07    1.769818e-08    1.727449e-10    1.752153e-08    3.171416e-09   -3.280000e+00    9.265610e-01    1.720244e+00
    7.060567e-01    9.591830e+00    1.276782e+01    8.107712e+07    1.769613e-08    1.671803e-10    1.751375e-08    3.170589e-09   -3.270000e+00    9.265610e-01    1.712041e+00
    7.118974e-01    1.009363e+01    1.267762e+01    8.117926e+07    1.769417e-08    1.618116e-10    1.750588e-08    3.169764e-09   -3.260000e+00    9.265610e-01    1.703848e+00
    7.177334e-01    1.063128e+01    1.258732e+01    8.127031e+07    1.769232e-08    1.566316e-10    1.749789e-08    3.168943e-09   -3.250000e+00    9.265610e-01    1.695666e+00
    7.235598e-01    1.120727e+01    1.249694e+01    8.134983e+07    1.769055e-08    1.516336e-10    1.748981e-08    3.168125e-09   -3.240000e+00    9.265610e-01    1.687493e+00
    7.293733e-01    1.182417e+01    1.240648e+01    8.141759e+07    1.768888e-08    1.468109e-10    1.748163e-08    3.167311e-09   -3.230000e+00    9.265610e-01    1.679331e+00
    7.351705e-01    1.248463e+01    1.231596e+01    8.147327e+07    1.768729e-08    1.421571e-10    1.747336e-08    3.166500e-09   -3.220000e+00    9.265610e-01    1.671178e+00
    7.409470e-01    1.319136e+01    1.222540e+01    8.151656e+07    1.768579e-08    1.376661e-10    1.746499e-08    3.165692e-09   -3.210000e+00    9.265610e-01    1.663036e+00
    7.467008e-01    1.394713e+01    1.213480e+01    8.154741e+07    1.768435e-08    1.333318e-10    1.745654e-08    3.164889e-09   -3.200000e+00    9.265610e-01    1.654903e+00
