# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: fs
# Temperature: 25 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    8.630727e-01    1.839179e+00    3.125730e-05   -4.837820e-05    6.316450e-06    1.621614e-14   -1.597159e-14   -2.086986e-16   -2.870729e-15
   -3.290000e+00    8.630727e-01    1.830767e+00    3.132035e-05   -4.806562e-05    6.113886e-06    1.621336e-14   -1.596568e-14   -2.019357e-16   -2.869958e-15
   -3.280000e+00    8.630727e-01    1.822365e+00    3.138184e-05   -4.775179e-05    5.912881e-06    1.621069e-14   -1.595965e-14   -1.954070e-16   -2.869188e-15
   -3.270000e+00    8.630727e-01    1.813973e+00    3.144166e-05   -4.743767e-05    5.713596e-06    1.620815e-14   -1.595349e-14   -1.891047e-16   -2.868418e-15
   -3.260000e+00    8.630727e-01    1.805591e+00    3.149966e-05   -4.712297e-05    5.516198e-06    1.620571e-14   -1.594721e-14   -1.830210e-16   -2.867649e-15
   -3.250000e+00    8.630727e-01    1.797218e+00    3.155569e-05   -4.680769e-05    5.320865e-06    1.620338e-14   -1.594081e-14   -1.771483e-16   -2.866881e-15
   -3.240000e+00    8.630727e-01    1.788855e+00    3.160961e-05   -4.649186e-05    5.127783e-06    1.620115e-14   -1.593430e-14   -1.714793e-16   -2.866114e-15
   -3.230000e+00    8.630727e-01    1.780502e+00    3.166126e-05   -4.617550e-05    4.937145e-06    1.619902e-14   -1.592768e-14   -1.660070e-16   -2.865349e-15
   -3.220000e+00    8.630727e-01    1.772159e+00    3.171046e-05   -4.585864e-05    4.749153e-06    1.619698e-14   -1.592096e-14   -1.607245e-16   -2.864586e-15
   -3.210000e+00    8.630727e-01    1.763825e+00    3.175706e-05   -4.554130e-05    4.564014e-06    1.619504e-14   -1.591413e-14   -1.556250e-16   -2.863825e-15
   -3.200000e+00    8.630727e-01    1.755501e+00    3.180087e-05   -4.522351e-05    4.381940e-06    1.619319e-14   -1.590721e-14   -1.507022e-16   -2.863066e-15
   -3.190000e+00    8.630727e-01    1.747186e+00    3.184171e-05   -4.490530e-05    4.203146e-06    1.619141e-14   -1.590019e-14   -1.459497e-16   -2.862310e-15
   -3.180000e+00    8.630727e-01    1.738882e+00    3.187942e-05   -4.458669e-05    4.027849e-06    1.618972e-14   -1.589307e-14   -1.413615e-16   -2.861556e-15
   -3.170000e+00    8.630727e-01    1.730587e+00    3.191380e-05   -4.426772e-05    3.856265e-06    1.618811e-14   -1.588587e-14   -1.369317e-16   -2.860804e-15
   -3.160000e+00    8.630727e-01    1.722301e+00    3.194468e-05   -4.394842e-05    3.688606e-06    1.618657e-14   -1.587858e-14   -1.326547e-16   -2.860056e-15
   -3.150000e+00    8.630727e-01    1.714025e+00    3.197189e-05   -4.362884e-05    3.525079e-06    1.618511e-14   -1.587121e-14   -1.285249e-16   -2.859310e-15
   -3.140000e+00    8.630727e-01    1.705758e+00    3.199526e-05   -4.330900e-05    3.365883e-06    1.618371e-14   -1.586376e-14   -1.245371e-16   -2.858567e-15
   -3.130000e+00    8.630727e-01    1.697501e+00    3.201464e-05   -4.298895e-05    3.211204e-06    1.618238e-14   -1.585622e-14   -1.206861e-16   -2.857828e-15
   -3.120000e+00    8.630727e-01    1.689254e+00    3.202987e-05   -4.266872e-05    3.061215e-06    1.618112e-14   -1.584862e-14   -1.169670e-16   -2.857091e-15
   -3.110000e+00    8.630727e-01    1.681016e+00    3.204083e-05   -4.234836e-05    2.916070e-06    1.617991e-14   -1.584093e-14   -1.133751e-16   -2.856358e-15
   -3.100000e+00    8.630727e-01    1.672787e+00    3.204740e-05   -4.202792e-05    2.775906e-06    1.617877e-14   -1.583318e-14   -1.099056e-16   -2.855628e-15
