# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: fs
# Temperature: 85 C
# W = 2.0 um
# L = 1 um (1000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    8.102508e-01    1.961573e+00    6.213536e-05   -1.070497e-04    2.015543e-05    6.594140e-15   -6.339229e-15   -1.365948e-16   -1.131114e-15
   -3.290000e+00    8.102508e-01    1.953167e+00    6.226842e-05   -1.064283e-04    1.973742e-05    6.592065e-15   -6.337961e-15   -1.320806e-16   -1.130743e-15
   -3.280000e+00    8.102508e-01    1.944767e+00    6.240083e-05   -1.058043e-04    1.931972e-05    6.590065e-15   -6.336612e-15   -1.277166e-16   -1.130371e-15
   -3.270000e+00    8.102508e-01    1.936375e+00    6.253253e-05   -1.051796e-04    1.890242e-05    6.588139e-15   -6.335185e-15   -1.234986e-16   -1.130000e-15
   -3.260000e+00    8.102508e-01    1.927990e+00    6.266342e-05   -1.045537e-04    1.848563e-05    6.586285e-15   -6.333680e-15   -1.194223e-16   -1.129629e-15
   -3.250000e+00    8.102508e-01    1.919611e+00    6.279342e-05   -1.039264e-04    1.806947e-05    6.584500e-15   -6.332102e-15   -1.154837e-16   -1.129259e-15
   -3.240000e+00    8.102508e-01    1.911240e+00    6.292243e-05   -1.032978e-04    1.765405e-05    6.582782e-15   -6.330451e-15   -1.116785e-16   -1.128890e-15
   -3.230000e+00    8.102508e-01    1.902876e+00    6.305033e-05   -1.026679e-04    1.723951e-05    6.581130e-15   -6.328731e-15   -1.080028e-16   -1.128521e-15
   -3.220000e+00    8.102508e-01    1.894518e+00    6.317702e-05   -1.020368e-04    1.682599e-05    6.579542e-15   -6.326944e-15   -1.044526e-16   -1.128153e-15
   -3.210000e+00    8.102508e-01    1.886168e+00    6.330237e-05   -1.014044e-04    1.641365e-05    6.578014e-15   -6.325091e-15   -1.010238e-16   -1.127787e-15
   -3.200000e+00    8.102508e-01    1.877825e+00    6.342624e-05   -1.007707e-04    1.600266e-05    6.576547e-15   -6.323175e-15   -9.771277e-17   -1.127421e-15
   -3.190000e+00    8.102508e-01    1.869488e+00    6.354848e-05   -1.001359e-04    1.559319e-05    6.575136e-15   -6.321198e-15   -9.451563e-17   -1.127057e-15
   -3.180000e+00    8.102508e-01    1.861158e+00    6.366894e-05   -9.949978e-05    1.518544e-05    6.573782e-15   -6.319162e-15   -9.142871e-17   -1.126695e-15
   -3.170000e+00    8.102508e-01    1.852836e+00    6.378744e-05   -9.886250e-05    1.477963e-05    6.572481e-15   -6.317068e-15   -8.844840e-17   -1.126333e-15
   -3.160000e+00    8.102508e-01    1.844520e+00    6.390381e-05   -9.822404e-05    1.437596e-05    6.571232e-15   -6.314919e-15   -8.557117e-17   -1.125974e-15
   -3.150000e+00    8.102508e-01    1.836211e+00    6.401784e-05   -9.758443e-05    1.397470e-05    6.570033e-15   -6.312717e-15   -8.279359e-17   -1.125616e-15
   -3.140000e+00    8.102508e-01    1.827908e+00    6.412932e-05   -9.694369e-05    1.357609e-05    6.568882e-15   -6.310462e-15   -8.011230e-17   -1.125260e-15
   -3.130000e+00    8.102508e-01    1.819613e+00    6.423804e-05   -9.630185e-05    1.318040e-05    6.567779e-15   -6.308158e-15   -7.752404e-17   -1.124906e-15
   -3.120000e+00    8.102508e-01    1.811324e+00    6.434375e-05   -9.565894e-05    1.278793e-05    6.566720e-15   -6.305805e-15   -7.502563e-17   -1.124554e-15
   -3.110000e+00    8.102508e-01    1.803042e+00    6.444621e-05   -9.501499e-05    1.239899e-05    6.565704e-15   -6.303405e-15   -7.261397e-17   -1.124203e-15
   -3.100000e+00    8.102508e-01    1.794767e+00    6.454514e-05   -9.437003e-05    1.201389e-05    6.564731e-15   -6.300960e-15   -7.028606e-17   -1.123855e-15
   -3.090000e+00    8.102508e-01    1.786499e+00    6.464027e-05   -9.372410e-05    1.163298e-05    6.563797e-15   -6.298471e-15   -6.803900e-17   -1.123508e-15
