# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 85C
# W = 2.0 um
# L = 4 um (4000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    6.436406e-01    4.502035e+00    1.319556e+01    1.049377e+08    1.288130e-08    1.909108e-10    1.276526e-08    2.319368e-09   -3.300000e+00    7.990467e-01    1.884686e+00
    6.488679e-01    4.647227e+00    1.311062e+01    1.051319e+08    1.287850e-08    1.846359e-10    1.276065e-08    2.318718e-09   -3.290000e+00    7.990467e-01    1.876204e+00
    6.541554e-01    4.800687e+00    1.302542e+01    1.053217e+08    1.287581e-08    1.785785e-10    1.275593e-08    2.318067e-09   -3.280000e+00    7.990467e-01    1.867734e+00
    6.594925e-01    4.963040e+00    1.294014e+01    1.055071e+08    1.287322e-08    1.727314e-10    1.275108e-08    2.317415e-09   -3.270000e+00    7.990467e-01    1.859273e+00
    6.648819e-01    5.134974e+00    1.285473e+01    1.056876e+08    1.287074e-08    1.670876e-10    1.274613e-08    2.316763e-09   -3.260000e+00    7.990467e-01    1.850823e+00
    6.703213e-01    5.317225e+00    1.276921e+01    1.058629e+08    1.286837e-08    1.616402e-10    1.274106e-08    2.316111e-09   -3.250000e+00    7.990467e-01    1.842383e+00
    6.758104e-01    5.510605e+00    1.268355e+01    1.060326e+08    1.286608e-08    1.563828e-10    1.273590e-08    2.315460e-09   -3.240000e+00    7.990467e-01    1.833954e+00
    6.813472e-01    5.715983e+00    1.259777e+01    1.061964e+08    1.286389e-08    1.513086e-10    1.273062e-08    2.314809e-09   -3.230000e+00    7.990467e-01    1.825535e+00
    6.869295e-01    5.934312e+00    1.251188e+01    1.063540e+08    1.286179e-08    1.464115e-10    1.272526e-08    2.314158e-09   -3.220000e+00    7.990467e-01    1.817126e+00
    6.925554e-01    6.166622e+00    1.242588e+01    1.065047e+08    1.285977e-08    1.416852e-10    1.271980e-08    2.313509e-09   -3.210000e+00    7.990467e-01    1.808727e+00
