# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 85C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    6.506005e-01    4.770901e+00    9.554880e+00    5.603696e+07    1.765571e-08    2.641755e-10    1.753244e-08    3.198420e-09   -3.300000e+00    7.978245e-01    1.872496e+00
    6.558772e-01    4.931996e+00    9.492715e+00    5.613650e+07    1.765175e-08    2.554334e-10    1.752596e-08    3.197507e-09   -3.290000e+00    7.978245e-01    1.864051e+00
    6.612118e-01    5.102628e+00    9.430360e+00    5.623348e+07    1.764794e-08    2.469961e-10    1.751933e-08    3.196593e-09   -3.280000e+00    7.978245e-01    1.855617e+00
    6.665939e-01    5.283550e+00    9.367960e+00    5.632775e+07    1.764429e-08    2.388535e-10    1.751253e-08    3.195679e-09   -3.270000e+00    7.978245e-01    1.847193e+00
    6.720261e-01    5.475583e+00    9.305465e+00    5.641917e+07    1.764078e-08    2.309957e-10    1.750557e-08    3.194764e-09   -3.260000e+00    7.978245e-01    1.838780e+00
    6.775051e-01    5.679602e+00    9.242890e+00    5.650744e+07    1.763741e-08    2.234131e-10    1.749847e-08    3.193850e-09   -3.250000e+00    7.978245e-01    1.830377e+00
    6.830301e-01    5.896577e+00    9.180225e+00    5.659241e+07    1.763418e-08    2.160964e-10    1.749121e-08    3.192936e-09   -3.240000e+00    7.978245e-01    1.821985e+00
    6.885994e-01    6.127569e+00    9.117485e+00    5.667391e+07    1.763107e-08    2.090365e-10    1.748382e-08    3.192024e-09   -3.230000e+00    7.978245e-01    1.813603e+00
    6.942105e-01    6.373711e+00    9.054660e+00    5.675159e+07    1.762809e-08    2.022244e-10    1.747629e-08    3.191113e-09   -3.220000e+00    7.978245e-01    1.805231e+00
    6.998615e-01    6.636254e+00    8.991765e+00    5.682537e+07    1.762523e-08    1.956516e-10    1.746863e-08    3.190203e-09   -3.210000e+00    7.978245e-01    1.796870e+00
    7.055479e-01    6.916538e+00    8.928805e+00    5.689480e+07    1.762250e-08    1.893097e-10    1.746085e-08    3.189295e-09   -3.200000e+00    7.978245e-01    1.788519e+00
    7.112689e-01    7.216037e+00    8.865775e+00    5.695973e+07    1.761987e-08    1.831905e-10    1.745293e-08    3.188390e-09   -3.190000e+00    7.978245e-01    1.780179e+00
    7.170204e-01    7.536333e+00    8.802685e+00    5.701987e+07    1.761735e-08    1.772862e-10    1.744491e-08    3.187487e-09   -3.180000e+00    7.978245e-01    1.771848e+00
    7.227983e-01    7.879132e+00    8.739540e+00    5.707485e+07    1.761494e-08    1.715890e-10    1.743676e-08    3.186587e-09   -3.170000e+00    7.978245e-01    1.763528e+00
    7.286002e-01    8.246302e+00    8.676350e+00    5.712451e+07    1.761262e-08    1.660917e-10    1.742851e-08    3.185690e-09   -3.160000e+00    7.978245e-01    1.755218e+00
    7.344211e-01    8.639816e+00    8.613110e+00    5.716840e+07    1.761040e-08    1.607870e-10    1.742014e-08    3.184795e-09   -3.150000e+00    7.978245e-01    1.746919e+00
    7.402571e-01    9.061815e+00    8.549840e+00    5.720631e+07    1.760828e-08    1.556679e-10    1.741168e-08    3.183904e-09   -3.140000e+00    7.978245e-01    1.738629e+00
