# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: sf
# Temperature: -40 C
# W = 2.0 um
# L = 0.28 um (280 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    6.975308e-01    1.830172e+00    2.122802e-04   -5.370621e-04    1.200902e-04    1.977216e-15   -1.589865e-15   -8.198296e-17   -2.156135e-16
   -3.290000e+00    6.975308e-01    1.824014e+00    2.130572e-04   -5.349393e-04    1.186994e-04    1.975679e-15   -1.590777e-15   -7.888503e-17   -2.153093e-16
   -3.280000e+00    6.975308e-01    1.817855e+00    2.138343e-04   -5.328010e-04    1.173092e-04    1.974181e-15   -1.591653e-15   -7.586418e-17   -2.150103e-16
   -3.270000e+00    6.975308e-01    1.811694e+00    2.146115e-04   -5.306587e-04    1.159200e-04    1.972722e-15   -1.592493e-15   -7.292024e-17   -2.147167e-16
   -3.260000e+00    6.975308e-01    1.805533e+00    2.153884e-04   -5.285087e-04    1.145320e-04    1.971302e-15   -1.593299e-15   -7.005294e-17   -2.144284e-16
   -3.250000e+00    6.975308e-01    1.799370e+00    2.161649e-04   -5.263510e-04    1.131456e-04    1.969921e-15   -1.594069e-15   -6.726188e-17   -2.141454e-16
   -3.240000e+00    6.975308e-01    1.793205e+00    2.169407e-04   -5.241854e-04    1.117611e-04    1.968578e-15   -1.594806e-15   -6.454657e-17   -2.138678e-16
   -3.230000e+00    6.975308e-01    1.787040e+00    2.177155e-04   -5.220122e-04    1.103791e-04    1.967275e-15   -1.595509e-15   -6.190637e-17   -2.135955e-16
   -3.220000e+00    6.975308e-01    1.780873e+00    2.184891e-04   -5.198311e-04    1.089998e-04    1.966009e-15   -1.596178e-15   -5.934058e-17   -2.133286e-16
   -3.210000e+00    6.975308e-01    1.774705e+00    2.192612e-04   -5.176424e-04    1.076237e-04    1.964782e-15   -1.596815e-15   -5.684839e-17   -2.130669e-16
   -3.200000e+00    6.975308e-01    1.768535e+00    2.200315e-04   -5.154459e-04    1.062512e-04    1.963593e-15   -1.597420e-15   -5.442890e-17   -2.128106e-16
   -3.190000e+00    6.975308e-01    1.762364e+00    2.207997e-04   -5.132418e-04    1.048828e-04    1.962441e-15   -1.597993e-15   -5.208113e-17   -2.125595e-16
   -3.180000e+00    6.975308e-01    1.756192e+00    2.215655e-04   -5.110299e-04    1.035190e-04    1.961326e-15   -1.598535e-15   -4.980402e-17   -2.123137e-16
   -3.170000e+00    6.975308e-01    1.750018e+00    2.223285e-04   -5.088105e-04    1.021603e-04    1.960247e-15   -1.599047e-15   -4.759644e-17   -2.120731e-16
   -3.160000e+00    6.975308e-01    1.743843e+00    2.230884e-04   -5.065834e-04    1.008071e-04    1.959205e-15   -1.599529e-15   -4.545721e-17   -2.118376e-16
   -3.150000e+00    6.975308e-01    1.737667e+00    2.238447e-04   -5.043487e-04    9.945999e-05    1.958198e-15   -1.599982e-15   -4.338507e-17   -2.116073e-16
   -3.140000e+00    6.975308e-01    1.731488e+00    2.245972e-04   -5.021065e-04    9.811955e-05    1.957225e-15   -1.600407e-15   -4.137874e-17   -2.113819e-16
   -3.130000e+00    6.975308e-01    1.725309e+00    2.253455e-04   -4.998568e-04    9.678628e-05    1.956287e-15   -1.600804e-15   -3.943687e-17   -2.111616e-16
   -3.120000e+00    6.975308e-01    1.719127e+00    2.260892e-04   -4.975996e-04    9.546076e-05    1.955382e-15   -1.601174e-15   -3.755808e-17   -2.109461e-16
   -3.110000e+00    6.975308e-01    1.712945e+00    2.268278e-04   -4.953350e-04    9.414355e-05    1.954510e-15   -1.601517e-15   -3.574097e-17   -2.107356e-16
   -3.100000e+00    6.975308e-01    1.706760e+00    2.275609e-04   -4.930631e-04    9.283520e-05    1.953671e-15   -1.601836e-15   -3.398409e-17   -2.105298e-16
   -3.090000e+00    6.975308e-01    1.700574e+00    2.282882e-04   -4.907838e-04    9.153629e-05    1.952862e-15   -1.602129e-15   -3.228600e-17   -2.103286e-16
   -3.080000e+00    6.975308e-01    1.694387e+00    2.290093e-04   -4.884973e-04    9.024740e-05    1.952084e-15   -1.602398e-15   -3.064523e-17   -2.101322e-16
   -3.070000e+00    6.975308e-01    1.688197e+00    2.297237e-04   -4.862036e-04    8.896907e-05    1.951337e-15   -1.602644e-15   -2.906028e-17   -2.099402e-16
   -3.060000e+00    6.975308e-01    1.682006e+00    2.304309e-04   -4.839029e-04    8.770186e-05    1.950618e-15   -1.602867e-15   -2.752968e-17   -2.097527e-16
   -3.050000e+00    6.975308e-01    1.675814e+00    2.311307e-04   -4.815950e-04    8.644631e-05    1.949927e-15   -1.603067e-15   -2.605194e-17   -2.095696e-16
   -3.040000e+00    6.975308e-01    1.669619e+00    2.318226e-04   -4.792803e-04    8.520296e-05    1.949265e-15   -1.603247e-15   -2.462556e-17   -2.093908e-16
