# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: sf
# Temperature: -40 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    7.507361e-01    1.916844e+00    2.495779e-05   -4.398176e-05    6.952457e-06    2.718935e-14   -2.696599e-14   -5.948481e-16   -4.627619e-15
   -3.290000e+00    7.507361e-01    1.908386e+00    2.503679e-05   -4.373218e-05    6.773208e-06    2.718043e-14   -2.696108e-14   -5.746777e-16   -4.626505e-15
   -3.280000e+00    7.507361e-01    1.899937e+00    2.511523e-05   -4.348102e-05    6.594285e-06    2.717187e-14   -2.695580e-14   -5.551897e-16   -4.625377e-15
   -3.270000e+00    7.507361e-01    1.891499e+00    2.519307e-05   -4.322948e-05    6.415760e-06    2.716366e-14   -2.695016e-14   -5.363649e-16   -4.624236e-15
   -3.260000e+00    7.507361e-01    1.883070e+00    2.527024e-05   -4.297717e-05    6.237711e-06    2.715578e-14   -2.694417e-14   -5.181842e-16   -4.623082e-15
   -3.250000e+00    7.507361e-01    1.874651e+00    2.534666e-05   -4.272408e-05    6.060223e-06    2.714822e-14   -2.693784e-14   -5.006289e-16   -4.621917e-15
   -3.240000e+00    7.507361e-01    1.866241e+00    2.542228e-05   -4.247024e-05    5.883387e-06    2.714099e-14   -2.693118e-14   -4.836801e-16   -4.620741e-15
   -3.230000e+00    7.507361e-01    1.857842e+00    2.549700e-05   -4.221564e-05    5.707300e-06    2.713406e-14   -2.692421e-14   -4.673195e-16   -4.619557e-15
   -3.220000e+00    7.507361e-01    1.849451e+00    2.557074e-05   -4.196030e-05    5.532068e-06    2.712743e-14   -2.691693e-14   -4.515288e-16   -4.618365e-15
   -3.210000e+00    7.507361e-01    1.841071e+00    2.564340e-05   -4.170423e-05    5.357803e-06    2.712109e-14   -2.690936e-14   -4.362902e-16   -4.617166e-15
   -3.200000e+00    7.507361e-01    1.832700e+00    2.571490e-05   -4.144743e-05    5.184626e-06    2.711503e-14   -2.690150e-14   -4.215860e-16   -4.615961e-15
   -3.190000e+00    7.507361e-01    1.824339e+00    2.578511e-05   -4.118993e-05    5.012665e-06    2.710924e-14   -2.689337e-14   -4.073990e-16   -4.614751e-15
   -3.180000e+00    7.507361e-01    1.815987e+00    2.585394e-05   -4.093174e-05    4.842057e-06    2.710371e-14   -2.688497e-14   -3.937123e-16   -4.613537e-15
   -3.170000e+00    7.507361e-01    1.807645e+00    2.592127e-05   -4.067286e-05    4.672946e-06    2.709844e-14   -2.687631e-14   -3.805092e-16   -4.612320e-15
   -3.160000e+00    7.507361e-01    1.799313e+00    2.598696e-05   -4.041332e-05    4.505486e-06    2.709341e-14   -2.686740e-14   -3.677737e-16   -4.611100e-15
   -3.150000e+00    7.507361e-01    1.790990e+00    2.605088e-05   -4.015313e-05    4.339835e-06    2.708862e-14   -2.685825e-14   -3.554898e-16   -4.609878e-15
   -3.140000e+00    7.507361e-01    1.782677e+00    2.611291e-05   -3.989231e-05    4.176162e-06    2.708406e-14   -2.684887e-14   -3.436422e-16   -4.608655e-15
   -3.130000e+00    7.507361e-01    1.774373e+00    2.617289e-05   -3.963087e-05    4.014641e-06    2.707971e-14   -2.683926e-14   -3.322159e-16   -4.607432e-15
   -3.120000e+00    7.507361e-01    1.766078e+00    2.623068e-05   -3.936885e-05    3.855451e-06    2.707558e-14   -2.682944e-14   -3.211961e-16   -4.606208e-15
   -3.110000e+00    7.507361e-01    1.757793e+00    2.628612e-05   -3.910627e-05    3.698777e-06    2.707166e-14   -2.681941e-14   -3.105688e-16   -4.604986e-15
   -3.100000e+00    7.507361e-01    1.749517e+00    2.633907e-05   -3.884314e-05    3.544807e-06    2.706793e-14   -2.680917e-14   -3.003199e-16   -4.603764e-15
   -3.090000e+00    7.507361e-01    1.741251e+00    2.638935e-05   -3.857950e-05    3.393730e-06    2.706439e-14   -2.679875e-14   -2.904362e-16   -4.602545e-15
   -3.080000e+00    7.507361e-01    1.732994e+00    2.643682e-05   -3.831536e-05    3.245737e-06    2.706104e-14   -2.678813e-14   -2.809046e-16   -4.601327e-15
   -3.070000e+00    7.507361e-01    1.724747e+00    2.648131e-05   -3.805077e-05    3.101016e-06    2.705786e-14   -2.677733e-14   -2.717124e-16   -4.600112e-15
   -3.060000e+00    7.507361e-01    1.716509e+00    2.652268e-05   -3.778575e-05    2.959750e-06    2.705485e-14   -2.676636e-14   -2.628474e-16   -4.598900e-15
   -3.050000e+00    7.507361e-01    1.708280e+00    2.656077e-05   -3.752033e-05    2.822117e-06    2.705201e-14   -2.675522e-14   -2.542978e-16   -4.597691e-15
   -3.040000e+00    7.507361e-01    1.700060e+00    2.659544e-05   -3.725454e-05    2.688286e-06    2.704932e-14   -2.674391e-14   -2.460521e-16   -4.596486e-15
   -3.030000e+00    7.507361e-01    1.691850e+00    2.662656e-05   -3.698843e-05    2.558413e-06    2.704679e-14   -2.673244e-14   -2.380991e-16   -4.595285e-15
   -3.020000e+00    7.507361e-01    1.683649e+00    2.665401e-05   -3.672202e-05    2.432642e-06    2.704440e-14   -2.672083e-14   -2.304282e-16   -4.594088e-15
   -3.010000e+00    7.507361e-01    1.675457e+00    2.667767e-05   -3.645536e-05    2.311100e-06    2.704214e-14   -2.670906e-14   -2.230289e-16   -4.592895e-15
   -3.000000e+00    7.507361e-01    1.667275e+00    2.669745e-05   -3.618848e-05    2.193895e-06    2.704002e-14   -2.669715e-14   -2.158914e-16   -4.591707e-15
   -2.990000e+00    7.507361e-01    1.659101e+00    2.671328e-05   -3.592143e-05    2.081116e-06    2.703803e-14   -2.668511e-14   -2.090058e-16   -4.590523e-15
   -2.980000e+00    7.507361e-01    1.650937e+00    2.672508e-05   -3.565423e-05    1.972829e-06    2.703617e-14   -2.667292e-14   -2.023630e-16   -4.589345e-15
   -2.970000e+00    7.507361e-01    1.642782e+00    2.673283e-05   -3.538694e-05    1.869077e-06    2.703442e-14   -2.666061e-14   -1.959538e-16   -4.588171e-15
   -2.960000e+00    7.507361e-01    1.634636e+00    2.673649e-05   -3.511959e-05    1.769881e-06    2.703278e-14   -2.664818e-14   -1.897696e-16   -4.587003e-15
   -2.950000e+00    7.507361e-01    1.626500e+00    2.673606e-05   -3.485222e-05    1.675237e-06    2.703125e-14   -2.663562e-14   -1.838020e-16   -4.585840e-15
   -2.940000e+00    7.507361e-01    1.618372e+00    2.673156e-05   -3.458488e-05    1.585116e-06    2.702983e-14   -2.662294e-14   -1.780431e-16   -4.584683e-15
   -2.930000e+00    7.507361e-01    1.610253e+00    2.672302e-05   -3.431760e-05    1.499469e-06    2.702850e-14   -2.661015e-14   -1.724849e-16   -4.583530e-15
   -2.920000e+00    7.507361e-01    1.602144e+00    2.671049e-05   -3.405043e-05    1.418225e-06    2.702727e-14   -2.659725e-14   -1.671201e-16   -4.582384e-15
   -2.910000e+00    7.507361e-01    1.594043e+00    2.669405e-05   -3.378341e-05    1.341292e-06    2.702613e-14   -2.658424e-14   -1.619413e-16   -4.581242e-15
   -2.900000e+00    7.507361e-01    1.585952e+00    2.667377e-05   -3.351657e-05    1.268561e-06    2.702508e-14   -2.657113e-14   -1.569418e-16   -4.580106e-15
   -2.890000e+00    7.507361e-01    1.577870e+00    2.664975e-05   -3.324995e-05    1.199907e-06    2.702411e-14   -2.655792e-14   -1.521148e-16   -4.578976e-15
   -2.880000e+00    7.507361e-01    1.569796e+00    2.662210e-05   -3.298358e-05    1.135192e-06    2.702321e-14   -2.654460e-14   -1.474538e-16   -4.577851e-15
   -2.870000e+00    7.507361e-01    1.561732e+00    2.659093e-05   -3.271752e-05    1.074267e-06    2.702240e-14   -2.653119e-14   -1.429527e-16   -4.576732e-15
   -2.860000e+00    7.507361e-01    1.553676e+00    2.655637e-05   -3.245178e-05    1.016974e-06    2.702165e-14   -2.651769e-14   -1.386056e-16   -4.575617e-15
   -2.850000e+00    7.507361e-01    1.545629e+00    2.651855e-05   -3.218640e-05    9.631510e-07    2.702098e-14   -2.650409e-14   -1.344067e-16   -4.574509e-15
   -2.840000e+00    7.507361e-01    1.537592e+00    2.647761e-05   -3.192142e-05    9.126293e-07    2.702037e-14   -2.649041e-14   -1.303506e-16   -4.573405e-15
   -2.830000e+00    7.507361e-01    1.529563e+00    2.643367e-05   -3.165686e-05    8.652401e-07    2.701982e-14   -2.647664e-14   -1.264319e-16   -4.572307e-15
   -2.820000e+00    7.507361e-01    1.521543e+00    2.638688e-05   -3.139275e-05    8.208143e-07    2.701933e-14   -2.646278e-14   -1.226455e-16   -4.571213e-15
   -2.810000e+00    7.507361e-01    1.513532e+00    2.633737e-05   -3.112913e-05    7.791844e-07    2.701890e-14   -2.644884e-14   -1.189865e-16   -4.570125e-15
   -2.800000e+00    7.507361e-01    1.505529e+00    2.628527e-05   -3.086601e-05    7.401862e-07    2.701852e-14   -2.643482e-14   -1.154503e-16   -4.569042e-15
   -2.790000e+00    7.507361e-01    1.497536e+00    2.623071e-05   -3.060343e-05    7.036597e-07    2.701819e-14   -2.642072e-14   -1.120323e-16   -4.567963e-15
   -2.780000e+00    7.507361e-01    1.489551e+00    2.617382e-05   -3.034141e-05    6.694500e-07    2.701790e-14   -2.640655e-14   -1.087281e-16   -4.566890e-15
   -2.770000e+00    7.507361e-01    1.481575e+00    2.611471e-05   -3.007996e-05    6.374084e-07    2.701767e-14   -2.639229e-14   -1.055337e-16   -4.565821e-15
   -2.760000e+00    7.507361e-01    1.473608e+00    2.605351e-05   -2.981912e-05    6.073924e-07    2.701747e-14   -2.637797e-14   -1.024448e-16   -4.564756e-15
   -2.750000e+00    7.507361e-01    1.465649e+00    2.599032e-05   -2.955890e-05    5.792667e-07    2.701732e-14   -2.636357e-14   -9.945783e-17   -4.563696e-15
   -2.740000e+00    7.507361e-01    1.457699e+00    2.592525e-05   -2.929932e-05    5.529030e-07    2.701720e-14   -2.634909e-14   -9.656890e-17   -4.562640e-15
   -2.730000e+00    7.507361e-01    1.449758e+00    2.585840e-05   -2.904040e-05    5.281800e-07    2.701712e-14   -2.633455e-14   -9.377448e-17   -4.561588e-15
   -2.720000e+00    7.507361e-01    1.441826e+00    2.578986e-05   -2.878216e-05    5.049838e-07    2.701707e-14   -2.631994e-14   -9.107113e-17   -4.560540e-15
   -2.710000e+00    7.507361e-01    1.433902e+00    2.571971e-05   -2.852461e-05    4.832076e-07    2.701706e-14   -2.630525e-14   -8.845557e-17   -4.559496e-15
   -2.700000e+00    7.507361e-01    1.425987e+00    2.564805e-05   -2.826777e-05    4.627513e-07    2.701707e-14   -2.629051e-14   -8.592461e-17   -4.558456e-15
   -2.690000e+00    7.507361e-01    1.418080e+00    2.557494e-05   -2.801165e-05    4.435215e-07    2.701711e-14   -2.627569e-14   -8.347521e-17   -4.557419e-15
   -2.680000e+00    7.507361e-01    1.410182e+00    2.550047e-05   -2.775627e-05    4.254314e-07    2.701717e-14   -2.626081e-14   -8.110444e-17   -4.556385e-15
   -2.670000e+00    7.507361e-01    1.402293e+00    2.542468e-05   -2.750165e-05    4.084000e-07    2.701726e-14   -2.624586e-14   -7.880947e-17   -4.555355e-15
   -2.660000e+00    7.507361e-01    1.394412e+00    2.534766e-05   -2.724778e-05    3.923524e-07    2.701737e-14   -2.623085e-14   -7.658761e-17   -4.554328e-15
   -2.650000e+00    7.507361e-01    1.386540e+00    2.526945e-05   -2.699470e-05    3.772189e-07    2.701750e-14   -2.621578e-14   -7.443625e-17   -4.553304e-15
   -2.640000e+00    7.507361e-01    1.378676e+00    2.519010e-05   -2.674240e-05    3.629350e-07    2.701765e-14   -2.620064e-14   -7.235287e-17   -4.552283e-15
   -2.630000e+00    7.507361e-01    1.370821e+00    2.510967e-05   -2.649090e-05    3.494411e-07    2.701781e-14   -2.618544e-14   -7.033508e-17   -4.551265e-15
   -2.620000e+00    7.507361e-01    1.362974e+00    2.502821e-05   -2.624021e-05    3.366819e-07    2.701798e-14   -2.617018e-14   -6.838057e-17   -4.550249e-15
   -2.610000e+00    7.507361e-01    1.355136e+00    2.494574e-05   -2.599034e-05    3.246063e-07    2.701817e-14   -2.615486e-14   -6.648709e-17   -4.549235e-15
   -2.600000e+00    7.507361e-01    1.347306e+00    2.486232e-05   -2.574130e-05    3.131673e-07    2.701838e-14   -2.613948e-14   -6.465252e-17   -4.548223e-15
   -2.590000e+00    7.507361e-01    1.339484e+00    2.477798e-05   -2.549309e-05    3.023213e-07    2.701859e-14   -2.612403e-14   -6.287479e-17   -4.547214e-15
   -2.580000e+00    7.507361e-01    1.331671e+00    2.469275e-05   -2.524574e-05    2.920279e-07    2.701881e-14   -2.610853e-14   -6.115192e-17   -4.546206e-15
   -2.570000e+00    7.507361e-01    1.323867e+00    2.460666e-05   -2.499924e-05    2.822501e-07    2.701903e-14   -2.609296e-14   -5.948200e-17   -4.545200e-15
   -2.560000e+00    7.507361e-01    1.316070e+00    2.451974e-05   -2.475361e-05    2.729535e-07    2.701926e-14   -2.607734e-14   -5.786321e-17   -4.544196e-15
   -2.550000e+00    7.507361e-01    1.308282e+00    2.443202e-05   -2.450885e-05    2.641063e-07    2.701950e-14   -2.606166e-14   -5.629378e-17   -4.543193e-15
   -2.540000e+00    7.507361e-01    1.300503e+00    2.434351e-05   -2.426497e-05    2.556793e-07    2.701974e-14   -2.604592e-14   -5.477201e-17   -4.542191e-15
   -2.530000e+00    7.507361e-01    1.292731e+00    2.425425e-05   -2.402198e-05    2.476454e-07    2.701998e-14   -2.603011e-14   -5.329627e-17   -4.541190e-15
   -2.520000e+00    7.507361e-01    1.284968e+00    2.416426e-05   -2.377989e-05    2.399794e-07    2.702022e-14   -2.601425e-14   -5.186499e-17   -4.540191e-15
   -2.510000e+00    7.507361e-01    1.277213e+00    2.407354e-05   -2.353870e-05    2.326582e-07    2.702046e-14   -2.599833e-14   -5.047665e-17   -4.539192e-15
   -2.500000e+00    7.507361e-01    1.269467e+00    2.398212e-05   -2.329842e-05    2.256604e-07    2.702069e-14   -2.598235e-14   -4.912981e-17   -4.538193e-15
   -2.490000e+00    7.507361e-01    1.261729e+00    2.389002e-05   -2.305906e-05    2.189661e-07    2.702092e-14   -2.596632e-14   -4.782305e-17   -4.537195e-15
   -2.480000e+00    7.507361e-01    1.253999e+00    2.379725e-05   -2.282062e-05    2.125568e-07    2.702115e-14   -2.595022e-14   -4.655503e-17   -4.536197e-15
   -2.470000e+00    7.507361e-01    1.246277e+00    2.370382e-05   -2.258312e-05    2.064156e-07    2.702137e-14   -2.593406e-14   -4.532445e-17   -4.535199e-15
