# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 1 um (1000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    5.116018e-01    2.652085e+00    8.706915e+01    2.057570e+09    3.445576e-09    1.010879e-10    3.308276e-09    5.575845e-10   -3.300000e+00    7.627552e-01    1.947828e+00
    5.160334e-01    2.712841e+00    8.662370e+01    2.065686e+09    3.444058e-09    9.772970e-11    3.308304e-09    5.574265e-10   -3.290000e+00    7.627552e-01    1.939693e+00
    5.205264e-01    2.775994e+00    8.617515e+01    2.073764e+09    3.442593e-09    9.447605e-11    3.308275e-09    5.572670e-10   -3.280000e+00    7.627552e-01    1.931563e+00
    5.250673e-01    2.841674e+00    8.572580e+01    2.081802e+09    3.441180e-09    9.132475e-11    3.308190e-09    5.571060e-10   -3.270000e+00    7.627552e-01    1.923441e+00
    5.296611e-01    2.910019e+00    8.527490e+01    2.089797e+09    3.439818e-09    8.827355e-11    3.308051e-09    5.569440e-10   -3.260000e+00    7.627552e-01    1.915324e+00
    5.343076e-01    2.981174e+00    8.482250e+01    2.097746e+09    3.438505e-09    8.532015e-11    3.307859e-09    5.567805e-10   -3.250000e+00    7.627552e-01    1.907215e+00
    5.390077e-01    3.055295e+00    8.436850e+01    2.105646e+09    3.437242e-09    8.246225e-11    3.307615e-09    5.566165e-10   -3.240000e+00    7.627552e-01    1.899111e+00
    5.437613e-01    3.132545e+00    8.391295e+01    2.113493e+09    3.436027e-09    7.969755e-11    3.307321e-09    5.564510e-10   -3.230000e+00    7.627552e-01    1.891015e+00
    5.485682e-01    3.213099e+00    8.345590e+01    2.121285e+09    3.434858e-09    7.702370e-11    3.306979e-09    5.562850e-10   -3.220000e+00    7.627552e-01    1.882924e+00
    5.534283e-01    3.297141e+00    8.299735e+01    2.129017e+09    3.433734e-09    7.443830e-11    3.306588e-09    5.561180e-10   -3.210000e+00    7.627552e-01    1.874840e+00
    5.583420e-01    3.384868e+00    8.253725e+01    2.136684e+09    3.432655e-09    7.193900e-11    3.306153e-09    5.559510e-10   -3.200000e+00    7.627552e-01    1.866763e+00
    5.633087e-01    3.476485e+00    8.207565e+01    2.144282e+09    3.431619e-09    6.952350e-11    3.305672e-09    5.557830e-10   -3.190000e+00    7.627552e-01    1.858691e+00
    5.683279e-01    3.572208e+00    8.161260e+01    2.151806e+09    3.430625e-09    6.718940e-11    3.305149e-09    5.556150e-10   -3.180000e+00    7.627552e-01    1.850627e+00
    5.733998e-01    3.672271e+00    8.114800e+01    2.159250e+09    3.429672e-09    6.493445e-11    3.304583e-09    5.554465e-10   -3.170000e+00    7.627552e-01    1.842568e+00
    5.785230e-01    3.776914e+00    8.068200e+01    2.166608e+09    3.428759e-09    6.275635e-11    3.303976e-09    5.552780e-10   -3.160000e+00    7.627552e-01    1.834516e+00
