# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    5.543382e-01    3.287186e+00    3.528803e+01    3.650150e+08    8.529265e-09    1.906110e-10    8.413100e-09    1.433961e-09   -3.300000e+00    7.531822e-01    1.931537e+00
    5.592491e-01    3.378031e+00    3.509241e+01    3.663274e+08    8.526470e-09    1.842065e-10    8.411800e-09    1.433626e-09   -3.290000e+00    7.531822e-01    1.923079e+00
    5.642265e-01    3.473257e+00    3.489552e+01    3.676296e+08    8.523790e-09    1.780158e-10    8.410380e-09    1.433287e-09   -3.280000e+00    7.531822e-01    1.914631e+00
    5.692550e-01    3.573155e+00    3.469831e+01    3.689213e+08    8.521215e-09    1.720331e-10    8.408845e-09    1.432942e-09   -3.270000e+00    7.531822e-01    1.906192e+00
    5.743396e-01    3.678038e+00    3.450048e+01    3.702017e+08    8.518745e-09    1.662524e-10    8.407200e-09    1.432594e-09   -3.260000e+00    7.531822e-01    1.897763e+00
    5.794805e-01    3.788246e+00    3.430201e+01    3.714700e+08    8.516375e-09    1.606681e-10    8.405450e-09    1.432242e-09   -3.250000e+00    7.531822e-01    1.889343e+00
    5.846769e-01    3.904138e+00    3.410293e+01    3.727252e+08    8.514105e-09    1.552743e-10    8.403595e-09    1.431887e-09   -3.240000e+00    7.531822e-01    1.880932e+00
    5.899289e-01    4.026110e+00    3.390323e+01    3.739666e+08    8.511930e-09    1.500655e-10    8.401640e-09    1.431529e-09   -3.230000e+00    7.531822e-01    1.872531e+00
    5.952357e-01    4.154585e+00    3.370292e+01    3.751930e+08    8.509850e-09    1.450359e-10    8.399590e-09    1.431167e-09   -3.220000e+00    7.531822e-01    1.864139e+00
    6.005967e-01    4.290018e+00    3.350201e+01    3.764034e+08    8.507860e-09    1.401801e-10    8.397445e-09    1.430804e-09   -3.210000e+00    7.531822e-01    1.855756e+00
    6.060109e-01    4.432901e+00    3.330050e+01    3.775967e+08    8.505955e-09    1.354928e-10    8.395205e-09    1.430438e-09   -3.200000e+00    7.531822e-01    1.847382e+00
    6.114774e-01    4.583762e+00    3.309840e+01    3.787714e+08    8.504140e-09    1.309684e-10    8.392880e-09    1.430070e-09   -3.190000e+00    7.531822e-01    1.839018e+00
    6.169951e-01    4.743171e+00    3.289572e+01    3.799266e+08    8.502400e-09    1.266019e-10    8.390470e-09    1.429701e-09   -3.180000e+00    7.531822e-01    1.830663e+00
    6.225624e-01    4.911740e+00    3.269248e+01    3.810604e+08    8.500745e-09    1.223880e-10    8.387980e-09    1.429331e-09   -3.170000e+00    7.531822e-01    1.822317e+00
    6.281776e-01    5.090124e+00    3.248866e+01    3.821714e+08    8.499165e-09    1.183218e-10    8.385410e-09    1.428959e-09   -3.160000e+00    7.531822e-01    1.813980e+00
    6.338391e-01    5.279028e+00    3.228431e+01    3.832582e+08    8.497655e-09    1.143982e-10    8.382760e-09    1.428587e-09   -3.150000e+00    7.531822e-01    1.805652e+00
    6.395445e-01    5.479201e+00    3.207941e+01    3.843187e+08    8.496220e-09    1.106127e-10    8.380040e-09    1.428214e-09   -3.140000e+00    7.531822e-01    1.797333e+00
    6.452919e-01    5.691450e+00    3.187399e+01    3.853512e+08    8.494855e-09    1.069604e-10    8.377245e-09    1.427841e-09   -3.130000e+00    7.531822e-01    1.789024e+00
    6.510784e-01    5.916630e+00    3.166806e+01    3.863539e+08    8.493555e-09    1.034368e-10    8.374380e-09    1.427467e-09   -3.120000e+00    7.531822e-01    1.780723e+00
    6.569014e-01    6.155649e+00    3.146163e+01    3.873246e+08    8.492320e-09    1.000376e-10    8.371450e-09    1.427094e-09   -3.110000e+00    7.531822e-01    1.772432e+00
    6.627578e-01    6.409468e+00    3.125472e+01    3.882614e+08    8.491145e-09    9.675820e-11    8.368460e-09    1.426720e-09   -3.100000e+00    7.531822e-01    1.764150e+00
    6.686443e-01    6.679105e+00    3.104734e+01    3.891619e+08    8.490035e-09    9.359465e-11    8.365400e-09    1.426347e-09   -3.090000e+00    7.531822e-01    1.755876e+00
    6.745576e-01    6.965626e+00    3.083953e+01    3.900241e+08    8.488980e-09    9.054280e-11    8.362285e-09    1.425974e-09   -3.080000e+00    7.531822e-01    1.747612e+00
    6.804942e-01    7.270149e+00    3.063129e+01    3.908458e+08    8.487980e-09    8.759865e-11    8.359110e-09    1.425603e-09   -3.070000e+00    7.531822e-01    1.739356e+00
    6.864500e-01    7.593831e+00    3.042264e+01    3.916247e+08    8.487035e-09    8.475845e-11    8.355880e-09    1.425231e-09   -3.060000e+00    7.531822e-01    1.731110e+00
    6.924214e-01    7.937881e+00    3.021363e+01    3.923587e+08    8.486140e-09    8.201840e-11    8.352595e-09    1.424861e-09   -3.050000e+00    7.531822e-01    1.722872e+00
    6.984042e-01    8.303531e+00    3.000425e+01    3.930454e+08    8.485295e-09    7.937500e-11    8.349260e-09    1.424491e-09   -3.040000e+00    7.531822e-01    1.714643e+00
    7.043946e-01    8.692046e+00    2.979453e+01    3.936830e+08    8.484495e-09    7.682465e-11    8.345870e-09    1.424123e-09   -3.030000e+00    7.531822e-01    1.706423e+00
    7.103885e-01    9.104703e+00    2.958451e+01    3.942692e+08    8.483745e-09    7.436410e-11    8.342435e-09    1.423756e-09   -3.020000e+00    7.531822e-01    1.698212e+00
    7.163818e-01    9.542788e+00    2.937421e+01    3.948023e+08    8.483035e-09    7.199000e-11    8.338950e-09    1.423390e-09   -3.010000e+00    7.531822e-01    1.690010e+00
    7.223712e-01    1.000758e+01    2.916366e+01    3.952804e+08    8.482370e-09    6.969920e-11    8.335420e-09    1.423025e-09   -3.000000e+00    7.531822e-01    1.681817e+00
    7.283528e-01    1.050033e+01    2.895288e+01    3.957022e+08    8.481745e-09    6.748870e-11    8.331845e-09    1.422662e-09   -2.990000e+00    7.531822e-01    1.673632e+00
    7.343230e-01    1.102226e+01    2.874191e+01    3.960661e+08    8.481160e-09    6.535560e-11    8.328225e-09    1.422300e-09   -2.980000e+00    7.531822e-01    1.665457e+00
    7.402790e-01    1.157452e+01    2.853078e+01    3.963712e+08    8.480610e-09    6.329695e-11    8.324570e-09    1.421940e-09   -2.970000e+00    7.531822e-01    1.657289e+00
    7.462182e-01    1.215822e+01    2.831950e+01    3.966166e+08    8.480095e-09    6.131010e-11    8.320870e-09    1.421581e-09   -2.960000e+00    7.531822e-01    1.649131e+00
    7.521379e-01    1.277437e+01    2.810814e+01    3.968015e+08    8.479620e-09    5.939235e-11    8.317130e-09    1.421223e-09   -2.950000e+00    7.531822e-01    1.640981e+00
    7.580363e-01    1.342385e+01    2.789669e+01    3.969257e+08    8.479175e-09    5.754120e-11    8.313355e-09    1.420867e-09   -2.940000e+00    7.531822e-01    1.632841e+00
    7.639120e-01    1.410747e+01    2.768521e+01    3.969894e+08    8.478760e-09    5.575415e-11    8.309545e-09    1.420513e-09   -2.930000e+00    7.531822e-01    1.624708e+00
    7.697638e-01    1.482588e+01    2.747372e+01    3.969926e+08    8.478375e-09    5.402890e-11    8.305695e-09    1.420161e-09   -2.920000e+00    7.531822e-01    1.616585e+00
    7.755912e-01    1.557957e+01    2.726225e+01    3.969359e+08    8.478020e-09    5.236310e-11    8.301815e-09    1.419810e-09   -2.910000e+00    7.531822e-01    1.608470e+00
