# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: sf
# Temperature: 25 C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    6.826603e-01    1.982409e+00    1.485708e-05   -2.646112e-05    4.722289e-06    3.730401e-14   -3.702648e-14   -1.001330e-15   -6.416773e-15
   -3.290000e+00    6.826603e-01    1.973840e+00    1.489598e-05   -2.631255e-05    4.616211e-06    3.728809e-14   -3.702217e-14   -9.673897e-16   -6.415240e-15
   -3.280000e+00    6.826603e-01    1.965281e+00    1.493471e-05   -2.616320e-05    4.510159e-06    3.727274e-14   -3.701727e-14   -9.345532e-16   -6.413679e-15
   -3.270000e+00    6.826603e-01    1.956733e+00    1.497325e-05   -2.601366e-05    4.404157e-06    3.725795e-14   -3.701176e-14   -9.027940e-16   -6.412091e-15
   -3.260000e+00    6.826603e-01    1.948194e+00    1.501159e-05   -2.586373e-05    4.298228e-06    3.724371e-14   -3.700569e-14   -8.720853e-16   -6.410477e-15
   -3.250000e+00    6.826603e-01    1.939665e+00    1.504969e-05   -2.571343e-05    4.192402e-06    3.723000e-14   -3.699905e-14   -8.424003e-16   -6.408840e-15
   -3.240000e+00    6.826603e-01    1.931147e+00    1.508753e-05   -2.556274e-05    4.086707e-06    3.721680e-14   -3.699187e-14   -8.137122e-16   -6.407181e-15
   -3.230000e+00    6.826603e-01    1.922638e+00    1.512509e-05   -2.541168e-05    3.981178e-06    3.720411e-14   -3.698416e-14   -7.859940e-16   -6.405502e-15
   -3.220000e+00    6.826603e-01    1.914140e+00    1.516234e-05   -2.526024e-05    3.875847e-06    3.719192e-14   -3.697594e-14   -7.592188e-16   -6.403805e-15
   -3.210000e+00    6.826603e-01    1.905652e+00    1.519925e-05   -2.510843e-05    3.770754e-06    3.718020e-14   -3.696723e-14   -7.333599e-16   -6.402091e-15
   -3.200000e+00    6.826603e-01    1.897173e+00    1.523578e-05   -2.495626e-05    3.665940e-06    3.716895e-14   -3.695804e-14   -7.083909e-16   -6.400362e-15
   -3.190000e+00    6.826603e-01    1.888705e+00    1.527190e-05   -2.480372e-05    3.561449e-06    3.715814e-14   -3.694838e-14   -6.842854e-16   -6.398620e-15
   -3.180000e+00    6.826603e-01    1.880246e+00    1.530757e-05   -2.465082e-05    3.457330e-06    3.714778e-14   -3.693827e-14   -6.610174e-16   -6.396867e-15
   -3.170000e+00    6.826603e-01    1.871797e+00    1.534274e-05   -2.449757e-05    3.353633e-06    3.713784e-14   -3.692772e-14   -6.385612e-16   -6.395102e-15
   -3.160000e+00    6.826603e-01    1.863359e+00    1.537738e-05   -2.434397e-05    3.250416e-06    3.712832e-14   -3.691676e-14   -6.168915e-16   -6.393329e-15
   -3.150000e+00    6.826603e-01    1.854930e+00    1.541144e-05   -2.419002e-05    3.147737e-06    3.711919e-14   -3.690538e-14   -5.959834e-16   -6.391548e-15
   -3.140000e+00    6.826603e-01    1.846511e+00    1.544485e-05   -2.403574e-05    3.045662e-06    3.711045e-14   -3.689362e-14   -5.758126e-16   -6.389760e-15
   -3.130000e+00    6.826603e-01    1.838102e+00    1.547757e-05   -2.388113e-05    2.944258e-06    3.710208e-14   -3.688147e-14   -5.563549e-16   -6.387968e-15
   -3.120000e+00    6.826603e-01    1.829702e+00    1.550953e-05   -2.372619e-05    2.843599e-06    3.709407e-14   -3.686895e-14   -5.375868e-16   -6.386171e-15
   -3.110000e+00    6.826603e-01    1.821313e+00    1.554068e-05   -2.357094e-05    2.743764e-06    3.708641e-14   -3.685608e-14   -5.194854e-16   -6.384371e-15
   -3.100000e+00    6.826603e-01    1.812933e+00    1.557095e-05   -2.341538e-05    2.644835e-06    3.707909e-14   -3.684286e-14   -5.020283e-16   -6.382569e-15
   -3.090000e+00    6.826603e-01    1.804563e+00    1.560025e-05   -2.325952e-05    2.546899e-06    3.707210e-14   -3.682931e-14   -4.851933e-16   -6.380766e-15
