# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 25C
# W = 2.0 um
# L = 0.28 um (280 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    3.852644e-01    1.556332e+00    2.367746e+02    1.464313e+10    9.914710e-10    5.090110e-11    7.906415e-10    1.094704e-10   -3.300000e+00    6.248437e-01    1.957129e+00
    3.880573e-01    1.577961e+00    2.358624e+02    1.470557e+10    9.905875e-10    4.913148e-11    7.911920e-10    1.093000e-10   -3.290000e+00    6.248437e-01    1.950721e+00
    3.908856e-01    1.600089e+00    2.349440e+02    1.476796e+10    9.897225e-10    4.739940e-11    7.917245e-10    1.091323e-10   -3.280000e+00    6.248437e-01    1.944311e+00
    3.937418e-01    1.622729e+00    2.340241e+02    1.483032e+10    9.888755e-10    4.570517e-11    7.922385e-10    1.089671e-10   -3.270000e+00    6.248437e-01    1.937899e+00
    3.966288e-01    1.645899e+00    2.331011e+02    1.489260e+10    9.880480e-10    4.404902e-11    7.927350e-10    1.088044e-10   -3.260000e+00    6.248437e-01    1.931485e+00
    3.995472e-01    1.669614e+00    2.321750e+02    1.495482e+10    9.872390e-10    4.243112e-11    7.932130e-10    1.086444e-10   -3.250000e+00    6.248437e-01    1.925070e+00
    4.024969e-01    1.693890e+00    2.312458e+02    1.501694e+10    9.864495e-10    4.085158e-11    7.936730e-10    1.084871e-10   -3.240000e+00    6.248437e-01    1.918653e+00
    4.054785e-01    1.718743e+00    2.303135e+02    1.507897e+10    9.856790e-10    3.931045e-11    7.941150e-10    1.083324e-10   -3.230000e+00    6.248437e-01    1.912234e+00
    4.084925e-01    1.744195e+00    2.293780e+02    1.514089e+10    9.849280e-10    3.780769e-11    7.945390e-10    1.081804e-10   -3.220000e+00    6.248437e-01    1.905813e+00
    4.115388e-01    1.770260e+00    2.284395e+02    1.520269e+10    9.841960e-10    3.634323e-11    7.949455e-10    1.080310e-10   -3.210000e+00    6.248437e-01    1.899391e+00
