# GF180MCU-D pfet_03v3 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: 25C
# W = 2.0 um
# L = 4 um (4000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    5.554801e-01    3.021873e+00    1.824892e+01    1.186963e+08    1.359217e-08    3.586953e-10    1.346602e-08    2.323883e-09   -3.300000e+00    6.839267e-01    1.992733e+00
    5.600702e-01    3.096850e+00    1.814755e+01    1.190613e+08    1.358658e-08    3.466125e-10    1.346452e-08    2.323344e-09   -3.290000e+00    6.839267e-01    1.984141e+00
    5.647231e-01    3.175186e+00    1.804564e+01    1.194236e+08    1.358119e-08    3.349214e-10    1.346279e-08    2.322794e-09   -3.280000e+00    6.839267e-01    1.975559e+00
    5.694274e-01    3.257099e+00    1.794359e+01    1.197833e+08    1.357600e-08    3.236127e-10    1.346085e-08    2.322234e-09   -3.270000e+00    6.839267e-01    1.966988e+00
    5.741871e-01    3.342818e+00    1.784129e+01    1.201401e+08    1.357100e-08    3.126767e-10    1.345870e-08    2.321665e-09   -3.260000e+00    6.839267e-01    1.958426e+00
    5.790026e-01    3.432594e+00    1.773871e+01    1.204939e+08    1.356618e-08    3.021039e-10    1.345635e-08    2.321087e-09   -3.250000e+00    6.839267e-01    1.949875e+00
    5.838741e-01    3.526698e+00    1.763588e+01    1.208445e+08    1.356156e-08    2.918847e-10    1.345381e-08    2.320501e-09   -3.240000e+00    6.839267e-01    1.941333e+00
    5.888023e-01    3.625422e+00    1.753277e+01    1.211918e+08    1.355711e-08    2.820096e-10    1.345108e-08    2.319908e-09   -3.230000e+00    6.839267e-01    1.932801e+00
    5.937873e-01    3.729086e+00    1.742940e+01    1.215357e+08    1.355283e-08    2.724689e-10    1.344817e-08    2.319307e-09   -3.220000e+00    6.839267e-01    1.924279e+00
    5.988286e-01    3.838028e+00    1.732578e+01    1.218757e+08    1.354872e-08    2.632532e-10    1.344508e-08    2.318702e-09   -3.210000e+00    6.839267e-01    1.915767e+00
    6.039268e-01    3.952626e+00    1.722190e+01    1.222120e+08    1.354477e-08    2.543531e-10    1.344182e-08    2.318090e-09   -3.200000e+00    6.839267e-01    1.907265e+00
    6.090814e-01    4.073279e+00    1.711777e+01    1.225441e+08    1.354099e-08    2.457593e-10    1.343839e-08    2.317473e-09   -3.190000e+00    6.839267e-01    1.898773e+00
    6.142924e-01    4.200427e+00    1.701338e+01    1.228718e+08    1.353735e-08    2.374624e-10    1.343481e-08    2.316852e-09   -3.180000e+00    6.839267e-01    1.890290e+00
    6.195590e-01    4.334544e+00    1.690874e+01    1.231947e+08    1.353387e-08    2.294535e-10    1.343107e-08    2.316227e-09   -3.170000e+00    6.839267e-01    1.881818e+00
    6.248809e-01    4.476146e+00    1.680387e+01    1.235127e+08    1.353053e-08    2.217235e-10    1.342718e-08    2.315598e-09   -3.160000e+00    6.839267e-01    1.873355e+00
    6.302580e-01    4.625797e+00    1.669874e+01    1.238255e+08    1.352734e-08    2.142636e-10    1.342314e-08    2.314967e-09   -3.150000e+00    6.839267e-01    1.864902e+00
    6.356886e-01    4.784100e+00    1.659338e+01    1.241324e+08    1.352428e-08    2.070653e-10    1.341895e-08    2.314332e-09   -3.140000e+00    6.839267e-01    1.856458e+00
    6.411723e-01    4.951719e+00    1.648777e+01    1.244334e+08    1.352134e-08    2.001199e-10    1.341464e-08    2.313696e-09   -3.130000e+00    6.839267e-01    1.848025e+00
    6.467074e-01    5.129368e+00    1.638195e+01    1.247279e+08    1.351854e-08    1.934192e-10    1.341019e-08    2.313059e-09   -3.120000e+00    6.839267e-01    1.839601e+00
    6.522931e-01    5.317829e+00    1.627589e+01    1.250155e+08    1.351586e-08    1.869550e-10    1.340562e-08    2.312419e-09   -3.110000e+00    6.839267e-01    1.831186e+00
    6.579272e-01    5.517945e+00    1.616962e+01    1.252957e+08    1.351330e-08    1.807194e-10    1.340091e-08    2.311779e-09   -3.100000e+00    6.839267e-01    1.822782e+00
    6.636078e-01    5.730629e+00    1.606312e+01    1.255680e+08    1.351086e-08    1.747047e-10    1.339610e-08    2.311139e-09   -3.090000e+00    6.839267e-01    1.814387e+00
    6.693335e-01    5.956878e+00    1.595643e+01    1.258318e+08    1.350852e-08    1.689032e-10    1.339117e-08    2.310498e-09   -3.080000e+00    6.839267e-01    1.806001e+00
    6.751010e-01    6.197758e+00    1.584952e+01    1.260866e+08    1.350629e-08    1.633077e-10    1.338613e-08    2.309856e-09   -3.070000e+00    6.839267e-01    1.797626e+00
    6.809088e-01    6.454439e+00    1.574242e+01    1.263319e+08    1.350417e-08    1.579109e-10    1.338098e-08    2.309216e-09   -3.060000e+00    6.839267e-01    1.789259e+00
    6.867528e-01    6.728162e+00    1.563514e+01    1.265668e+08    1.350214e-08    1.527058e-10    1.337573e-08    2.308576e-09   -3.050000e+00    6.839267e-01    1.780903e+00
    6.926308e-01    7.020280e+00    1.552768e+01    1.267909e+08    1.350021e-08    1.476858e-10    1.337037e-08    2.307937e-09   -3.040000e+00    6.839267e-01    1.772556e+00
    6.985391e-01    7.332241e+00    1.542005e+01    1.270034e+08    1.349837e-08    1.428442e-10    1.336492e-08    2.307298e-09   -3.030000e+00    6.839267e-01    1.764218e+00
    7.044740e-01    7.665599e+00    1.531226e+01    1.272036e+08    1.349661e-08    1.381747e-10    1.335938e-08    2.306661e-09   -3.020000e+00    6.839267e-01    1.755890e+00
    7.104321e-01    8.022014e+00    1.520431e+01    1.273908e+08    1.349495e-08    1.336710e-10    1.335375e-08    2.306026e-09   -3.010000e+00    6.839267e-01    1.747571e+00
    7.164092e-01    8.403256e+00    1.509623e+01    1.275644e+08    1.349336e-08    1.293274e-10    1.334803e-08    2.305392e-09   -3.000000e+00    6.839267e-01    1.739262e+00
    7.224011e-01    8.811206e+00    1.498801e+01    1.277235e+08    1.349186e-08    1.251377e-10    1.334222e-08    2.304760e-09   -2.990000e+00    6.839267e-01    1.730963e+00
    7.284038e-01    9.247850e+00    1.487968e+01    1.278675e+08    1.349043e-08    1.210966e-10    1.333634e-08    2.304129e-09   -2.980000e+00    6.839267e-01    1.722672e+00
    7.344125e-01    9.715286e+00    1.477125e+01    1.279957e+08    1.348908e-08    1.171986e-10    1.333037e-08    2.303500e-09   -2.970000e+00    6.839267e-01    1.714391e+00
    7.404233e-01    1.021570e+01    1.466272e+01    1.281074e+08    1.348779e-08    1.134384e-10    1.332433e-08    2.302875e-09   -2.960000e+00    6.839267e-01    1.706120e+00
    7.464319e-01    1.075139e+01    1.455412e+01    1.282020e+08    1.348657e-08    1.098110e-10    1.331821e-08    2.302251e-09   -2.950000e+00    6.839267e-01    1.697858e+00
    7.524339e-01    1.132472e+01    1.444546e+01    1.282790e+08    1.348541e-08    1.063115e-10    1.331203e-08    2.301629e-09   -2.940000e+00    6.839267e-01    1.689605e+00
    7.584252e-01    1.193813e+01    1.433674e+01    1.283377e+08    1.348432e-08    1.029352e-10    1.330577e-08    2.301009e-09   -2.930000e+00    6.839267e-01    1.681361e+00
