# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: sf
# Temperature: 85 C
# W = 2.0 um
# L = 3 um (3000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    6.239499e-01    2.074589e+00    2.303082e-05   -4.268263e-05    9.014255e-06    2.044038e-14   -2.015510e-14   -6.422495e-16   -3.483129e-15
   -3.290000e+00    6.239499e-01    2.065860e+00    2.308101e-05   -4.245232e-05    8.851813e-06    2.043038e-14   -2.015467e-14   -6.210146e-16   -3.482391e-15
   -3.280000e+00    6.239499e-01    2.057142e+00    2.313113e-05   -4.222101e-05    8.689232e-06    2.042071e-14   -2.015386e-14   -6.004276e-16   -3.481632e-15
   -3.270000e+00    6.239499e-01    2.048433e+00    2.318117e-05   -4.198944e-05    8.526528e-06    2.041136e-14   -2.015269e-14   -5.804760e-16   -3.480853e-15
   -3.260000e+00    6.239499e-01    2.039734e+00    2.323113e-05   -4.175738e-05    8.363717e-06    2.040232e-14   -2.015117e-14   -5.611467e-16   -3.480056e-15
   -3.250000e+00    6.239499e-01    2.031046e+00    2.328098e-05   -4.152482e-05    8.200816e-06    2.039359e-14   -2.014931e-14   -5.424266e-16   -3.479241e-15
   -3.240000e+00    6.239499e-01    2.022367e+00    2.333071e-05   -4.129176e-05    8.037844e-06    2.038516e-14   -2.014711e-14   -5.243023e-16   -3.478409e-15
   -3.230000e+00    6.239499e-01    2.013698e+00    2.338030e-05   -4.105821e-05    7.874820e-06    2.037703e-14   -2.014459e-14   -5.067600e-16   -3.477562e-15
   -3.220000e+00    6.239499e-01    2.005040e+00    2.342974e-05   -4.082416e-05    7.711769e-06    2.036919e-14   -2.014175e-14   -4.897859e-16   -3.476699e-15
   -3.210000e+00    6.239499e-01    1.996391e+00    2.347901e-05   -4.058961e-05    7.548713e-06    2.036163e-14   -2.013860e-14   -4.733660e-16   -3.475823e-15
   -3.200000e+00    6.239499e-01    1.987752e+00    2.352808e-05   -4.035458e-05    7.385678e-06    2.035434e-14   -2.013515e-14   -4.574864e-16   -3.474935e-15
   -3.190000e+00    6.239499e-01    1.979122e+00    2.357693e-05   -4.011905e-05    7.222694e-06    2.034733e-14   -2.013141e-14   -4.421329e-16   -3.474034e-15
   -3.180000e+00    6.239499e-01    1.970503e+00    2.362554e-05   -3.988304e-05    7.059790e-06    2.034058e-14   -2.012738e-14   -4.272916e-16   -3.473122e-15
   -3.170000e+00    6.239499e-01    1.961893e+00    2.367387e-05   -3.964654e-05    6.897001e-06    2.033408e-14   -2.012308e-14   -4.129482e-16   -3.472201e-15
   -3.160000e+00    6.239499e-01    1.953293e+00    2.372191e-05   -3.940956e-05    6.734362e-06    2.032783e-14   -2.011851e-14   -3.990891e-16   -3.471270e-15
   -3.150000e+00    6.239499e-01    1.944703e+00    2.376961e-05   -3.917211e-05    6.571914e-06    2.032182e-14   -2.011369e-14   -3.857002e-16   -3.470330e-15
   -3.140000e+00    6.239499e-01    1.936123e+00    2.381695e-05   -3.893417e-05    6.409699e-06    2.031605e-14   -2.010861e-14   -3.727678e-16   -3.469384e-15
   -3.130000e+00    6.239499e-01    1.927552e+00    2.386388e-05   -3.869577e-05    6.247764e-06    2.031050e-14   -2.010329e-14   -3.602784e-16   -3.468430e-15
   -3.120000e+00    6.239499e-01    1.918991e+00    2.391036e-05   -3.845690e-05    6.086159e-06    2.030517e-14   -2.009774e-14   -3.482186e-16   -3.467471e-15
   -3.110000e+00    6.239499e-01    1.910440e+00    2.395635e-05   -3.821756e-05    5.924940e-06    2.030006e-14   -2.009196e-14   -3.365751e-16   -3.466506e-15
   -3.100000e+00    6.239499e-01    1.901899e+00    2.400180e-05   -3.797777e-05    5.764165e-06    2.029515e-14   -2.008596e-14   -3.253350e-16   -3.465536e-15
   -3.090000e+00    6.239499e-01    1.893367e+00    2.404666e-05   -3.773753e-05    5.603899e-06    2.029045e-14   -2.007974e-14   -3.144855e-16   -3.464563e-15
   -3.080000e+00    6.239499e-01    1.884844e+00    2.409087e-05   -3.749684e-05    5.444211e-06    2.028594e-14   -2.007332e-14   -3.040140e-16   -3.463587e-15
   -3.070000e+00    6.239499e-01    1.876332e+00    2.413438e-05   -3.725571e-05    5.285176e-06    2.028161e-14   -2.006670e-14   -2.939083e-16   -3.462608e-15
   -3.060000e+00    6.239499e-01    1.867829e+00    2.417711e-05   -3.701416e-05    5.126875e-06    2.027747e-14   -2.005988e-14   -2.841563e-16   -3.461626e-15
   -3.050000e+00    6.239499e-01    1.859335e+00    2.421899e-05   -3.677217e-05    4.969395e-06    2.027351e-14   -2.005288e-14   -2.747464e-16   -3.460643e-15
   -3.040000e+00    6.239499e-01    1.850851e+00    2.425995e-05   -3.652978e-05    4.812829e-06    2.026971e-14   -2.004570e-14   -2.656670e-16   -3.459659e-15
   -3.030000e+00    6.239499e-01    1.842377e+00    2.429991e-05   -3.628698e-05    4.657277e-06    2.026608e-14   -2.003835e-14   -2.569069e-16   -3.458675e-15
   -3.020000e+00    6.239499e-01    1.833912e+00    2.433878e-05   -3.604378e-05    4.502847e-06    2.026260e-14   -2.003082e-14   -2.484552e-16   -3.457690e-15
   -3.010000e+00    6.239499e-01    1.825456e+00    2.437646e-05   -3.580021e-05    4.349653e-06    2.025928e-14   -2.002314e-14   -2.403013e-16   -3.456706e-15
   -3.000000e+00    6.239499e-01    1.817010e+00    2.441286e-05   -3.555626e-05    4.197815e-06    2.025610e-14   -2.001529e-14   -2.324349e-16   -3.455722e-15
   -2.990000e+00    6.239499e-01    1.808574e+00    2.444787e-05   -3.531196e-05    4.047462e-06    2.025306e-14   -2.000729e-14   -2.248460e-16   -3.454739e-15
   -2.980000e+00    6.239499e-01    1.800147e+00    2.448138e-05   -3.506731e-05    3.898730e-06    2.025016e-14   -1.999915e-14   -2.175247e-16   -3.453757e-15
   -2.970000e+00    6.239499e-01    1.791729e+00    2.451328e-05   -3.482233e-05    3.751761e-06    2.024739e-14   -1.999086e-14   -2.104616e-16   -3.452778e-15
   -2.960000e+00    6.239499e-01    1.783321e+00    2.454344e-05   -3.457705e-05    3.606703e-06    2.024475e-14   -1.998244e-14   -2.036475e-16   -3.451800e-15
   -2.950000e+00    6.239499e-01    1.774922e+00    2.457174e-05   -3.433147e-05    3.463710e-06    2.024222e-14   -1.997388e-14   -1.970736e-16   -3.450824e-15
   -2.940000e+00    6.239499e-01    1.766533e+00    2.459803e-05   -3.408562e-05    3.322942e-06    2.023982e-14   -1.996520e-14   -1.907312e-16   -3.449851e-15
   -2.930000e+00    6.239499e-01    1.758152e+00    2.462220e-05   -3.383952e-05    3.184561e-06    2.023752e-14   -1.995639e-14   -1.846120e-16   -3.448880e-15
   -2.920000e+00    6.239499e-01    1.749782e+00    2.464410e-05   -3.359318e-05    3.048733e-06    2.023533e-14   -1.994746e-14   -1.787078e-16   -3.447912e-15
   -2.910000e+00    6.239499e-01    1.741420e+00    2.466359e-05   -3.334664e-05    2.915625e-06    2.023325e-14   -1.993841e-14   -1.730110e-16   -3.446947e-15
   -2.900000e+00    6.239499e-01    1.733068e+00    2.468054e-05   -3.309992e-05    2.785405e-06    2.023126e-14   -1.992925e-14   -1.675139e-16   -3.445985e-15
   -2.890000e+00    6.239499e-01    1.724725e+00    2.469481e-05   -3.285304e-05    2.658236e-06    2.022937e-14   -1.991998e-14   -1.622092e-16   -3.445026e-15
   -2.880000e+00    6.239499e-01    1.716391e+00    2.470626e-05   -3.260603e-05    2.534278e-06    2.022757e-14   -1.991060e-14   -1.570900e-16   -3.444071e-15
   -2.870000e+00    6.239499e-01    1.708066e+00    2.471476e-05   -3.235893e-05    2.413686e-06    2.022585e-14   -1.990112e-14   -1.521494e-16   -3.443120e-15
   -2.860000e+00    6.239499e-01    1.699751e+00    2.472020e-05   -3.211175e-05    2.296605e-06    2.022422e-14   -1.989154e-14   -1.473808e-16   -3.442171e-15
   -2.850000e+00    6.239499e-01    1.691445e+00    2.472246e-05   -3.186453e-05    2.183168e-06    2.022267e-14   -1.988186e-14   -1.427780e-16   -3.441227e-15
   -2.840000e+00    6.239499e-01    1.683148e+00    2.472143e-05   -3.161731e-05    2.073497e-06    2.022120e-14   -1.987209e-14   -1.383348e-16   -3.440286e-15
   -2.830000e+00    6.239499e-01    1.674860e+00    2.471703e-05   -3.137011e-05    1.967696e-06    2.021980e-14   -1.986223e-14   -1.340454e-16   -3.439349e-15
   -2.820000e+00    6.239499e-01    1.666582e+00    2.470917e-05   -3.112298e-05    1.865855e-06    2.021846e-14   -1.985228e-14   -1.299041e-16   -3.438415e-15
   -2.810000e+00    6.239499e-01    1.658312e+00    2.469781e-05   -3.087594e-05    1.768042e-06    2.021720e-14   -1.984224e-14   -1.259053e-16   -3.437485e-15
   -2.800000e+00    6.239499e-01    1.650052e+00    2.468289e-05   -3.062904e-05    1.674307e-06    2.021600e-14   -1.983212e-14   -1.220440e-16   -3.436560e-15
   -2.790000e+00    6.239499e-01    1.641800e+00    2.466438e-05   -3.038230e-05    1.584677e-06    2.021485e-14   -1.982192e-14   -1.183149e-16   -3.435637e-15
   -2.780000e+00    6.239499e-01    1.633558e+00    2.464228e-05   -3.013576e-05    1.499158e-06    2.021377e-14   -1.981163e-14   -1.147132e-16   -3.434719e-15
   -2.770000e+00    6.239499e-01    1.625325e+00    2.461659e-05   -2.988946e-05    1.417735e-06    2.021274e-14   -1.980127e-14   -1.112342e-16   -3.433804e-15
   -2.760000e+00    6.239499e-01    1.617101e+00    2.458735e-05   -2.964344e-05    1.340372e-06    2.021177e-14   -1.979084e-14   -1.078734e-16   -3.432893e-15
   -2.750000e+00    6.239499e-01    1.608886e+00    2.455459e-05   -2.939773e-05    1.267011e-06    2.021084e-14   -1.978033e-14   -1.046265e-16   -3.431986e-15
   -2.740000e+00    6.239499e-01    1.600679e+00    2.451837e-05   -2.915236e-05    1.197577e-06    2.020996e-14   -1.976975e-14   -1.014892e-16   -3.431082e-15
   -2.730000e+00    6.239499e-01    1.592482e+00    2.447877e-05   -2.890737e-05    1.131976e-06    2.020913e-14   -1.975909e-14   -9.845746e-17   -3.430182e-15
   -2.720000e+00    6.239499e-01    1.584294e+00    2.443586e-05   -2.866280e-05    1.070099e-06    2.020833e-14   -1.974837e-14   -9.552747e-17   -3.429285e-15
   -2.710000e+00    6.239499e-01    1.576114e+00    2.438976e-05   -2.841867e-05    1.011824e-06    2.020758e-14   -1.973758e-14   -9.269549e-17   -3.428391e-15
   -2.700000e+00    6.239499e-01    1.567944e+00    2.434057e-05   -2.817501e-05    9.570188e-07    2.020687e-14   -1.972673e-14   -8.995791e-17   -3.427501e-15
   -2.690000e+00    6.239499e-01    1.559783e+00    2.428840e-05   -2.793186e-05    9.055400e-07    2.020619e-14   -1.971581e-14   -8.731128e-17   -3.426614e-15
   -2.680000e+00    6.239499e-01    1.551630e+00    2.423337e-05   -2.768925e-05    8.572394e-07    2.020555e-14   -1.970483e-14   -8.475229e-17   -3.425731e-15
   -2.670000e+00    6.239499e-01    1.543486e+00    2.417561e-05   -2.744721e-05    8.119638e-07    2.020494e-14   -1.969378e-14   -8.227774e-17   -3.424850e-15
   -2.660000e+00    6.239499e-01    1.535351e+00    2.411524e-05   -2.720575e-05    7.695577e-07    2.020435e-14   -1.968268e-14   -7.988455e-17   -3.423973e-15
   -2.650000e+00    6.239499e-01    1.527225e+00    2.405240e-05   -2.696491e-05    7.298651e-07    2.020380e-14   -1.967151e-14   -7.756978e-17   -3.423098e-15
   -2.640000e+00    6.239499e-01    1.519108e+00    2.398721e-05   -2.672471e-05    6.927309e-07    2.020327e-14   -1.966029e-14   -7.533058e-17   -3.422226e-15
   -2.630000e+00    6.239499e-01    1.511000e+00    2.391980e-05   -2.648517e-05    6.580025e-07    2.020277e-14   -1.964900e-14   -7.316422e-17   -3.421357e-15
   -2.620000e+00    6.239499e-01    1.502900e+00    2.385029e-05   -2.624632e-05    6.255310e-07    2.020229e-14   -1.963766e-14   -7.106808e-17   -3.420490e-15
   -2.610000e+00    6.239499e-01    1.494809e+00    2.377880e-05   -2.600817e-05    5.951724e-07    2.020183e-14   -1.962627e-14   -6.903962e-17   -3.419626e-15
   -2.600000e+00    6.239499e-01    1.486727e+00    2.370544e-05   -2.577075e-05    5.667878e-07    2.020140e-14   -1.961481e-14   -6.707642e-17   -3.418765e-15
   -2.590000e+00    6.239499e-01    1.478653e+00    2.363032e-05   -2.553407e-05    5.402444e-07    2.020098e-14   -1.960331e-14   -6.517615e-17   -3.417905e-15
   -2.580000e+00    6.239499e-01    1.470589e+00    2.355356e-05   -2.529815e-05    5.154160e-07    2.020057e-14   -1.959174e-14   -6.333655e-17   -3.417048e-15
   -2.570000e+00    6.239499e-01    1.462532e+00    2.347525e-05   -2.506300e-05    4.921829e-07    2.020018e-14   -1.958013e-14   -6.155546e-17   -3.416193e-15
   -2.560000e+00    6.239499e-01    1.454485e+00    2.339548e-05   -2.482865e-05    4.704322e-07    2.019981e-14   -1.956846e-14   -5.983082e-17   -3.415340e-15
   -2.550000e+00    6.239499e-01    1.446446e+00    2.331435e-05   -2.459510e-05    4.500578e-07    2.019945e-14   -1.955674e-14   -5.816061e-17   -3.414488e-15
   -2.540000e+00    6.239499e-01    1.438416e+00    2.323193e-05   -2.436237e-05    4.309603e-07    2.019910e-14   -1.954496e-14   -5.654292e-17   -3.413639e-15
   -2.530000e+00    6.239499e-01    1.430395e+00    2.314830e-05   -2.413046e-05    4.130469e-07    2.019876e-14   -1.953314e-14   -5.497590e-17   -3.412790e-15
   -2.520000e+00    6.239499e-01    1.422382e+00    2.306355e-05   -2.389940e-05    3.962311e-07    2.019842e-14   -1.952126e-14   -5.345777e-17   -3.411944e-15
   -2.510000e+00    6.239499e-01    1.414378e+00    2.297772e-05   -2.366920e-05    3.804324e-07    2.019810e-14   -1.950933e-14   -5.198681e-17   -3.411098e-15
   -2.500000e+00    6.239499e-01    1.406382e+00    2.289090e-05   -2.343985e-05    3.655763e-07    2.019778e-14   -1.949735e-14   -5.056140e-17   -3.410254e-15
