# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: ss
# Temperature: -40 C
# W = 2.0 um
# L = 1 um (1000 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    9.703377e-01    1.748585e+00    8.657657e-05   -1.359221e-04    1.656760e-05    6.469197e-15   -6.210175e-15   -8.038071e-17   -1.122154e-15
   -3.290000e+00    9.703377e-01    1.740672e+00    8.676265e-05   -1.350563e-04    1.606627e-05    6.468159e-15   -6.208052e-15   -7.778022e-17   -1.121824e-15
   -3.280000e+00    9.703377e-01    1.732766e+00    8.694193e-05   -1.341868e-04    1.557256e-05    6.467167e-15   -6.205882e-15   -7.526989e-17   -1.121495e-15
   -3.270000e+00    9.703377e-01    1.724867e+00    8.711401e-05   -1.333165e-04    1.508698e-05    6.466220e-15   -6.203665e-15   -7.284664e-17   -1.121169e-15
   -3.260000e+00    9.703377e-01    1.716973e+00    8.727847e-05   -1.324446e-04    1.461000e-05    6.465315e-15   -6.201404e-15   -7.050746e-17   -1.120844e-15
   -3.250000e+00    9.703377e-01    1.709087e+00    8.743492e-05   -1.315710e-04    1.414212e-05    6.464451e-15   -6.199100e-15   -6.824946e-17   -1.120522e-15
   -3.240000e+00    9.703377e-01    1.701206e+00    8.758296e-05   -1.306959e-04    1.368380e-05    6.463627e-15   -6.196754e-15   -6.606980e-17   -1.120201e-15
   -3.230000e+00    9.703377e-01    1.693332e+00    8.772222e-05   -1.298194e-04    1.323549e-05    6.462841e-15   -6.194368e-15   -6.396574e-17   -1.119883e-15
   -3.220000e+00    9.703377e-01    1.685464e+00    8.785233e-05   -1.289415e-04    1.279760e-05    6.462092e-15   -6.191943e-15   -6.193462e-17   -1.119567e-15
   -3.210000e+00    9.703377e-01    1.677603e+00    8.797296e-05   -1.280624e-04    1.237054e-05    6.461378e-15   -6.189480e-15   -5.997386e-17   -1.119253e-15
