# GF180MCU-D pfet_03v3 gm/ID Lookup Table
# Corner: ss
# Temperature: -40 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = -1.65  (VSD = 1.65) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage |VDS|_sat (positive magnitude; minimum |VDS| for saturation)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -3.300000e+00    9.613523e-01    1.710356e+00    2.755715e-05   -3.910147e-05    3.051370e-06    2.212577e-14   -2.179973e-14   -1.939697e-16   -4.012738e-15
   -3.290000e+00    9.613523e-01    1.702179e+00    2.758832e-05   -3.882590e-05    2.911634e-06    2.212362e-14   -2.178979e-14   -1.878827e-16   -4.011733e-15
   -3.280000e+00    9.613523e-01    1.694012e+00    2.761595e-05   -3.854972e-05    2.775891e-06    2.212159e-14   -2.177973e-14   -1.820058e-16   -4.010731e-15
   -3.270000e+00    9.613523e-01    1.685855e+00    2.763991e-05   -3.827343e-05    2.644289e-06    2.211965e-14   -2.176956e-14   -1.763314e-16   -4.009734e-15
   -3.260000e+00    9.613523e-01    1.677708e+00    2.766009e-05   -3.799693e-05    2.516962e-06    2.211781e-14   -2.175928e-14   -1.708522e-16   -4.008742e-15
   -3.250000e+00    9.613523e-01    1.669571e+00    2.767640e-05   -3.772024e-05    2.394023e-06    2.211606e-14   -2.174890e-14   -1.655613e-16   -4.007753e-15
   -3.240000e+00    9.613523e-01    1.661443e+00    2.768875e-05   -3.744341e-05    2.275568e-06    2.211440e-14   -2.173841e-14   -1.604517e-16   -4.006770e-15
   -3.230000e+00    9.613523e-01    1.653325e+00    2.769708e-05   -3.716648e-05    2.161670e-06    2.211283e-14   -2.172783e-14   -1.555170e-16   -4.005790e-15
   -3.220000e+00    9.613523e-01    1.645217e+00    2.770133e-05   -3.688949e-05    2.052381e-06    2.211134e-14   -2.171714e-14   -1.507507e-16   -4.004816e-15
   -3.210000e+00    9.613523e-01    1.637119e+00    2.770148e-05   -3.661247e-05    1.947728e-06    2.210993e-14   -2.170636e-14   -1.461469e-16   -4.003846e-15
